BusinessPartner,BusinessPartnerFiscalYear,BPBalanceSheetCurrency,BPAnnualStockholderMeetingDate,BPFiscalYearStartDate,BPFiscalYearEndDate,BPFiscalYearIsClosed,BPFiscalYearClosingDate,BPFsclYrCnsldtdFinStatementDte,BPCapitalStockAmtInBalShtCrcy,BPIssdStockCptlAmtInBalShtCrcy,BPPartcipnCertAmtInBalShtCrcy,BPEquityCapitalAmtInBalShtCrcy,BPGrossPremiumAmtInBalShtCrcy,BPNetPremiumAmtInBalShtCrcy,BPAnnualSalesAmtInBalShtCrcy,BPAnnualNetIncAmtInBalShtCrcy,BPDividendDistrAmtInBalShtCrcy,BPDebtRatioInYears,BPAnnualPnLAmtInBalShtCrcy,BPBalSheetTotalAmtInBalShtCrcy,BPNumberOfEmployees,BPCptlReserveAmtInBalShtCrcy,BPLglRevnRsrvAmtInBalShtCrcy,RevnRsrvOwnStkAmtInBalShtCrcy,BPStatryReserveAmtInBalShtCrcy,BPOthRevnRsrvAmtInBalShtCrcy,BPPnLCarryfwdAmtInBalShtCrcy,BPSuborddLbltyAmtInBalShtCrcy,BPRetOnTotalCptlEmpldInPercent,BPDebtClearancePeriodInYears,BPFinancingCoeffInPercent,BPEquityRatioInPercent
n-18283345,3345,83345,2012-08-11,2011-10-16,2002-07-20,false,2003-12-23,2001-07-29,1967022025598.655,4857420033225.434,2392879347695.386,1674928778622.551,1976472052178.179,3820139256659.495,4397660567683.646,6949319118472.009,4135563318891.037,878.437,6346199841815.676,9372825137498.797,8283345,6711807422380.258,8768666068387.131,1803847307611.218,9441149320616.693,6377849626121.165,5853752373049.613,6856091843130.43,442.5,376.35,382.35,260.38
n-18283346,3346,83346,2004-09-28,2001-09-09,2000-04-07,true,2001-09-15,2017-08-03,6023395581989.441,9292791015689.928,8883315460064.623,191148407965.067,88845922270.235,5965813927755.081,5470758480760.672,6909219132231.52,134873417856.242,857.826,1969982161139.801,7115978903542.379,8283346,9324156304723.727,4550372531452.833,7606252689959.017,7356768904112.014,7064106037178.464,5923449623503.764,5519686002820.107,70.77,883.58,825.66,918.42
n-18283347,3347,83347,2018-11-11,2023-01-05,2007-08-15,false,2018-11-28,2008-05-16,1848125975513.75,4573503192955.405,5938991121859.24,157295673544.889,8450490521460.295,3220948784179.131,1665466163756.652,1118896616558.791,8313986605811.798,69.975,7562597771646.797,6615088785813.103,8283347,7699879643393.092,30743742394.335,1436991913158.305,6292092239913.527,6273125783542.73,8977546965952.268,8509597876003.577,681.16,79.83,705.72,936.2
n-18283348,3348,83348,2011-03-29,2014-12-11,2018-02-18,true,2022-01-30,2016-09-18,2459669962825.522,766606813561.584,1641854944420.145,5428664824664.441,5657150090012.293,3533676750177.679,2828874646221.162,3641613123439.458,2379284942533.069,226.18,5717657891414.306,453529522615.863,8283348,3280718911999.75,2278984309078.909,7547225271035.847,13071047155.289,6503453029893.395,3966458573900.006,435332210542.198,889.67,771.48,702.12,14.07
n-18283349,3349,83349,2011-06-06,2014-10-12,2013-10-09,false,2002-10-29,2007-07-15,3258170458741.263,9490226013870.123,2498483111492.918,5929180440874.403,9256778760741.352,4353636497873.63,7129899660028.596,935648617120.529,6229952052476.761,750.913,5494601009857.33,6335569978095.463,8283349,901874559488.415,6172605484489.884,6975563492609.778,6700697630242.434,6326186669432.171,3971361082028.541,7127061316158.244,25.06,74.93,557.41,343.9
n-18283350,3350,83350,2023-07-15,2022-02-15,2005-01-14,true,2000-12-18,2013-12-17,8679796228373.765,6985108560752.495,5797062284197.505,9236183694820.71,4211601918605.733,1900781203875.588,418811028799.202,7524693497256.941,6577238641054.666,682.234,6817798590690.904,9579165404166.178,8283350,8755171425395.918,6916250634292.766,6156838970514.603,5400496960369.031,6972847569825.3,7322529709299.653,8821479594450.428,790.67,364.23,439.27,923.9
n-18283351,3351,83351,2013-12-24,2002-03-03,2000-07-27,false,2011-06-30,2016-10-14,8181790716466.198,3347507324179.614,4548742977781.311,7926844873162.616,7150213377748.867,3610493305989.006,2963420139218.816,4460998845276.906,5880635917427.449,393.681,2616923465610.75,9954944949535.04,8283351,3342828258134.423,5152635804636.708,8014983333738.413,889003666086.081,6983696155021.296,6137186137829.877,741263131313.557,760.08,457.06,187.28,82.61
n-18283352,3352,83352,2012-11-22,2015-03-15,2008-03-16,true,2013-05-11,2016-11-06,1731592432073.645,1678811635554.396,2638646756697.374,2637643155566.765,5779398400758.148,5953618081210.707,3978229251073.726,3781349711029.586,8558125405264.155,946.226,5759155806856.862,8753990644133.481,8283352,9008436417761.084,3961885564168.33,4285792243173.695,194584066024.171,9749088073064.932,4913842306284.506,2448661191685.69,757.12,255.5,603.79,156.98
n-18283353,3353,83353,2020-05-25,2003-09-01,2020-10-12,false,2012-07-02,2020-02-12,9239351537086.184,1188014491131.555,9751099995933.4,7676291397681.081,3692111978346.607,2073531516600.145,5543404852003.408,2685981231116.036,3107800230944.827,262.539,8537027122595.546,1524211743536.877,8283353,4349643493435.909,653747161498.135,5558291444761.76,9271265675406.496,3378033289219.011,3769054731729.667,5189488327700.012,942.83,390.31,441.45,52.38
n-18283354,3354,83354,2016-01-10,2009-01-25,2017-10-02,true,2003-01-28,2001-04-12,5547702178264.314,8178560876889.57,7941223528564.231,6836015729315.371,7037772915622.996,5562488694145.544,2576836697070.674,2570400620954.059,67736310144.929,392.315,8299765618696.577,570117510394.401,8283354,5753525695776.676,1501073843769.373,691515797103.905,5004340441141.735,5201353417021.562,573207934699.147,6569398971008.078,796.71,254.21,212.57,680.56
n-18283355,3355,83355,2008-08-29,2013-04-19,2005-10-15,false,2016-07-12,2001-07-26,7333907317230.069,9139888654089.154,3922820964481.47,9132517897710.352,7609988263940.694,5768355955952.389,1280813135322.614,3461996844620.325,5471269250479.564,324.263,5848676461276.766,6347393840778.625,8283355,1581880886361.091,1979647132709.507,5777973721448.126,4467403765383.99,8652763198094.817,2439381736385.807,7434896529950.492,332,616.23,520.98,304.23
n-18283356,3356,83356,2019-02-16,2000-04-01,2009-05-30,true,2003-10-20,2008-04-02,7625836287069.257,323653654448.447,3616751572560.105,4764062154412.174,2577731409524.118,9447479969833.06,782629184456.054,6459297727197.23,4497981657104.362,313.846,9477175107972.314,332538466970.008,8283356,2215323141940.914,7635922336818.666,3910496088001.852,299987361360.604,234819376343.094,3956997532569.721,5637112370471.596,802.83,949.18,776.34,176.25
n-18283357,3357,83357,2014-01-31,2011-11-26,2009-10-20,false,2007-10-31,2015-07-12,1403747192969.59,8287080087810.663,9882423831740.727,5710354482367.319,7156215157983.656,2297372018983.642,8470690629896.277,6415354851833.174,7115235879939.389,91.077,5708850496853.081,4328738755670.889,8283357,3571300935196.816,8424533789667.786,7576208541580.619,2950198976748.112,7404613518837.827,4948410055372.469,8481458650059.749,198.71,942.42,27.18,415.77
n-18283358,3358,83358,2017-02-21,2015-04-29,2023-11-29,true,2023-05-30,2003-04-28,4285556212803.844,3213410918299.553,6829832363049.713,339519930593.902,880408069444.287,1982717730462.586,2030320650089.204,5692204376368.343,3333964216285.57,630.921,5161272942623.23,9491035755390.004,8283358,2616925983267.937,323910770197.353,4404021428788.605,7280138969646.173,1448778325689.091,4007406381228.149,1785582018791.529,715.25,548.65,195.26,25.43
n-18283359,3359,83359,2015-09-24,2016-11-21,2013-08-07,false,2001-05-03,2023-12-08,184246879961.825,5583189186964.467,2776511780810.382,7626655155098.955,320717436652.248,6619330094199.128,5793385875162.544,1024903658697.339,8069995089309.653,676.11,9127805472707.344,9205371660972.98,8283359,3945102546069.154,8677609328323.104,7956040571039.728,3477952497597.867,5876749284009.078,7185960334561.592,8254797112700.438,38.41,924.15,32.94,587.21
n-18283360,3360,83360,2002-07-06,2019-10-31,2002-05-20,true,2012-06-24,2017-08-11,5525616029823.769,5557245987578.179,7241580419071.168,3293119318198.644,6043597578668.088,7238081190167.233,1930774369695.227,8721315858609.369,6636512790391.703,934.238,5060920697194.04,579262585737.385,8283360,9005794765866.938,1668598444112.046,4551367320783.893,5419147136045.404,7686952417410.604,5163380536469.65,1688500210161.002,139.81,388.17,851.7,544.57
n-18283361,3361,83361,2012-03-23,2007-04-01,2000-03-16,false,2004-11-28,2004-04-21,1428339983934.935,8333549117542.542,5433080480817.555,1967719416663.594,6414128438034.525,5551560173330.899,7112372988911.534,9768843500283.791,8214553619994.975,688.276,7095989019489.383,2594605692700.671,8283361,4184699491798.792,7436114761364.06,2510254418079.599,7301818516437.358,2020932306112.507,176176844275.59,9327413523822.102,156.42,386.53,448.5,30.06
n-18283362,3362,83362,2017-10-27,2021-03-21,2011-12-03,true,2004-12-06,2016-04-13,5685006394220.388,5715582397698.085,6732496900449.801,6420129903562.455,7510261026929.642,4121906916419.571,521915073629.175,8231913181610.328,1281077489336.812,517.616,3486287831419.354,3092276985603.327,8283362,8589641439027.746,6977300990836.155,9941469503680.586,7601783533589.085,2121568732106.572,3200386133096.772,7019753727800.818,873.42,128.6,835.17,390.41
n-18283363,3363,83363,2019-05-06,2000-10-18,2005-05-29,false,2007-01-07,2010-01-25,2139632293637.013,6297531638454.432,3088914969020.96,9746779696050.713,1252873748425.795,2538011904238.812,9211908443379.512,8850007798443.457,31659540227.494,405.285,8154181772085.35,8096294851906.717,8283363,2607507112696.732,6508413444138.699,7952151419964.385,6668055259555.723,9053371564798.795,6381183633767.084,118249326872.147,860.15,486.44,207.33,633.54
n-18283364,3364,83364,2015-08-05,2010-10-10,2003-11-02,true,2011-07-30,2014-04-29,4833958929205.176,2079639353148.619,3276937705480.726,4315575499317.317,3347616212856.265,3626236531635.746,907002712649.98,5850952423452.938,3760802795304.628,178.297,9963468792945.06,8086996199470.948,8283364,9980566518204.008,9694225803393.54,8237978217984.101,7852637869115.158,4422933440820.306,4725211555593.094,9380537665852.66,91.04,405.96,49.18,727.06
n-18283365,3365,83365,2012-09-30,2021-10-12,2011-09-01,false,2013-06-17,2021-02-26,7217534589149.412,8653177352716.279,5533794639479.965,7205221671540.379,2199298253387.663,3166765652558.855,8823274369380.23,9974791327123.932,9064355159365.47,51.279,1981041600132.488,7611261569107.212,8283365,4935211237110.562,8577901603156.945,1164675493489.771,1134586656693.757,9000687698084.02,1851413406499.288,5648483998966.969,625.59,181.07,82.46,598.06
n-18283366,3366,83366,2018-02-11,2018-03-14,2004-07-26,true,2018-07-31,2004-09-14,4944429953928.994,9502461198810.89,5717920042477.89,7973276452741.408,7546450147301.275,512971096161.029,3892527568032.709,343056924356.05,8745180102501.804,323.733,8627162714804.808,2117876902420.279,8283366,2531832314458.666,403212568447.842,68803167414.216,3603958726533.918,7747081311392.874,1687371984995.752,5184950250462.072,889.89,639.79,225.03,150.84
n-18283367,3367,83367,2006-10-19,2011-06-07,2018-12-28,false,2018-08-12,2017-01-15,6160994678553.301,4404261235643.796,3359083197621.465,5286093354983.838,6146299742456.623,4474132204449.993,136229805713.088,9287617544697.594,4199239906680.106,811.014,7352551198763.583,1015559688429.999,8283367,4271066780481.298,1679358596597.046,172075580574.748,1729085474842.869,3275057644910.564,6559097346855.26,8062122060304.937,806.15,733.19,535.31,558.38
n-18283368,3368,83368,2007-09-09,2005-04-04,2003-03-14,true,2006-12-10,2017-03-26,655052881502.156,4801864148975.164,641086177772.891,5898911906290.815,221549119556.725,3916428003247.821,5808383244839.773,149100699115.033,7798222798318.83,972.553,9274968834550.85,695310221323.001,8283368,9176017350686.578,2135863045990.253,1578714302924.9,4115501996313.797,4803051224380.138,3956463474520.806,990500186747.146,445,641.21,870.12,321.09
n-18283369,3369,83369,2020-12-11,2021-04-05,2020-04-27,false,2016-03-04,2003-02-24,7538112925237.252,671340235826.771,6559572239958.867,8868416908435.15,4624114398318.487,4078768747262.633,1344754706539.374,9194299633693.26,2897067596454.883,574.609,7504293864481.545,1375853123902.604,8283369,6847389875467.934,3058901976650.461,2945124323804.903,5803625502005.739,3869952994079.886,4714470600246.46,8790781799301.391,482.65,429.79,472.99,370.77
n-18283370,3370,83370,2004-07-11,2012-01-17,2000-12-17,true,2020-12-07,2007-10-24,2571693123258.917,1047865951870.094,7954007248083.246,8321208505703.243,5201825477760.039,3657613779541.916,5071454889938.14,9709891611077.293,8263708045916.584,445.879,2027422511859.429,7625374926374.43,8283370,2878308532101.022,3976177675102.249,3228436611621.153,2930627023803.668,8750381897137.218,6931864515294.802,8836840450897.686,470.62,813.93,720.95,925.07
n-18283371,3371,83371,2009-03-27,2008-09-29,2018-05-29,false,2000-05-23,2010-04-08,9440430529464.14,3007108416490.885,6372004570051.861,9093165026266.484,8579139031706.093,2867050512890.15,8581033883512.233,3786416496294.689,4435171458125.817,519.911,3162886257405.293,1150851981515.817,8283371,6791492219243.845,4661851877914.291,2482308737038.139,7629761314760.038,5982742969977.951,8811215735156.158,3560734957029.719,306.06,565.76,662.98,275.92
n-18283372,3372,83372,2019-07-08,2012-01-18,2003-06-03,true,2020-07-26,2016-12-12,4859908422734.926,3205918684957.055,898996877223.698,2495436116775.806,2437861071391.123,7459536841697.944,7032073883673.911,4878856940797.03,1103720493214.665,477.255,7978596262562.453,8054477823404.717,8283372,3937413620752.591,6091037794693.43,3093898986303.682,8335109750345.53,3241078398211.194,9271417364257.254,3715227533905.255,790.88,284.42,813.16,901.16
n-18283373,3373,83373,2014-06-05,2000-05-25,2003-08-20,false,2012-01-25,2011-04-28,8049623780179.751,7291051440395.774,5389053578642.069,9510163656534.29,2479424445923.711,6294382363911.704,8199216995999.749,2869787521055.477,7609199293092.244,674.565,5459124071786.991,397781037584.407,8283373,3735242909238.246,5206873695302.633,289679443063.209,9948305887302.143,869535251796.408,7143539697727.535,8026088090562.936,597.41,429.26,105.19,986.73
n-18283374,3374,83374,2016-12-25,2023-08-08,2002-03-09,true,2013-09-17,2019-12-31,6101717696852.764,7751575959041.055,8623771745163.927,7340842518900.814,9716733974135.66,4065371348783.216,9971995468720.205,7389709931893.352,1711161957997.628,392.587,9474246757855.018,6922361303204.198,8283374,6572591675139.628,7776811382026.531,8341480996785.287,1554174068054.264,4319853313734.455,4974003615104.495,237683211493.071,422.86,686.54,299.67,174.08
n-18283375,3375,83375,2016-08-20,2012-06-29,2010-03-24,false,2009-08-31,2019-07-21,6850472432093.989,6546404892412.461,8809138667905.725,7709540523770.929,713047746237.788,8269707623201.886,4802289318348.685,9154394765891.82,2761537384755.238,995.657,9630205240679.582,3126097305187.706,8283375,5113999836100.279,196384820389.883,2504415026738.881,3328237804814.028,4277680036727.634,5632312456877.47,9259507271812.97,813.77,14,817.08,76.82
n-18283376,3376,83376,2014-01-11,2005-10-09,2002-07-31,true,2002-07-23,2011-03-13,6474843946160.595,1965765399911.293,6444765494701.139,2159593854046.574,2612106243122.675,1246585899382.875,6667857623459.228,9208764518857.26,514819056601.547,957.585,4043352547674.72,6546696625949.191,8283376,7074611276863.915,7385451629320.081,8390433380711.533,3076153279003.993,7982064650165.697,8232212468118.066,6248754231709.79,308.75,916.31,631.53,760.55
n-18283377,3377,83377,2009-09-01,2010-11-05,2001-10-05,false,2009-09-21,2023-03-27,1889310442625.083,1906103846061.173,7384340713048.345,5881373591008.464,2279115227256.525,3576740648445.205,8864806902610.37,3717756835345.145,9040454409443.688,228.611,7828809501839.515,4112558540252.093,8283377,9881123461758.43,5815320334752.902,1986521595897.206,3354879339386.954,5181690198999.269,4897105235430.945,5680752812254.428,503.93,854.87,678.07,808.08
n-18283378,3378,83378,2005-09-22,2011-05-26,2020-10-07,true,2011-05-01,2020-07-08,9841704816517.152,3454916248242.963,141974155492.894,4772289543678.058,727934968409.356,9246083123224.527,1769630142299.87,4282794028066.403,1694003494256.986,303.556,147583810607.031,8050286868164.002,8283378,2236669099143.886,2987501216343.67,8413094499132.693,4657725437641.461,9069926734914.402,1623240645361.759,9584693235419.494,325.14,785.83,795.88,663.67
n-18283379,3379,83379,2007-06-26,2010-12-29,2008-11-03,false,2011-12-15,2019-11-02,3645429577160.454,1024162838044.988,8690969906064.668,5512964172604.471,3455117031410.823,1805209360196.217,5904951136678.427,5169655167812.656,421444183601.243,931.164,1870975918230.032,389725163720.549,8283379,658216632575.386,1614977694185.493,8674901273217.269,3067071145092.262,1743714951850.529,9614305920283.393,6001878109385.04,806.06,300.66,627.42,73.97
n-18283380,3380,83380,2008-04-12,2002-04-01,2020-08-06,true,2008-09-14,2007-11-21,273698928220.43,4802444783684.159,1781810568193.366,2109289488164.61,5831197310940.581,2201048025193.255,5361420087103.388,7916927191743.554,7633836143059.343,979.803,5023669440159.767,9655873386008.693,8283380,9600098150868.047,3452571994612.575,3095539869431.856,9745061709668.115,8031948567283.211,1394331784176.298,2278156943956.836,253.78,62.46,434.6,764.28
n-18283381,3381,83381,2023-11-10,2006-03-08,2005-01-25,false,2012-03-02,2023-11-23,8770100188912.547,7928566006616.94,3043692179640.625,2090235543202.587,4599056155464.916,97138141211.285,6527304685498.505,7945506378295.481,7491134384614.164,447.048,6626676932833.931,3648108049793.984,8283381,2316236195527.532,2256236016774.523,6992090968496.707,8626171387253.008,5169243216141.294,6506619928037.431,8656103814590.179,575.28,261.53,127.26,391.78
n-18283382,3382,83382,2017-05-14,2007-03-25,2003-06-24,true,2012-11-26,2021-11-06,4456410100186.432,7255807700330.958,2519510899756.648,3799243960108.84,9397071121174.703,3301928601002.502,3346960363136.116,1166123146422.939,3565973257696.125,211.373,9458864501321.76,7442572237566.637,8283382,1956700889601.414,180035154048.306,3571378982571.954,7205003264772.31,5001545212152.508,7066412525949.721,3590197841285.75,516.47,698.17,75.21,755.76
n-18283383,3383,83383,2016-12-28,2019-12-31,2009-11-28,false,2013-01-19,2015-04-24,8559407207524.126,6313393508699.015,4172948011761.501,4594814847078.336,6440765251999.342,788346469419.045,6585489318650.389,9836463683486.13,3539709371714.652,662.392,7487012035534.29,389572216040.675,8283383,9408371625851.285,6538353424448.416,4545282772565.43,7379282110169.298,1317916165285.851,2308028632812.45,9919264081225.238,502.71,781.45,979.31,644.4
n-18283384,3384,83384,2012-02-15,2021-04-15,2002-04-06,true,2003-06-27,2021-12-20,7145424164197.766,4063103254286.024,2422263869868.859,6251146635534.214,5695799905663.138,4866571088004.855,8831237404632.441,7710030208110.214,8392124616985.48,991.626,7876200308841.539,5086173429073.35,8283384,6915056635329.168,6932399517465.727,8713289881925.896,9181857056735.45,1172998553731.218,8462044365401.282,9966306192694.746,513.6,852.22,357.45,269.19
n-18283385,3385,83385,2011-09-30,2023-07-12,2013-11-07,false,2005-06-23,2018-11-07,3942916590140.136,645379412839.888,6679022174644.617,952322431835.377,9365328498256.64,9460885865406.914,9468894533196.418,7717948240239.007,9834989909859.99,945.217,107676425148.127,4291661531694.646,8283385,9818034746943.357,278311591054.512,6744526896321.07,2240282252039.874,1533237544866.642,5535286666122.816,370185940319.489,284.23,638.07,183.7,583.97
n-18283386,3386,83386,2002-08-30,2007-03-22,2011-07-30,true,2013-02-24,2023-08-20,1587019739565.589,1578556005223.09,8594430337870.747,1300666121761.617,2025667390031.021,206309110658.779,2872115409912.763,3695001619483.455,9475070661198.947,132.291,4005544888381.489,430503973303.832,8283386,5504291472707.119,2493713409785.745,6298307391602.306,3322097553428.559,4739438836852.884,8606929247410.664,8669178638231.795,621.43,187.46,190.81,248.28
