Supplier,PurchasingOrganization,AutomaticEvaluatedRcptSettlmt,CalculationSchemaGroupCode,DeletionIndicator,EvaldReceiptSettlementIsActive,IncotermsClassification,IncotermsTransferLocation,IncotermsVersion,IncotermsLocation1,IncotermsLocation2,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,IntrastatCrsBorderTrMode,InvoiceIsGoodsReceiptBased,InvoiceIsMMServiceEntryBased,MaterialPlannedDeliveryDurn,MinimumOrderAmount,PaymentTerms,PlanningCycle,PricingDateControl,ProdStockAndSlsDataTransfPrfl,ProductUnitGroup,PurOrdAutoGenerationIsAllowed,PurchaseOrderCurrency,PurchasingGroup,PurchasingIsBlockedForSupplier,RoundingProfile,ShippingCondition,SuplrDiscountInKindIsGranted,SuplrInvcRevalIsAllowed,SuplrIsRlvtForSettlmtMgmt,SuplrPurgOrgIsRlvtForPriceDetn,SupplierABCClassificationCode,SupplierAccountNumber,SupplierIsReturnsSupplier,SupplierPhoneNumber,SupplierRespSalesPersonName,SupplierConfirmationControlKey,IsOrderAcknRqd,AuthorizationGroup,SupplierAccountGroup
g-14590556,0556,true,56,true,true,556,rmsTransferLocation-14590556,0556,IncotermsLocation1-14590556,IncotermsLocation2-14590556,14590556-7bc9-47cc-80cf-241e57b6a54a,14590556-bd10-48e1-8237-de7ec9408057,14590556-5368-4b48-91ee-02b6392d4e02,6,true,true,5,73207251784.211,0556,556,6,0556,0556,true,90556,556,true,0556,56,true,true,true,true,6,ber-14590556,true,eNumber-14590556,erRespSalesPersonName-14590556,0556,true,0556,0556
g-14590557,0557,false,57,false,false,557,rmsTransferLocation-14590557,0557,IncotermsLocation1-14590557,IncotermsLocation2-14590557,14590557-f08c-4093-bb6e-d3dc8a67353d,14590557-7222-4e28-8410-63e07457f3f4,14590557-ed9b-429d-8dec-bf1ca199ebb5,7,false,false,88,99460802782.833,0557,557,7,0557,0557,false,90557,557,false,0557,57,false,false,false,false,7,ber-14590557,false,eNumber-14590557,erRespSalesPersonName-14590557,0557,false,0557,0557
g-14590558,0558,true,58,true,true,558,rmsTransferLocation-14590558,0558,IncotermsLocation1-14590558,IncotermsLocation2-14590558,14590558-1046-4a32-86ac-afa39c56b306,14590558-02ab-41f5-8b1a-30b729a2f872,14590558-0d34-45fd-9d4a-93c874b0a96b,8,true,true,6,48806948306.608,0558,558,8,0558,0558,true,90558,558,true,0558,58,true,true,true,true,8,ber-14590558,true,eNumber-14590558,erRespSalesPersonName-14590558,0558,true,0558,0558
g-14590559,0559,false,59,false,false,559,rmsTransferLocation-14590559,0559,IncotermsLocation1-14590559,IncotermsLocation2-14590559,14590559-8b55-4adb-bea4-c04eb4ea817c,14590559-c162-4ba9-99cd-8bff61c9ac7d,14590559-16d1-4c28-9df3-1257974c2e5d,9,false,false,53,77675810210.829,0559,559,9,0559,0559,false,90559,559,false,0559,59,false,false,false,false,9,ber-14590559,false,eNumber-14590559,erRespSalesPersonName-14590559,0559,false,0559,0559
g-14590560,0560,true,60,true,true,560,rmsTransferLocation-14590560,0560,IncotermsLocation1-14590560,IncotermsLocation2-14590560,14590560-4127-470b-ad0e-f3b679c0b6a4,14590560-a896-4f58-aa87-6d0ad1b5b5f2,14590560-6773-4e66-819f-7a99840c95d5,0,true,true,301,62242259557.385,0560,560,0,0560,0560,true,90560,560,true,0560,60,true,true,true,true,0,ber-14590560,true,eNumber-14590560,erRespSalesPersonName-14590560,0560,true,0560,0560
g-14590561,0561,false,61,false,false,561,rmsTransferLocation-14590561,0561,IncotermsLocation1-14590561,IncotermsLocation2-14590561,14590561-0538-4b80-bace-8d3ae34a5301,14590561-fcd1-44c6-8452-37dd22b711bb,14590561-91d0-45a4-8d77-02459c8089a5,1,false,false,402,58832574280.771,0561,561,1,0561,0561,false,90561,561,false,0561,61,false,false,false,false,1,ber-14590561,false,eNumber-14590561,erRespSalesPersonName-14590561,0561,false,0561,0561
g-14590562,0562,true,62,true,true,562,rmsTransferLocation-14590562,0562,IncotermsLocation1-14590562,IncotermsLocation2-14590562,14590562-14c3-427d-ad04-5a96d1c215f3,14590562-63a6-42c3-98a1-44b74e77eca6,14590562-377a-4fa3-997a-664e870f549f,2,true,true,34,1737293666.468,0562,562,2,0562,0562,true,90562,562,true,0562,62,true,true,true,true,2,ber-14590562,true,eNumber-14590562,erRespSalesPersonName-14590562,0562,true,0562,0562
g-14590563,0563,false,63,false,false,563,rmsTransferLocation-14590563,0563,IncotermsLocation1-14590563,IncotermsLocation2-14590563,14590563-f38d-4240-8d6e-4837ad96a0c7,14590563-b22b-4037-9cd3-16b7715c22e1,14590563-2625-4ab3-ad01-1850f50f2388,3,false,false,943,43650163087.278,0563,563,3,0563,0563,false,90563,563,false,0563,63,false,false,false,false,3,ber-14590563,false,eNumber-14590563,erRespSalesPersonName-14590563,0563,false,0563,0563
g-14590564,0564,true,64,true,true,564,rmsTransferLocation-14590564,0564,IncotermsLocation1-14590564,IncotermsLocation2-14590564,14590564-7353-445d-bf34-6b40763bc826,14590564-fdee-43c5-8bbc-52f3c4aee598,14590564-966b-4f17-afc2-507347f52ec0,4,true,true,862,37681118690.532,0564,564,4,0564,0564,true,90564,564,true,0564,64,true,true,true,true,4,ber-14590564,true,eNumber-14590564,erRespSalesPersonName-14590564,0564,true,0564,0564
g-14590565,0565,false,65,false,false,565,rmsTransferLocation-14590565,0565,IncotermsLocation1-14590565,IncotermsLocation2-14590565,14590565-ac63-4d9e-aa82-85b46323d372,14590565-273b-4083-840d-0bc4a922e5b2,14590565-aaef-4d32-b1b0-5cf55f332e87,5,false,false,549,49089228039.56,0565,565,5,0565,0565,false,90565,565,false,0565,65,false,false,false,false,5,ber-14590565,false,eNumber-14590565,erRespSalesPersonName-14590565,0565,false,0565,0565
g-14590566,0566,true,66,true,true,566,rmsTransferLocation-14590566,0566,IncotermsLocation1-14590566,IncotermsLocation2-14590566,14590566-947e-45e2-b85d-7a511ba8e765,14590566-5b82-4ce3-97ee-d3ab3b2d48df,14590566-48a0-4156-87d5-ed492709dae9,6,true,true,97,49250956048.579,0566,566,6,0566,0566,true,90566,566,true,0566,66,true,true,true,true,6,ber-14590566,true,eNumber-14590566,erRespSalesPersonName-14590566,0566,true,0566,0566
g-14590567,0567,false,67,false,false,567,rmsTransferLocation-14590567,0567,IncotermsLocation1-14590567,IncotermsLocation2-14590567,14590567-e6d5-4600-9a47-a03afba416af,14590567-cfba-4c98-8472-e56870629eff,14590567-8160-4a0d-a0d5-b1e9e58fb9cf,7,false,false,644,82133712651.004,0567,567,7,0567,0567,false,90567,567,false,0567,67,false,false,false,false,7,ber-14590567,false,eNumber-14590567,erRespSalesPersonName-14590567,0567,false,0567,0567
g-14590568,0568,true,68,true,true,568,rmsTransferLocation-14590568,0568,IncotermsLocation1-14590568,IncotermsLocation2-14590568,14590568-bd29-4a86-92ae-b618c75ee28f,14590568-4af7-44d6-bae9-f3e18c7c316f,14590568-b5fa-48aa-a740-2d58d5cbec90,8,true,true,550,67497148438.327,0568,568,8,0568,0568,true,90568,568,true,0568,68,true,true,true,true,8,ber-14590568,true,eNumber-14590568,erRespSalesPersonName-14590568,0568,true,0568,0568
g-14590569,0569,false,69,false,false,569,rmsTransferLocation-14590569,0569,IncotermsLocation1-14590569,IncotermsLocation2-14590569,14590569-9318-43f0-8523-7b899d0efeb6,14590569-f1d7-4344-bbad-d060892248b1,14590569-813d-4f74-9b17-bed5afe19762,9,false,false,468,20826186858.028,0569,569,9,0569,0569,false,90569,569,false,0569,69,false,false,false,false,9,ber-14590569,false,eNumber-14590569,erRespSalesPersonName-14590569,0569,false,0569,0569
g-14590570,0570,true,70,true,true,570,rmsTransferLocation-14590570,0570,IncotermsLocation1-14590570,IncotermsLocation2-14590570,14590570-c3f7-4d6e-9175-2cff328c00db,14590570-a3a1-488a-8404-7caed77f84c8,14590570-842a-4902-8cb8-d249f215e87e,0,true,true,537,44015481452.308,0570,570,0,0570,0570,true,90570,570,true,0570,70,true,true,true,true,0,ber-14590570,true,eNumber-14590570,erRespSalesPersonName-14590570,0570,true,0570,0570
g-14590571,0571,false,71,false,false,571,rmsTransferLocation-14590571,0571,IncotermsLocation1-14590571,IncotermsLocation2-14590571,14590571-82fd-438e-af66-d410ac36849f,14590571-6c80-4ac2-abe6-8430bc4c58c7,14590571-0e15-4796-b20b-bb5600d8eff0,1,false,false,316,40508847488.467,0571,571,1,0571,0571,false,90571,571,false,0571,71,false,false,false,false,1,ber-14590571,false,eNumber-14590571,erRespSalesPersonName-14590571,0571,false,0571,0571
g-14590572,0572,true,72,true,true,572,rmsTransferLocation-14590572,0572,IncotermsLocation1-14590572,IncotermsLocation2-14590572,14590572-c23d-4d86-af8b-a2ce082840de,14590572-cd21-4203-add7-ab3546d71606,14590572-fedc-4a7a-9ea4-0886d069be69,2,true,true,639,62216938219.398,0572,572,2,0572,0572,true,90572,572,true,0572,72,true,true,true,true,2,ber-14590572,true,eNumber-14590572,erRespSalesPersonName-14590572,0572,true,0572,0572
g-14590573,0573,false,73,false,false,573,rmsTransferLocation-14590573,0573,IncotermsLocation1-14590573,IncotermsLocation2-14590573,14590573-ba37-42ec-82e1-25c34cebd11b,14590573-31d7-43a1-9ba9-c6e8aa83ce89,14590573-6d69-4192-a195-3a4f23321496,3,false,false,955,21977672030.491,0573,573,3,0573,0573,false,90573,573,false,0573,73,false,false,false,false,3,ber-14590573,false,eNumber-14590573,erRespSalesPersonName-14590573,0573,false,0573,0573
g-14590574,0574,true,74,true,true,574,rmsTransferLocation-14590574,0574,IncotermsLocation1-14590574,IncotermsLocation2-14590574,14590574-a4a0-49b1-a039-8cce27215efd,14590574-41db-4536-83fe-87021ff2f72a,14590574-b34b-4807-959b-3cd24239bf6b,4,true,true,357,87356627285.241,0574,574,4,0574,0574,true,90574,574,true,0574,74,true,true,true,true,4,ber-14590574,true,eNumber-14590574,erRespSalesPersonName-14590574,0574,true,0574,0574
g-14590575,0575,false,75,false,false,575,rmsTransferLocation-14590575,0575,IncotermsLocation1-14590575,IncotermsLocation2-14590575,14590575-9ae9-47a7-af91-01ca226b33fa,14590575-51b3-406f-b308-9e09f1316a96,14590575-7d6f-45d3-ae98-1d8e5c43dbf1,5,false,false,910,32033302185.448,0575,575,5,0575,0575,false,90575,575,false,0575,75,false,false,false,false,5,ber-14590575,false,eNumber-14590575,erRespSalesPersonName-14590575,0575,false,0575,0575
g-14590576,0576,true,76,true,true,576,rmsTransferLocation-14590576,0576,IncotermsLocation1-14590576,IncotermsLocation2-14590576,14590576-18e4-4357-ac16-55141078cf35,14590576-07c9-430b-b1e3-43dbcd0357a8,14590576-9c8f-46a1-acf4-fe0ec18a8d96,6,true,true,496,76845376693.06,0576,576,6,0576,0576,true,90576,576,true,0576,76,true,true,true,true,6,ber-14590576,true,eNumber-14590576,erRespSalesPersonName-14590576,0576,true,0576,0576
g-14590577,0577,false,77,false,false,577,rmsTransferLocation-14590577,0577,IncotermsLocation1-14590577,IncotermsLocation2-14590577,14590577-f9f8-4a38-ba3b-908854cdf4c9,14590577-0c4b-49d8-8961-c0964bdf70b5,14590577-c28a-4dd4-91e4-89d7aabf0080,7,false,false,855,59328637734.739,0577,577,7,0577,0577,false,90577,577,false,0577,77,false,false,false,false,7,ber-14590577,false,eNumber-14590577,erRespSalesPersonName-14590577,0577,false,0577,0577
g-14590578,0578,true,78,true,true,578,rmsTransferLocation-14590578,0578,IncotermsLocation1-14590578,IncotermsLocation2-14590578,14590578-e69e-41b3-9159-9f8dbd0eb32d,14590578-b774-4f2d-b7bd-6d902b402bc9,14590578-97be-46db-8bfc-db699a0ff421,8,true,true,440,47922444952.853,0578,578,8,0578,0578,true,90578,578,true,0578,78,true,true,true,true,8,ber-14590578,true,eNumber-14590578,erRespSalesPersonName-14590578,0578,true,0578,0578
g-14590579,0579,false,79,false,false,579,rmsTransferLocation-14590579,0579,IncotermsLocation1-14590579,IncotermsLocation2-14590579,14590579-5dae-4cce-87da-31c290f3aced,14590579-abca-4725-ae08-b80e172853f0,14590579-514e-400c-9790-20a7c13ee2ed,9,false,false,570,7198259090.911,0579,579,9,0579,0579,false,90579,579,false,0579,79,false,false,false,false,9,ber-14590579,false,eNumber-14590579,erRespSalesPersonName-14590579,0579,false,0579,0579
g-14590580,0580,true,80,true,true,580,rmsTransferLocation-14590580,0580,IncotermsLocation1-14590580,IncotermsLocation2-14590580,14590580-e64e-491d-a9fe-63278213e77e,14590580-aec3-4528-8d51-63e417261aef,14590580-3ccd-4360-b77c-9801708b936f,0,true,true,67,70212325367.677,0580,580,0,0580,0580,true,90580,580,true,0580,80,true,true,true,true,0,ber-14590580,true,eNumber-14590580,erRespSalesPersonName-14590580,0580,true,0580,0580
g-14590581,0581,false,81,false,false,581,rmsTransferLocation-14590581,0581,IncotermsLocation1-14590581,IncotermsLocation2-14590581,14590581-56e3-42d9-8a90-31583f5d88a9,14590581-2093-4159-b827-5e061386f3f3,14590581-9b72-4318-99cd-ecfdb2b69f48,1,false,false,659,46704257597.147,0581,581,1,0581,0581,false,90581,581,false,0581,81,false,false,false,false,1,ber-14590581,false,eNumber-14590581,erRespSalesPersonName-14590581,0581,false,0581,0581
g-14590582,0582,true,82,true,true,582,rmsTransferLocation-14590582,0582,IncotermsLocation1-14590582,IncotermsLocation2-14590582,14590582-e3eb-4932-a76c-0be1c2f151fa,14590582-0dfa-4620-b6d8-c9f5bcf77b8c,14590582-8873-4061-b647-e6f4f2da36a7,2,true,true,382,72122940855.862,0582,582,2,0582,0582,true,90582,582,true,0582,82,true,true,true,true,2,ber-14590582,true,eNumber-14590582,erRespSalesPersonName-14590582,0582,true,0582,0582
g-14590583,0583,false,83,false,false,583,rmsTransferLocation-14590583,0583,IncotermsLocation1-14590583,IncotermsLocation2-14590583,14590583-467f-4b21-bc69-70ef597ec5aa,14590583-78f5-4a86-b80c-e133f1504a6d,14590583-af62-4def-bdae-0052160e5ec2,3,false,false,323,90141946146.091,0583,583,3,0583,0583,false,90583,583,false,0583,83,false,false,false,false,3,ber-14590583,false,eNumber-14590583,erRespSalesPersonName-14590583,0583,false,0583,0583
g-14590584,0584,true,84,true,true,584,rmsTransferLocation-14590584,0584,IncotermsLocation1-14590584,IncotermsLocation2-14590584,14590584-1864-4bff-9b26-3e65015d8091,14590584-2105-4c0e-98ba-6929f5a30916,14590584-e686-4076-96e9-0f24541a3116,4,true,true,511,75242604602.205,0584,584,4,0584,0584,true,90584,584,true,0584,84,true,true,true,true,4,ber-14590584,true,eNumber-14590584,erRespSalesPersonName-14590584,0584,true,0584,0584
g-14590585,0585,false,85,false,false,585,rmsTransferLocation-14590585,0585,IncotermsLocation1-14590585,IncotermsLocation2-14590585,14590585-7c8d-4c9b-a906-0cc0c849ec52,14590585-572a-41f5-896b-bdf0c7e9c30d,14590585-dd89-4bee-a4e6-db3401659625,5,false,false,102,36149127386.643,0585,585,5,0585,0585,false,90585,585,false,0585,85,false,false,false,false,5,ber-14590585,false,eNumber-14590585,erRespSalesPersonName-14590585,0585,false,0585,0585
g-14590586,0586,true,86,true,true,586,rmsTransferLocation-14590586,0586,IncotermsLocation1-14590586,IncotermsLocation2-14590586,14590586-7a50-42a6-a171-d9ee96c3d1bf,14590586-811b-4864-94c6-e7d01caa1a4a,14590586-c4ee-4db1-b809-90925438cf92,6,true,true,380,49225596945.339,0586,586,6,0586,0586,true,90586,586,true,0586,86,true,true,true,true,6,ber-14590586,true,eNumber-14590586,erRespSalesPersonName-14590586,0586,true,0586,0586
g-14590587,0587,false,87,false,false,587,rmsTransferLocation-14590587,0587,IncotermsLocation1-14590587,IncotermsLocation2-14590587,14590587-4ef7-4df1-bd9f-ecd9c4ca0d70,14590587-a3d2-40ed-9c0f-0afcb74a60ec,14590587-41fe-45fb-8a06-6801649b9c90,7,false,false,804,27580029086.242,0587,587,7,0587,0587,false,90587,587,false,0587,87,false,false,false,false,7,ber-14590587,false,eNumber-14590587,erRespSalesPersonName-14590587,0587,false,0587,0587
g-14590588,0588,true,88,true,true,588,rmsTransferLocation-14590588,0588,IncotermsLocation1-14590588,IncotermsLocation2-14590588,14590588-64a5-45af-a5bf-d12f0cadf91d,14590588-834a-4993-8bc5-f770b52906fe,14590588-d5e9-4bde-a874-2cbbf685ddee,8,true,true,42,89693809445.579,0588,588,8,0588,0588,true,90588,588,true,0588,88,true,true,true,true,8,ber-14590588,true,eNumber-14590588,erRespSalesPersonName-14590588,0588,true,0588,0588
g-14590589,0589,false,89,false,false,589,rmsTransferLocation-14590589,0589,IncotermsLocation1-14590589,IncotermsLocation2-14590589,14590589-9d0a-4f90-9637-a210e94eb37a,14590589-61e3-4e61-836c-b132731fa1bc,14590589-4d4a-4624-9e88-b5c166e3adeb,9,false,false,889,15008708576.748,0589,589,9,0589,0589,false,90589,589,false,0589,89,false,false,false,false,9,ber-14590589,false,eNumber-14590589,erRespSalesPersonName-14590589,0589,false,0589,0589
g-14590590,0590,true,90,true,true,590,rmsTransferLocation-14590590,0590,IncotermsLocation1-14590590,IncotermsLocation2-14590590,14590590-c71e-4085-9595-cd5fb1fb183e,14590590-f9e3-465a-9e64-3456bedd2af3,14590590-c072-4edb-b54d-d4b84577689c,0,true,true,281,63599635594.08,0590,590,0,0590,0590,true,90590,590,true,0590,90,true,true,true,true,0,ber-14590590,true,eNumber-14590590,erRespSalesPersonName-14590590,0590,true,0590,0590
g-14590591,0591,false,91,false,false,591,rmsTransferLocation-14590591,0591,IncotermsLocation1-14590591,IncotermsLocation2-14590591,14590591-070d-462b-b8b4-11cd3422cac8,14590591-abb6-499a-a30b-faed63c65e84,14590591-3ffd-4743-bbe7-3996d879dbcd,1,false,false,571,2869534496.73,0591,591,1,0591,0591,false,90591,591,false,0591,91,false,false,false,false,1,ber-14590591,false,eNumber-14590591,erRespSalesPersonName-14590591,0591,false,0591,0591
g-14590592,0592,true,92,true,true,592,rmsTransferLocation-14590592,0592,IncotermsLocation1-14590592,IncotermsLocation2-14590592,14590592-0454-4269-98f5-e05392f256cf,14590592-9c39-47a6-bf3b-6b2266d8ed5d,14590592-8bc5-4d5e-8157-c32596326992,2,true,true,908,35691634441.013,0592,592,2,0592,0592,true,90592,592,true,0592,92,true,true,true,true,2,ber-14590592,true,eNumber-14590592,erRespSalesPersonName-14590592,0592,true,0592,0592
g-14590593,0593,false,93,false,false,593,rmsTransferLocation-14590593,0593,IncotermsLocation1-14590593,IncotermsLocation2-14590593,14590593-a9a8-4df1-b3e5-d052c3e1b225,14590593-63a6-44bd-8fea-7fdf9b4251e8,14590593-606d-48c3-aee7-e307c4d52e35,3,false,false,4,56377140905.343,0593,593,3,0593,0593,false,90593,593,false,0593,93,false,false,false,false,3,ber-14590593,false,eNumber-14590593,erRespSalesPersonName-14590593,0593,false,0593,0593
g-14590594,0594,true,94,true,true,594,rmsTransferLocation-14590594,0594,IncotermsLocation1-14590594,IncotermsLocation2-14590594,14590594-12d8-4d37-b3c3-75df16f4e063,14590594-a054-4c0f-aab8-9a4ffe23035e,14590594-e403-4c2b-917d-82ebaae2fb81,4,true,true,370,22905441324.7,0594,594,4,0594,0594,true,90594,594,true,0594,94,true,true,true,true,4,ber-14590594,true,eNumber-14590594,erRespSalesPersonName-14590594,0594,true,0594,0594
g-14590595,0595,false,95,false,false,595,rmsTransferLocation-14590595,0595,IncotermsLocation1-14590595,IncotermsLocation2-14590595,14590595-d809-4fd1-89bf-a879827402c6,14590595-7909-42f7-a86b-d7edf3b39977,14590595-fc48-4de6-a1c3-57df63579d71,5,false,false,622,98081368920.087,0595,595,5,0595,0595,false,90595,595,false,0595,95,false,false,false,false,5,ber-14590595,false,eNumber-14590595,erRespSalesPersonName-14590595,0595,false,0595,0595
g-14590596,0596,true,96,true,true,596,rmsTransferLocation-14590596,0596,IncotermsLocation1-14590596,IncotermsLocation2-14590596,14590596-bde6-4b28-b97f-18c32f56682b,14590596-b659-414e-95b3-c391d1b16e41,14590596-450d-495e-9d73-1c744c29c6c6,6,true,true,169,72482858845.725,0596,596,6,0596,0596,true,90596,596,true,0596,96,true,true,true,true,6,ber-14590596,true,eNumber-14590596,erRespSalesPersonName-14590596,0596,true,0596,0596
g-14590597,0597,false,97,false,false,597,rmsTransferLocation-14590597,0597,IncotermsLocation1-14590597,IncotermsLocation2-14590597,14590597-4a86-4bef-8fc4-3066548a8d88,14590597-60f5-4d49-ac0c-9b8de7bea929,14590597-9339-48bb-9b24-5d033e6ec9f5,7,false,false,954,87704325196.827,0597,597,7,0597,0597,false,90597,597,false,0597,97,false,false,false,false,7,ber-14590597,false,eNumber-14590597,erRespSalesPersonName-14590597,0597,false,0597,0597
g-14590598,0598,true,98,true,true,598,rmsTransferLocation-14590598,0598,IncotermsLocation1-14590598,IncotermsLocation2-14590598,14590598-7db1-474e-ae17-21d9f18dc833,14590598-545e-4681-9de5-dee3439d77d4,14590598-9f4f-45c6-8496-58b3ca7cdb98,8,true,true,777,172849760.935,0598,598,8,0598,0598,true,90598,598,true,0598,98,true,true,true,true,8,ber-14590598,true,eNumber-14590598,erRespSalesPersonName-14590598,0598,true,0598,0598
g-14590599,0599,false,99,false,false,599,rmsTransferLocation-14590599,0599,IncotermsLocation1-14590599,IncotermsLocation2-14590599,14590599-da30-420d-ac50-ebee2dd71013,14590599-69ca-4760-ae6d-64b08adeb9e0,14590599-0303-485e-aec4-dda715e006de,9,false,false,605,75455381259.617,0599,599,9,0599,0599,false,90599,599,false,0599,99,false,false,false,false,9,ber-14590599,false,eNumber-14590599,erRespSalesPersonName-14590599,0599,false,0599,0599
