BusinessPartner,BPIdentificationType,BPIdentificationNumber,BPIdnNmbrIssuingInstitute,BPIdentificationEntryDate,Country,Region,ValidityStartDate,ValidityEndDate,AuthorizationGroup
n-28575592,575592,A_BuPaIdentification-28575592,BPIdnNmbrIssuingInstitute-28575592,2004-03-28,592,592,2015-05-21,2010-05-27,5592
n-28575593,575593,A_BuPaIdentification-28575593,BPIdnNmbrIssuingInstitute-28575593,2004-11-10,593,593,2012-02-27,2011-09-02,5593
n-28575594,575594,A_BuPaIdentification-28575594,BPIdnNmbrIssuingInstitute-28575594,2002-08-26,594,594,2006-11-04,2020-04-06,5594
n-28575595,575595,A_BuPaIdentification-28575595,BPIdnNmbrIssuingInstitute-28575595,2021-12-29,595,595,2009-04-03,2007-02-17,5595
n-28575596,575596,A_BuPaIdentification-28575596,BPIdnNmbrIssuingInstitute-28575596,2006-09-30,596,596,2014-03-25,2002-05-20,5596
n-28575597,575597,A_BuPaIdentification-28575597,BPIdnNmbrIssuingInstitute-28575597,2020-09-18,597,597,2020-08-02,2022-08-09,5597
n-28575598,575598,A_BuPaIdentification-28575598,BPIdnNmbrIssuingInstitute-28575598,2008-02-03,598,598,2004-02-11,2007-08-18,5598
n-28575599,575599,A_BuPaIdentification-28575599,BPIdnNmbrIssuingInstitute-28575599,2003-04-17,599,599,2008-02-04,2014-03-19,5599
n-28575600,575600,A_BuPaIdentification-28575600,BPIdnNmbrIssuingInstitute-28575600,2001-10-24,600,600,2017-03-21,2017-11-15,5600
n-28575601,575601,A_BuPaIdentification-28575601,BPIdnNmbrIssuingInstitute-28575601,2003-10-20,601,601,2019-12-09,2017-07-08,5601
n-28575602,575602,A_BuPaIdentification-28575602,BPIdnNmbrIssuingInstitute-28575602,2000-08-26,602,602,2001-09-09,2011-01-16,5602
n-28575603,575603,A_BuPaIdentification-28575603,BPIdnNmbrIssuingInstitute-28575603,2013-11-17,603,603,2020-12-03,2010-02-22,5603
n-28575604,575604,A_BuPaIdentification-28575604,BPIdnNmbrIssuingInstitute-28575604,2007-01-06,604,604,2015-03-29,2016-03-31,5604
n-28575605,575605,A_BuPaIdentification-28575605,BPIdnNmbrIssuingInstitute-28575605,2008-03-03,605,605,2019-12-02,2019-09-10,5605
n-28575606,575606,A_BuPaIdentification-28575606,BPIdnNmbrIssuingInstitute-28575606,2002-08-09,606,606,2016-07-01,2017-05-29,5606
n-28575607,575607,A_BuPaIdentification-28575607,BPIdnNmbrIssuingInstitute-28575607,2022-07-04,607,607,2015-07-25,2013-05-03,5607
n-28575608,575608,A_BuPaIdentification-28575608,BPIdnNmbrIssuingInstitute-28575608,2005-08-05,608,608,2006-02-10,2011-10-15,5608
n-28575609,575609,A_BuPaIdentification-28575609,BPIdnNmbrIssuingInstitute-28575609,2019-08-05,609,609,2012-05-11,2018-06-11,5609
n-28575610,575610,A_BuPaIdentification-28575610,BPIdnNmbrIssuingInstitute-28575610,2000-08-17,610,610,2005-06-24,2002-12-18,5610
n-28575611,575611,A_BuPaIdentification-28575611,BPIdnNmbrIssuingInstitute-28575611,2014-07-09,611,611,2021-08-03,2012-01-27,5611
n-28575612,575612,A_BuPaIdentification-28575612,BPIdnNmbrIssuingInstitute-28575612,2019-04-03,612,612,2013-07-06,2003-07-26,5612
n-28575613,575613,A_BuPaIdentification-28575613,BPIdnNmbrIssuingInstitute-28575613,2020-06-07,613,613,2000-12-01,2023-01-13,5613
n-28575614,575614,A_BuPaIdentification-28575614,BPIdnNmbrIssuingInstitute-28575614,2014-01-04,614,614,2001-11-12,2021-01-15,5614
n-28575615,575615,A_BuPaIdentification-28575615,BPIdnNmbrIssuingInstitute-28575615,2018-03-22,615,615,2005-01-20,2018-08-12,5615
n-28575616,575616,A_BuPaIdentification-28575616,BPIdnNmbrIssuingInstitute-28575616,2018-01-20,616,616,2016-05-29,2016-11-14,5616
n-28575617,575617,A_BuPaIdentification-28575617,BPIdnNmbrIssuingInstitute-28575617,2023-06-12,617,617,2001-03-16,2019-02-12,5617
n-28575618,575618,A_BuPaIdentification-28575618,BPIdnNmbrIssuingInstitute-28575618,2022-09-06,618,618,2023-10-30,2014-10-02,5618
n-28575619,575619,A_BuPaIdentification-28575619,BPIdnNmbrIssuingInstitute-28575619,2002-12-28,619,619,2020-06-29,2019-03-22,5619
n-28575620,575620,A_BuPaIdentification-28575620,BPIdnNmbrIssuingInstitute-28575620,2012-12-23,620,620,2016-06-24,2020-03-07,5620
n-28575621,575621,A_BuPaIdentification-28575621,BPIdnNmbrIssuingInstitute-28575621,2017-10-12,621,621,2009-10-12,2006-05-07,5621
n-28575622,575622,A_BuPaIdentification-28575622,BPIdnNmbrIssuingInstitute-28575622,2009-03-18,622,622,2013-02-26,2009-06-10,5622
n-28575623,575623,A_BuPaIdentification-28575623,BPIdnNmbrIssuingInstitute-28575623,2002-03-02,623,623,2022-04-02,2006-12-29,5623
n-28575624,575624,A_BuPaIdentification-28575624,BPIdnNmbrIssuingInstitute-28575624,2023-01-26,624,624,2000-09-08,2006-12-02,5624
n-28575625,575625,A_BuPaIdentification-28575625,BPIdnNmbrIssuingInstitute-28575625,2015-05-15,625,625,2022-03-11,2018-03-10,5625
n-28575626,575626,A_BuPaIdentification-28575626,BPIdnNmbrIssuingInstitute-28575626,2004-07-07,626,626,2008-05-01,2012-01-08,5626
n-28575627,575627,A_BuPaIdentification-28575627,BPIdnNmbrIssuingInstitute-28575627,2009-07-20,627,627,2023-11-08,2016-06-09,5627
n-28575628,575628,A_BuPaIdentification-28575628,BPIdnNmbrIssuingInstitute-28575628,2023-05-28,628,628,2012-04-29,2012-04-23,5628
n-28575629,575629,A_BuPaIdentification-28575629,BPIdnNmbrIssuingInstitute-28575629,2015-06-29,629,629,2002-12-16,2013-06-21,5629
