Customer,SalesOrganization,DistributionChannel,Division,PartnerCounter,PartnerFunction,BPCustomerNumber,CustomerPartnerDescription,DefaultPartner,Supplier,PersonnelNumber,ContactPerson,AddressID,AuthorizationGroup
c-10985541,5541,41,41,541,41,r-10985541,merPartnerDescription-10985541,false,r-10985541,10985541,n-10985541,D-10985541,5541
c-10985542,5542,42,42,542,42,r-10985542,merPartnerDescription-10985542,true,r-10985542,10985542,n-10985542,D-10985542,5542
c-10985543,5543,43,43,543,43,r-10985543,merPartnerDescription-10985543,false,r-10985543,10985543,n-10985543,D-10985543,5543
c-10985544,5544,44,44,544,44,r-10985544,merPartnerDescription-10985544,true,r-10985544,10985544,n-10985544,D-10985544,5544
c-10985545,5545,45,45,545,45,r-10985545,merPartnerDescription-10985545,false,r-10985545,10985545,n-10985545,D-10985545,5545
c-10985546,5546,46,46,546,46,r-10985546,merPartnerDescription-10985546,true,r-10985546,10985546,n-10985546,D-10985546,5546
c-10985547,5547,47,47,547,47,r-10985547,merPartnerDescription-10985547,false,r-10985547,10985547,n-10985547,D-10985547,5547
c-10985548,5548,48,48,548,48,r-10985548,merPartnerDescription-10985548,true,r-10985548,10985548,n-10985548,D-10985548,5548
c-10985549,5549,49,49,549,49,r-10985549,merPartnerDescription-10985549,false,r-10985549,10985549,n-10985549,D-10985549,5549
c-10985550,5550,50,50,550,50,r-10985550,merPartnerDescription-10985550,true,r-10985550,10985550,n-10985550,D-10985550,5550
c-10985551,5551,51,51,551,51,r-10985551,merPartnerDescription-10985551,false,r-10985551,10985551,n-10985551,D-10985551,5551
c-10985552,5552,52,52,552,52,r-10985552,merPartnerDescription-10985552,true,r-10985552,10985552,n-10985552,D-10985552,5552
c-10985553,5553,53,53,553,53,r-10985553,merPartnerDescription-10985553,false,r-10985553,10985553,n-10985553,D-10985553,5553
c-10985554,5554,54,54,554,54,r-10985554,merPartnerDescription-10985554,true,r-10985554,10985554,n-10985554,D-10985554,5554
c-10985555,5555,55,55,555,55,r-10985555,merPartnerDescription-10985555,false,r-10985555,10985555,n-10985555,D-10985555,5555
c-10985556,5556,56,56,556,56,r-10985556,merPartnerDescription-10985556,true,r-10985556,10985556,n-10985556,D-10985556,5556
c-10985557,5557,57,57,557,57,r-10985557,merPartnerDescription-10985557,false,r-10985557,10985557,n-10985557,D-10985557,5557
c-10985558,5558,58,58,558,58,r-10985558,merPartnerDescription-10985558,true,r-10985558,10985558,n-10985558,D-10985558,5558
c-10985559,5559,59,59,559,59,r-10985559,merPartnerDescription-10985559,false,r-10985559,10985559,n-10985559,D-10985559,5559
c-10985560,5560,60,60,560,60,r-10985560,merPartnerDescription-10985560,true,r-10985560,10985560,n-10985560,D-10985560,5560
c-10985561,5561,61,61,561,61,r-10985561,merPartnerDescription-10985561,false,r-10985561,10985561,n-10985561,D-10985561,5561
c-10985562,5562,62,62,562,62,r-10985562,merPartnerDescription-10985562,true,r-10985562,10985562,n-10985562,D-10985562,5562
c-10985563,5563,63,63,563,63,r-10985563,merPartnerDescription-10985563,false,r-10985563,10985563,n-10985563,D-10985563,5563
c-10985564,5564,64,64,564,64,r-10985564,merPartnerDescription-10985564,true,r-10985564,10985564,n-10985564,D-10985564,5564
c-10985565,5565,65,65,565,65,r-10985565,merPartnerDescription-10985565,false,r-10985565,10985565,n-10985565,D-10985565,5565
c-10985566,5566,66,66,566,66,r-10985566,merPartnerDescription-10985566,true,r-10985566,10985566,n-10985566,D-10985566,5566
c-10985567,5567,67,67,567,67,r-10985567,merPartnerDescription-10985567,false,r-10985567,10985567,n-10985567,D-10985567,5567
c-10985568,5568,68,68,568,68,r-10985568,merPartnerDescription-10985568,true,r-10985568,10985568,n-10985568,D-10985568,5568
c-10985569,5569,69,69,569,69,r-10985569,merPartnerDescription-10985569,false,r-10985569,10985569,n-10985569,D-10985569,5569
c-10985570,5570,70,70,570,70,r-10985570,merPartnerDescription-10985570,true,r-10985570,10985570,n-10985570,D-10985570,5570
c-10985571,5571,71,71,571,71,r-10985571,merPartnerDescription-10985571,false,r-10985571,10985571,n-10985571,D-10985571,5571
c-10985572,5572,72,72,572,72,r-10985572,merPartnerDescription-10985572,true,r-10985572,10985572,n-10985572,D-10985572,5572
c-10985573,5573,73,73,573,73,r-10985573,merPartnerDescription-10985573,false,r-10985573,10985573,n-10985573,D-10985573,5573
c-10985574,5574,74,74,574,74,r-10985574,merPartnerDescription-10985574,true,r-10985574,10985574,n-10985574,D-10985574,5574
c-10985575,5575,75,75,575,75,r-10985575,merPartnerDescription-10985575,false,r-10985575,10985575,n-10985575,D-10985575,5575
c-10985576,5576,76,76,576,76,r-10985576,merPartnerDescription-10985576,true,r-10985576,10985576,n-10985576,D-10985576,5576
c-10985577,5577,77,77,577,77,r-10985577,merPartnerDescription-10985577,false,r-10985577,10985577,n-10985577,D-10985577,5577
c-10985578,5578,78,78,578,78,r-10985578,merPartnerDescription-10985578,true,r-10985578,10985578,n-10985578,D-10985578,5578
c-10985579,5579,79,79,579,79,r-10985579,merPartnerDescription-10985579,false,r-10985579,10985579,n-10985579,D-10985579,5579
c-10985580,5580,80,80,580,80,r-10985580,merPartnerDescription-10985580,true,r-10985580,10985580,n-10985580,D-10985580,5580
c-10985581,5581,81,81,581,81,r-10985581,merPartnerDescription-10985581,false,r-10985581,10985581,n-10985581,D-10985581,5581
c-10985582,5582,82,82,582,82,r-10985582,merPartnerDescription-10985582,true,r-10985582,10985582,n-10985582,D-10985582,5582
c-10985583,5583,83,83,583,83,r-10985583,merPartnerDescription-10985583,false,r-10985583,10985583,n-10985583,D-10985583,5583
c-10985584,5584,84,84,584,84,r-10985584,merPartnerDescription-10985584,true,r-10985584,10985584,n-10985584,D-10985584,5584
c-10985585,5585,85,85,585,85,r-10985585,merPartnerDescription-10985585,false,r-10985585,10985585,n-10985585,D-10985585,5585
c-10985586,5586,86,86,586,86,r-10985586,merPartnerDescription-10985586,true,r-10985586,10985586,n-10985586,D-10985586,5586
c-10985587,5587,87,87,587,87,r-10985587,merPartnerDescription-10985587,false,r-10985587,10985587,n-10985587,D-10985587,5587
c-10985588,5588,88,88,588,88,r-10985588,merPartnerDescription-10985588,true,r-10985588,10985588,n-10985588,D-10985588,5588
c-10985589,5589,89,89,589,89,r-10985589,merPartnerDescription-10985589,false,r-10985589,10985589,n-10985589,D-10985589,5589
c-10985590,5590,90,90,590,90,r-10985590,merPartnerDescription-10985590,true,r-10985590,10985590,n-10985590,D-10985590,5590
c-10985591,5591,91,91,591,91,r-10985591,merPartnerDescription-10985591,false,r-10985591,10985591,n-10985591,D-10985591,5591
c-10985592,5592,92,92,592,92,r-10985592,merPartnerDescription-10985592,true,r-10985592,10985592,n-10985592,D-10985592,5592
c-10985593,5593,93,93,593,93,r-10985593,merPartnerDescription-10985593,false,r-10985593,10985593,n-10985593,D-10985593,5593
c-10985594,5594,94,94,594,94,r-10985594,merPartnerDescription-10985594,true,r-10985594,10985594,n-10985594,D-10985594,5594
c-10985595,5595,95,95,595,95,r-10985595,merPartnerDescription-10985595,false,r-10985595,10985595,n-10985595,D-10985595,5595
c-10985596,5596,96,96,596,96,r-10985596,merPartnerDescription-10985596,true,r-10985596,10985596,n-10985596,D-10985596,5596
c-10985597,5597,97,97,597,97,r-10985597,merPartnerDescription-10985597,false,r-10985597,10985597,n-10985597,D-10985597,5597
c-10985598,5598,98,98,598,98,r-10985598,merPartnerDescription-10985598,true,r-10985598,10985598,n-10985598,D-10985598,5598
c-10985599,5599,99,99,599,99,r-10985599,merPartnerDescription-10985599,false,r-10985599,10985599,n-10985599,D-10985599,5599
c-10985600,5600,00,00,600,00,r-10985600,merPartnerDescription-10985600,true,r-10985600,10985600,n-10985600,D-10985600,5600
c-10985601,5601,01,01,601,01,r-10985601,merPartnerDescription-10985601,false,r-10985601,10985601,n-10985601,D-10985601,5601
c-10985602,5602,02,02,602,02,r-10985602,merPartnerDescription-10985602,true,r-10985602,10985602,n-10985602,D-10985602,5602
c-10985603,5603,03,03,603,03,r-10985603,merPartnerDescription-10985603,false,r-10985603,10985603,n-10985603,D-10985603,5603
c-10985604,5604,04,04,604,04,r-10985604,merPartnerDescription-10985604,true,r-10985604,10985604,n-10985604,D-10985604,5604
c-10985605,5605,05,05,605,05,r-10985605,merPartnerDescription-10985605,false,r-10985605,10985605,n-10985605,D-10985605,5605
c-10985606,5606,06,06,606,06,r-10985606,merPartnerDescription-10985606,true,r-10985606,10985606,n-10985606,D-10985606,5606
c-10985607,5607,07,07,607,07,r-10985607,merPartnerDescription-10985607,false,r-10985607,10985607,n-10985607,D-10985607,5607
c-10985608,5608,08,08,608,08,r-10985608,merPartnerDescription-10985608,true,r-10985608,10985608,n-10985608,D-10985608,5608
c-10985609,5609,09,09,609,09,r-10985609,merPartnerDescription-10985609,false,r-10985609,10985609,n-10985609,D-10985609,5609
c-10985610,5610,10,10,610,10,r-10985610,merPartnerDescription-10985610,true,r-10985610,10985610,n-10985610,D-10985610,5610
c-10985611,5611,11,11,611,11,r-10985611,merPartnerDescription-10985611,false,r-10985611,10985611,n-10985611,D-10985611,5611
c-10985612,5612,12,12,612,12,r-10985612,merPartnerDescription-10985612,true,r-10985612,10985612,n-10985612,D-10985612,5612
c-10985613,5613,13,13,613,13,r-10985613,merPartnerDescription-10985613,false,r-10985613,10985613,n-10985613,D-10985613,5613
c-10985614,5614,14,14,614,14,r-10985614,merPartnerDescription-10985614,true,r-10985614,10985614,n-10985614,D-10985614,5614
c-10985615,5615,15,15,615,15,r-10985615,merPartnerDescription-10985615,false,r-10985615,10985615,n-10985615,D-10985615,5615
c-10985616,5616,16,16,616,16,r-10985616,merPartnerDescription-10985616,true,r-10985616,10985616,n-10985616,D-10985616,5616
c-10985617,5617,17,17,617,17,r-10985617,merPartnerDescription-10985617,false,r-10985617,10985617,n-10985617,D-10985617,5617
c-10985618,5618,18,18,618,18,r-10985618,merPartnerDescription-10985618,true,r-10985618,10985618,n-10985618,D-10985618,5618
c-10985619,5619,19,19,619,19,r-10985619,merPartnerDescription-10985619,false,r-10985619,10985619,n-10985619,D-10985619,5619
