Customer,SalesOrganization,DistributionChannel,Division,AccountByCustomer,AuthorizationGroup,BillingIsBlockedForCustomer,CompleteDeliveryIsDefined,CreditControlArea,Currency,CustIsRlvtForSettlmtMgmt,CustomerABCClassification,CustomerAccountAssignmentGroup,CustomerGroup,CustomerIsRebateRelevant,CustomerPaymentTerms,CustomerPriceGroup,CustomerPricingProcedure,CustomerStatisticsGroup,CustProdProposalProcedure,DeliveryIsBlockedForCustomer,DeliveryPriority,IncotermsClassification,IncotermsLocation2,IncotermsVersion,IncotermsLocation1,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,DeletionIndicator,IncotermsTransferLocation,InspSbstHasNoTimeOrQuantity,InvoiceDate,ItemOrderProbabilityInPercent,ManualInvoiceMaintIsRelevant,MaxNmbrOfPartialDelivery,OrderCombinationIsAllowed,OrderIsBlockedForCustomer,OverdelivTolrtdLmtRatioInPct,PartialDeliveryIsAllowed,PriceListType,ProductUnitGroup,ProofOfDeliveryTimeValue,SalesGroup,SalesItemProposal,SalesOffice,ShippingCondition,SlsDocIsRlvtForProofOfDeliv,SlsUnlmtdOvrdelivIsAllwd,SupplyingPlant,SalesDistrict,UnderdelivTolrtdLmtRatioInPct,InvoiceListSchedule,ExchangeRateType,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,PaymentGuaranteeProcedure,CustomerAccountGroup
ea-8239828,9828,28,28,omer-8239828,9828,28,true,9828,39828,true,28,28,28,true,9828,28,28,8,28,28,28,828,IncotermsLocation2-8239828,9828,IncotermsLocation1-8239828,82398289-e075-42db-832d-60503217aa2e,8239828c-2b36-4937-9811-9d4c9d82f9a3,82398281-649a-43d5-9123-4ae619bae7d7,true,ermsTransferLocation-8239828,true,28,828,true,2,true,28,53,8,28,9828,7343.83,828,al-8239828,9828,28,true,true,9828,239828,52,28,9828,828,828,828,828,828,9828,9828
ea-8239829,9829,29,29,omer-8239829,9829,29,false,9829,39829,false,29,29,29,false,9829,29,29,9,29,29,29,829,IncotermsLocation2-8239829,9829,IncotermsLocation1-8239829,82398290-9866-454c-8fdb-3f30fbe34d92,82398291-8f10-4c4d-bd0c-4bbc2b4c4f80,8239829e-508d-425f-a382-585762be3685,false,ermsTransferLocation-8239829,false,29,829,false,2,false,29,5.4,9,29,9829,5078.64,829,al-8239829,9829,29,false,false,9829,239829,40.6,29,9829,829,829,829,829,829,9829,9829
ea-8239830,9830,30,30,omer-8239830,9830,30,true,9830,39830,true,30,30,30,true,9830,30,30,0,30,30,30,830,IncotermsLocation2-8239830,9830,IncotermsLocation1-8239830,82398302-c48c-4994-bbbf-a0ab6a60f2c9,8239830e-5923-4653-b2f5-8020bbabfabd,8239830b-c552-4b73-8fd6-4fb7d2c9c953,true,ermsTransferLocation-8239830,true,30,830,true,8,true,30,66,0,30,9830,649.76,830,al-8239830,9830,30,true,true,9830,239830,88.9,30,9830,830,830,830,830,830,9830,9830
ea-8239831,9831,31,31,omer-8239831,9831,31,false,9831,39831,false,31,31,31,false,9831,31,31,1,31,31,31,831,IncotermsLocation2-8239831,9831,IncotermsLocation1-8239831,82398317-f11f-4482-9289-ca5ab6c3c70f,82398316-163d-49ac-abeb-57275e838c4b,8239831b-a342-4f85-bf1a-e52a497d2755,false,ermsTransferLocation-8239831,false,31,831,false,0,false,31,25.8,1,31,9831,2842.28,831,al-8239831,9831,31,false,false,9831,239831,54.3,31,9831,831,831,831,831,831,9831,9831
ea-8239832,9832,32,32,omer-8239832,9832,32,true,9832,39832,true,32,32,32,true,9832,32,32,2,32,32,32,832,IncotermsLocation2-8239832,9832,IncotermsLocation1-8239832,82398327-96f8-4b14-b9ac-f36885ebdfcf,82398320-1df7-4d76-b286-39ac95f4c6b2,82398320-45eb-43cd-808a-57a82bce59e6,true,ermsTransferLocation-8239832,true,32,832,true,0,true,32,56.6,2,32,9832,1036.9,832,al-8239832,9832,32,true,true,9832,239832,1.3,32,9832,832,832,832,832,832,9832,9832
ea-8239833,9833,33,33,omer-8239833,9833,33,false,9833,39833,false,33,33,33,false,9833,33,33,3,33,33,33,833,IncotermsLocation2-8239833,9833,IncotermsLocation1-8239833,82398333-6c38-406b-b55f-fa6697be36a4,8239833d-b60a-4b7d-9d6d-440ee0e50787,8239833d-c9db-4007-b85f-9f487891fbb1,false,ermsTransferLocation-8239833,false,33,833,false,9,false,33,54.5,3,33,9833,6159.7,833,al-8239833,9833,33,false,false,9833,239833,8,33,9833,833,833,833,833,833,9833,9833
ea-8239834,9834,34,34,omer-8239834,9834,34,true,9834,39834,true,34,34,34,true,9834,34,34,4,34,34,34,834,IncotermsLocation2-8239834,9834,IncotermsLocation1-8239834,82398347-f093-4c77-9950-3e4532aee538,8239834f-cc26-4392-b987-0fe41b5e4565,82398348-8791-449a-bfbc-1e4b619542e8,true,ermsTransferLocation-8239834,true,34,834,true,7,true,34,56.9,4,34,9834,4516.42,834,al-8239834,9834,34,true,true,9834,239834,23.7,34,9834,834,834,834,834,834,9834,9834
ea-8239835,9835,35,35,omer-8239835,9835,35,false,9835,39835,false,35,35,35,false,9835,35,35,5,35,35,35,835,IncotermsLocation2-8239835,9835,IncotermsLocation1-8239835,8239835a-8fc8-4aec-8527-794189d50b78,82398351-7454-4139-a165-a82c1d6b6708,82398357-ff55-4095-a094-56508bdadeb0,false,ermsTransferLocation-8239835,false,35,835,false,1,false,35,33.2,5,35,9835,2186.75,835,al-8239835,9835,35,false,false,9835,239835,70.6,35,9835,835,835,835,835,835,9835,9835
ea-8239836,9836,36,36,omer-8239836,9836,36,true,9836,39836,true,36,36,36,true,9836,36,36,6,36,36,36,836,IncotermsLocation2-8239836,9836,IncotermsLocation1-8239836,8239836f-1648-4065-953b-c0312bccc3d1,82398360-f02a-4d67-a442-e12091b0ba6f,8239836e-4ed9-4d41-94e6-cf55e70edcc5,true,ermsTransferLocation-8239836,true,36,836,true,1,true,36,85.7,6,36,9836,7107.14,836,al-8239836,9836,36,true,true,9836,239836,99.3,36,9836,836,836,836,836,836,9836,9836
ea-8239837,9837,37,37,omer-8239837,9837,37,false,9837,39837,false,37,37,37,false,9837,37,37,7,37,37,37,837,IncotermsLocation2-8239837,9837,IncotermsLocation1-8239837,82398373-92dc-4a52-a9e7-fdebb8d46ec0,8239837a-2ffe-42d9-9cb4-d984f6c87bfb,8239837a-76b0-44f6-8a61-6a735ba512ff,false,ermsTransferLocation-8239837,false,37,837,false,8,false,37,20.9,7,37,9837,6339.53,837,al-8239837,9837,37,false,false,9837,239837,85.6,37,9837,837,837,837,837,837,9837,9837
ea-8239838,9838,38,38,omer-8239838,9838,38,true,9838,39838,true,38,38,38,true,9838,38,38,8,38,38,38,838,IncotermsLocation2-8239838,9838,IncotermsLocation1-8239838,82398386-422c-42ae-91bf-18e4225f6134,82398389-5bc2-4f96-9841-55e0660ab8da,8239838b-5880-4581-a08b-9c68c9f53f04,true,ermsTransferLocation-8239838,true,38,838,true,0,true,38,61.5,8,38,9838,5850.06,838,al-8239838,9838,38,true,true,9838,239838,48.9,38,9838,838,838,838,838,838,9838,9838
ea-8239839,9839,39,39,omer-8239839,9839,39,false,9839,39839,false,39,39,39,false,9839,39,39,9,39,39,39,839,IncotermsLocation2-8239839,9839,IncotermsLocation1-8239839,8239839f-07d7-41a7-9e73-4e500aeb6670,82398395-a2dc-4945-9fdd-2957bc424881,82398394-5d1d-41ea-b9a0-389e604f3893,false,ermsTransferLocation-8239839,false,39,839,false,6,false,39,34.8,9,39,9839,9459.7,839,al-8239839,9839,39,false,false,9839,239839,75.9,39,9839,839,839,839,839,839,9839,9839
ea-8239840,9840,40,40,omer-8239840,9840,40,true,9840,39840,true,40,40,40,true,9840,40,40,0,40,40,40,840,IncotermsLocation2-8239840,9840,IncotermsLocation1-8239840,8239840d-8900-499b-b6c6-1f89bc7a4dbe,82398407-bb6e-404e-acae-523e1dcd44db,82398402-20f9-402e-900e-52c25d2f3aac,true,ermsTransferLocation-8239840,true,40,840,true,3,true,40,92.9,0,40,9840,4423.65,840,al-8239840,9840,40,true,true,9840,239840,67.5,40,9840,840,840,840,840,840,9840,9840
ea-8239841,9841,41,41,omer-8239841,9841,41,false,9841,39841,false,41,41,41,false,9841,41,41,1,41,41,41,841,IncotermsLocation2-8239841,9841,IncotermsLocation1-8239841,8239841f-dba2-4b72-9006-9b9717dcdf0d,8239841c-3120-4a8c-9563-b9a83e1e29e8,8239841a-edae-4b67-b099-7d406ea6a255,false,ermsTransferLocation-8239841,false,41,841,false,6,false,41,8.3,1,41,9841,146.18,841,al-8239841,9841,41,false,false,9841,239841,87.8,41,9841,841,841,841,841,841,9841,9841
ea-8239842,9842,42,42,omer-8239842,9842,42,true,9842,39842,true,42,42,42,true,9842,42,42,2,42,42,42,842,IncotermsLocation2-8239842,9842,IncotermsLocation1-8239842,8239842f-e579-44ce-a62a-64f0d30ddaac,82398423-6dab-41f6-9ba2-155475b0a77c,8239842f-2a56-48de-9c12-3a26de967881,true,ermsTransferLocation-8239842,true,42,842,true,3,true,42,78.2,2,42,9842,8118.14,842,al-8239842,9842,42,true,true,9842,239842,0.8,42,9842,842,842,842,842,842,9842,9842
ea-8239843,9843,43,43,omer-8239843,9843,43,false,9843,39843,false,43,43,43,false,9843,43,43,3,43,43,43,843,IncotermsLocation2-8239843,9843,IncotermsLocation1-8239843,8239843a-28d7-48d9-8a81-61a8300acdc9,82398433-111b-43b8-babe-0864d49b274c,82398437-169c-42a7-a142-0cb2760ee11e,false,ermsTransferLocation-8239843,false,43,843,false,7,false,43,91.8,3,43,9843,6054.94,843,al-8239843,9843,43,false,false,9843,239843,62.4,43,9843,843,843,843,843,843,9843,9843
ea-8239844,9844,44,44,omer-8239844,9844,44,true,9844,39844,true,44,44,44,true,9844,44,44,4,44,44,44,844,IncotermsLocation2-8239844,9844,IncotermsLocation1-8239844,82398444-9a05-4031-9048-a9195f8dfdbe,8239844e-3c0b-458b-bc3f-3082ea4f42d7,82398441-0f06-42a9-900b-73906eda146d,true,ermsTransferLocation-8239844,true,44,844,true,6,true,44,46.9,4,44,9844,192.91,844,al-8239844,9844,44,true,true,9844,239844,18.7,44,9844,844,844,844,844,844,9844,9844
ea-8239845,9845,45,45,omer-8239845,9845,45,false,9845,39845,false,45,45,45,false,9845,45,45,5,45,45,45,845,IncotermsLocation2-8239845,9845,IncotermsLocation1-8239845,82398457-c4f0-4d6f-936e-3bd88c9ac489,82398454-737b-46f4-b40a-3e3e7e53c04c,8239845f-a0d9-4fe1-ac3b-de14619c23e0,false,ermsTransferLocation-8239845,false,45,845,false,4,false,45,86.4,5,45,9845,3700.23,845,al-8239845,9845,45,false,false,9845,239845,68.4,45,9845,845,845,845,845,845,9845,9845
ea-8239846,9846,46,46,omer-8239846,9846,46,true,9846,39846,true,46,46,46,true,9846,46,46,6,46,46,46,846,IncotermsLocation2-8239846,9846,IncotermsLocation1-8239846,82398468-d6e7-450d-bbdc-7450af71544e,82398468-466f-4872-844e-d77fd3759eaa,82398467-8184-4bd3-b3e9-e8b694382951,true,ermsTransferLocation-8239846,true,46,846,true,9,true,46,48.6,6,46,9846,1914.56,846,al-8239846,9846,46,true,true,9846,239846,7.9,46,9846,846,846,846,846,846,9846,9846
ea-8239847,9847,47,47,omer-8239847,9847,47,false,9847,39847,false,47,47,47,false,9847,47,47,7,47,47,47,847,IncotermsLocation2-8239847,9847,IncotermsLocation1-8239847,8239847b-3883-4097-aabd-78587f4e145f,8239847d-6245-47de-a610-02307ed844db,8239847d-4295-4b3c-8855-794acf752078,false,ermsTransferLocation-8239847,false,47,847,false,5,false,47,20.2,7,47,9847,4598.9,847,al-8239847,9847,47,false,false,9847,239847,64.7,47,9847,847,847,847,847,847,9847,9847
ea-8239848,9848,48,48,omer-8239848,9848,48,true,9848,39848,true,48,48,48,true,9848,48,48,8,48,48,48,848,IncotermsLocation2-8239848,9848,IncotermsLocation1-8239848,82398489-ad54-47eb-9b5e-52b9f8fb2661,82398485-6337-48e3-addd-bf034e2ac8b2,82398480-a579-44c2-b298-d7f87ceb4cc7,true,ermsTransferLocation-8239848,true,48,848,true,8,true,48,93.5,8,48,9848,681.6,848,al-8239848,9848,48,true,true,9848,239848,17.1,48,9848,848,848,848,848,848,9848,9848
ea-8239849,9849,49,49,omer-8239849,9849,49,false,9849,39849,false,49,49,49,false,9849,49,49,9,49,49,49,849,IncotermsLocation2-8239849,9849,IncotermsLocation1-8239849,82398499-afad-4ab0-99a5-27bc848d7141,82398498-90c4-48e4-82e8-95aacdb5a869,82398496-bb82-4b36-9fdb-a55b2ba3c4ad,false,ermsTransferLocation-8239849,false,49,849,false,6,false,49,31.8,9,49,9849,6457.24,849,al-8239849,9849,49,false,false,9849,239849,23.6,49,9849,849,849,849,849,849,9849,9849
ea-8239850,9850,50,50,omer-8239850,9850,50,true,9850,39850,true,50,50,50,true,9850,50,50,0,50,50,50,850,IncotermsLocation2-8239850,9850,IncotermsLocation1-8239850,8239850a-6aea-40a2-bbbf-ef15c903ae5a,82398508-0e93-4a4f-a361-b52e0f16550e,82398505-76fb-4505-8bb4-e0257b9263fc,true,ermsTransferLocation-8239850,true,50,850,true,0,true,50,78.3,0,50,9850,1707.57,850,al-8239850,9850,50,true,true,9850,239850,77.2,50,9850,850,850,850,850,850,9850,9850
ea-8239851,9851,51,51,omer-8239851,9851,51,false,9851,39851,false,51,51,51,false,9851,51,51,1,51,51,51,851,IncotermsLocation2-8239851,9851,IncotermsLocation1-8239851,8239851a-c52c-424a-b041-837f0ffdce97,82398513-53b3-42d2-8ae9-72e655f6ba8f,8239851b-a084-4a9a-bc4c-6ba7ebbbb5be,false,ermsTransferLocation-8239851,false,51,851,false,5,false,51,25.8,1,51,9851,5698.51,851,al-8239851,9851,51,false,false,9851,239851,82.3,51,9851,851,851,851,851,851,9851,9851
ea-8239852,9852,52,52,omer-8239852,9852,52,true,9852,39852,true,52,52,52,true,9852,52,52,2,52,52,52,852,IncotermsLocation2-8239852,9852,IncotermsLocation1-8239852,82398522-fc96-4524-a254-af67dd9ba737,8239852f-6e68-4652-91d2-a4efc1ec6628,82398523-9fdd-42c3-ba3b-7be4356efc37,true,ermsTransferLocation-8239852,true,52,852,true,2,true,52,9.1,2,52,9852,5100.62,852,al-8239852,9852,52,true,true,9852,239852,44.5,52,9852,852,852,852,852,852,9852,9852
ea-8239853,9853,53,53,omer-8239853,9853,53,false,9853,39853,false,53,53,53,false,9853,53,53,3,53,53,53,853,IncotermsLocation2-8239853,9853,IncotermsLocation1-8239853,82398539-94ab-4458-b173-47d85811b33b,8239853d-52f6-4119-8cc1-17e01db8938b,82398537-a012-4ada-9882-68430b70bba4,false,ermsTransferLocation-8239853,false,53,853,false,8,false,53,85.2,3,53,9853,1486.1,853,al-8239853,9853,53,false,false,9853,239853,54.6,53,9853,853,853,853,853,853,9853,9853
ea-8239854,9854,54,54,omer-8239854,9854,54,true,9854,39854,true,54,54,54,true,9854,54,54,4,54,54,54,854,IncotermsLocation2-8239854,9854,IncotermsLocation1-8239854,82398544-a1d1-4b32-8029-e9cd073ceb91,82398547-493b-428a-a4ab-d4a250bc0ff2,82398547-fde3-4463-aa80-91c091b014f0,true,ermsTransferLocation-8239854,true,54,854,true,7,true,54,83.5,4,54,9854,1685.92,854,al-8239854,9854,54,true,true,9854,239854,65.5,54,9854,854,854,854,854,854,9854,9854
ea-8239855,9855,55,55,omer-8239855,9855,55,false,9855,39855,false,55,55,55,false,9855,55,55,5,55,55,55,855,IncotermsLocation2-8239855,9855,IncotermsLocation1-8239855,82398552-460d-41d5-a162-4e26b9bcf057,82398551-687a-47cf-8d6d-eaa1048ae3c8,8239855e-725f-4acf-9fce-f9dc53e206a0,false,ermsTransferLocation-8239855,false,55,855,false,4,false,55,56.1,5,55,9855,7717.56,855,al-8239855,9855,55,false,false,9855,239855,20.6,55,9855,855,855,855,855,855,9855,9855
