BusinessPartner,DataController,PurposeForPersonalData,DataControlAssignmentStatus,BPDataControllerIsDerived,PurposeDerived,PurposeType,BusinessPurposeFlag
er-3300211,A_BPDataController-3300211,A_BPDataController-3300211,1,1,1,1,1
er-3300212,A_BPDataController-3300212,A_BPDataController-3300212,2,2,2,2,2
er-3300213,A_BPDataController-3300213,A_BPDataController-3300213,3,3,3,3,3
er-3300214,A_BPDataController-3300214,A_BPDataController-3300214,4,4,4,4,4
er-3300215,A_BPDataController-3300215,A_BPDataController-3300215,5,5,5,5,5
er-3300216,A_BPDataController-3300216,A_BPDataController-3300216,6,6,6,6,6
er-3300217,A_BPDataController-3300217,A_BPDataController-3300217,7,7,7,7,7
er-3300218,A_BPDataController-3300218,A_BPDataController-3300218,8,8,8,8,8
er-3300219,A_BPDataController-3300219,A_BPDataController-3300219,9,9,9,9,9
er-3300220,A_BPDataController-3300220,A_BPDataController-3300220,0,0,0,0,0
er-3300221,A_BPDataController-3300221,A_BPDataController-3300221,1,1,1,1,1
er-3300222,A_BPDataController-3300222,A_BPDataController-3300222,2,2,2,2,2
er-3300223,A_BPDataController-3300223,A_BPDataController-3300223,3,3,3,3,3
er-3300224,A_BPDataController-3300224,A_BPDataController-3300224,4,4,4,4,4
er-3300225,A_BPDataController-3300225,A_BPDataController-3300225,5,5,5,5,5
er-3300226,A_BPDataController-3300226,A_BPDataController-3300226,6,6,6,6,6
er-3300227,A_BPDataController-3300227,A_BPDataController-3300227,7,7,7,7,7
er-3300228,A_BPDataController-3300228,A_BPDataController-3300228,8,8,8,8,8
er-3300229,A_BPDataController-3300229,A_BPDataController-3300229,9,9,9,9,9
