BusinessPartner,BusinessPartnerRole,ValidFrom,ValidTo,AuthorizationGroup
e-27679398,679398,2022-03-04T00:00:00.000Z,2014-09-06T00:00:00.000Z,9398
e-27679399,679399,2007-04-02T00:00:00.000Z,2002-07-18T00:00:00.000Z,9399
e-27679400,679400,2007-07-04T00:00:00.000Z,2017-09-09T00:00:00.000Z,9400
e-27679401,679401,2016-08-12T00:00:00.000Z,2020-08-03T00:00:00.000Z,9401
e-27679402,679402,2012-01-06T00:00:00.000Z,2002-10-05T00:00:00.000Z,9402
e-27679403,679403,2020-05-18T00:00:00.000Z,2012-05-27T00:00:00.000Z,9403
e-27679404,679404,2000-11-01T00:00:00.000Z,2016-11-21T00:00:00.000Z,9404
e-27679405,679405,2015-02-14T00:00:00.000Z,2003-04-29T00:00:00.000Z,9405
e-27679406,679406,2015-06-05T00:00:00.000Z,2006-04-18T00:00:00.000Z,9406
e-27679407,679407,2013-04-20T00:00:00.000Z,2014-02-12T00:00:00.000Z,9407
e-27679408,679408,2008-11-23T00:00:00.000Z,2008-10-07T00:00:00.000Z,9408
e-27679409,679409,2022-08-15T00:00:00.000Z,2018-01-13T00:00:00.000Z,9409
e-27679410,679410,2002-06-27T00:00:00.000Z,2010-09-08T00:00:00.000Z,9410
e-27679411,679411,2014-08-28T00:00:00.000Z,2021-09-08T00:00:00.000Z,9411
e-27679412,679412,2010-01-30T00:00:00.000Z,2000-08-25T00:00:00.000Z,9412
e-27679413,679413,2011-11-20T00:00:00.000Z,2003-01-25T00:00:00.000Z,9413
e-27679414,679414,2003-07-25T00:00:00.000Z,2007-07-15T00:00:00.000Z,9414
e-27679415,679415,2015-09-21T00:00:00.000Z,2013-02-20T00:00:00.000Z,9415
e-27679416,679416,2014-07-14T00:00:00.000Z,2004-06-01T00:00:00.000Z,9416
e-27679417,679417,2015-01-23T00:00:00.000Z,2016-05-16T00:00:00.000Z,9417
e-27679418,679418,2004-04-03T00:00:00.000Z,2019-09-01T00:00:00.000Z,9418
e-27679419,679419,2020-05-10T00:00:00.000Z,2002-05-04T00:00:00.000Z,9419
e-27679420,679420,2020-07-09T00:00:00.000Z,2008-01-09T00:00:00.000Z,9420
e-27679421,679421,2006-06-17T00:00:00.000Z,2013-06-11T00:00:00.000Z,9421
e-27679422,679422,2021-03-01T00:00:00.000Z,2023-07-22T00:00:00.000Z,9422
e-27679423,679423,2021-05-12T00:00:00.000Z,2000-07-21T00:00:00.000Z,9423
e-27679424,679424,2023-08-25T00:00:00.000Z,2021-02-10T00:00:00.000Z,9424
e-27679425,679425,2005-12-21T00:00:00.000Z,2005-07-11T00:00:00.000Z,9425
e-27679426,679426,2009-02-03T00:00:00.000Z,2015-08-16T00:00:00.000Z,9426
e-27679427,679427,2010-03-02T00:00:00.000Z,2010-11-11T00:00:00.000Z,9427
e-27679428,679428,2023-11-04T00:00:00.000Z,2013-04-19T00:00:00.000Z,9428
e-27679429,679429,2001-09-20T00:00:00.000Z,2015-05-11T00:00:00.000Z,9429
e-27679430,679430,2003-06-12T00:00:00.000Z,2022-11-19T00:00:00.000Z,9430
e-27679431,679431,2021-03-16T00:00:00.000Z,2006-05-28T00:00:00.000Z,9431
e-27679432,679432,2007-06-24T00:00:00.000Z,2022-03-13T00:00:00.000Z,9432
e-27679433,679433,2020-11-29T00:00:00.000Z,2000-11-19T00:00:00.000Z,9433
e-27679434,679434,2003-05-23T00:00:00.000Z,2013-05-16T00:00:00.000Z,9434
e-27679435,679435,2023-01-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,9435
e-27679436,679436,2008-04-14T00:00:00.000Z,2001-07-25T00:00:00.000Z,9436
e-27679437,679437,2009-12-05T00:00:00.000Z,2017-05-19T00:00:00.000Z,9437
e-27679438,679438,2020-02-21T00:00:00.000Z,2016-04-06T00:00:00.000Z,9438
e-27679439,679439,2010-04-20T00:00:00.000Z,2003-07-18T00:00:00.000Z,9439
e-27679440,679440,2001-03-19T00:00:00.000Z,2002-01-25T00:00:00.000Z,9440
e-27679441,679441,2022-11-07T00:00:00.000Z,2004-10-01T00:00:00.000Z,9441
e-27679442,679442,2019-04-01T00:00:00.000Z,2003-06-30T00:00:00.000Z,9442
e-27679443,679443,2010-01-15T00:00:00.000Z,2000-06-24T00:00:00.000Z,9443
e-27679444,679444,2008-12-21T00:00:00.000Z,2022-03-05T00:00:00.000Z,9444
e-27679445,679445,2006-08-08T00:00:00.000Z,2015-04-17T00:00:00.000Z,9445
e-27679446,679446,2020-03-10T00:00:00.000Z,2020-06-12T00:00:00.000Z,9446
e-27679447,679447,2013-02-18T00:00:00.000Z,2020-12-28T00:00:00.000Z,9447
e-27679448,679448,2002-03-15T00:00:00.000Z,2010-12-25T00:00:00.000Z,9448
e-27679449,679449,2020-03-18T00:00:00.000Z,2017-01-08T00:00:00.000Z,9449
e-27679450,679450,2012-11-21T00:00:00.000Z,2007-02-22T00:00:00.000Z,9450
e-27679451,679451,2023-06-12T00:00:00.000Z,2013-05-03T00:00:00.000Z,9451
e-27679452,679452,2005-01-04T00:00:00.000Z,2011-02-02T00:00:00.000Z,9452
e-27679453,679453,2009-11-28T00:00:00.000Z,2004-04-25T00:00:00.000Z,9453
e-27679454,679454,2014-01-14T00:00:00.000Z,2013-10-24T00:00:00.000Z,9454
e-27679455,679455,2008-12-11T00:00:00.000Z,2003-12-12T00:00:00.000Z,9455
e-27679456,679456,2006-10-27T00:00:00.000Z,2006-08-19T00:00:00.000Z,9456
e-27679457,679457,2010-04-14T00:00:00.000Z,2018-03-17T00:00:00.000Z,9457
e-27679458,679458,2005-05-26T00:00:00.000Z,2006-02-11T00:00:00.000Z,9458
e-27679459,679459,2003-03-21T00:00:00.000Z,2020-06-05T00:00:00.000Z,9459
e-27679460,679460,2002-07-28T00:00:00.000Z,2023-03-05T00:00:00.000Z,9460
