Supplier,CompanyCode,AuthorizationGroup,CompanyCodeName,PaymentBlockingReason,SupplierIsBlockedForPosting,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkPhoneNumber,SupplierClerk,SupplierClerkURL,PaymentMethodsList,PaymentReason,PaymentTerms,ClearCustomerSupplier,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,PaymentIsToBeSentByEDI,HouseBank,CheckPaidDurationInDays,Currency,BillOfExchLmtAmtInCoCodeCrcy,SupplierClerkIDBySupplier,ReconciliationAccount,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,SupplierHeadOffice,AlternativePayee,LayoutSortingRule,APARToleranceGroup,SupplierCertificationDate,SupplierAccountNote,WithholdingTaxCountry,DeletionIndicator,CashPlanningGroup,IsToBeCheckedForDuplicates,MinorityGroup,CreditMemoPaymentTerms,SupplierAccountGroup,to_Supplier_Supplier
y-27253429,3429,3429,CompanyCodeName-27253429,9,false,29,countingClerkFaxNumber-27253429,ntingClerkPhoneNumber-27253429,rClerk-27253429,SupplierClerkURL-27253429,t-27253429,3429,3429,false,false,false,false,53429,449,53429,29753572964.192,ier-27253429,t-27253429,29,2023-03-08,29,e-27253429,e-27253429,429,3429,2012-10-08,SupplierAccountNote-27253429,429,false,p-27253429,false,429,3429,3429,r-16594024
y-27253430,3430,3430,CompanyCodeName-27253430,0,true,30,countingClerkFaxNumber-27253430,ntingClerkPhoneNumber-27253430,rClerk-27253430,SupplierClerkURL-27253430,t-27253430,3430,3430,true,true,true,true,53430,588,53430,78274313991.647,ier-27253430,t-27253430,30,2021-09-13,30,e-27253430,e-27253430,430,3430,2008-12-13,SupplierAccountNote-27253430,430,true,p-27253430,true,430,3430,3430,r-16594024
y-27253431,3431,3431,CompanyCodeName-27253431,1,false,31,countingClerkFaxNumber-27253431,ntingClerkPhoneNumber-27253431,rClerk-27253431,SupplierClerkURL-27253431,t-27253431,3431,3431,false,false,false,false,53431,156,53431,19977365002.508,ier-27253431,t-27253431,31,2003-07-04,31,e-27253431,e-27253431,431,3431,2010-03-18,SupplierAccountNote-27253431,431,false,p-27253431,false,431,3431,3431,r-16594024
y-27253432,3432,3432,CompanyCodeName-27253432,2,true,32,countingClerkFaxNumber-27253432,ntingClerkPhoneNumber-27253432,rClerk-27253432,SupplierClerkURL-27253432,t-27253432,3432,3432,true,true,true,true,53432,118,53432,90731499656.541,ier-27253432,t-27253432,32,2019-07-07,32,e-27253432,e-27253432,432,3432,2014-03-27,SupplierAccountNote-27253432,432,true,p-27253432,true,432,3432,3432,r-16594024
y-27253433,3433,3433,CompanyCodeName-27253433,3,false,33,countingClerkFaxNumber-27253433,ntingClerkPhoneNumber-27253433,rClerk-27253433,SupplierClerkURL-27253433,t-27253433,3433,3433,false,false,false,false,53433,598,53433,38178988563.976,ier-27253433,t-27253433,33,2022-11-15,33,e-27253433,e-27253433,433,3433,2006-06-17,SupplierAccountNote-27253433,433,false,p-27253433,false,433,3433,3433,r-16594024
y-27253434,3434,3434,CompanyCodeName-27253434,4,true,34,countingClerkFaxNumber-27253434,ntingClerkPhoneNumber-27253434,rClerk-27253434,SupplierClerkURL-27253434,t-27253434,3434,3434,true,true,true,true,53434,77,53434,57482039977.252,ier-27253434,t-27253434,34,2023-03-31,34,e-27253434,e-27253434,434,3434,2009-04-18,SupplierAccountNote-27253434,434,true,p-27253434,true,434,3434,3434,r-16594024
y-27253435,3435,3435,CompanyCodeName-27253435,5,false,35,countingClerkFaxNumber-27253435,ntingClerkPhoneNumber-27253435,rClerk-27253435,SupplierClerkURL-27253435,t-27253435,3435,3435,false,false,false,false,53435,297,53435,48467712870.363,ier-27253435,t-27253435,35,2015-05-23,35,e-27253435,e-27253435,435,3435,2005-08-28,SupplierAccountNote-27253435,435,false,p-27253435,false,435,3435,3435,r-16594024
y-27253436,3436,3436,CompanyCodeName-27253436,6,true,36,countingClerkFaxNumber-27253436,ntingClerkPhoneNumber-27253436,rClerk-27253436,SupplierClerkURL-27253436,t-27253436,3436,3436,true,true,true,true,53436,680,53436,86780706890.447,ier-27253436,t-27253436,36,2016-10-11,36,e-27253436,e-27253436,436,3436,2016-08-05,SupplierAccountNote-27253436,436,true,p-27253436,true,436,3436,3436,r-16594024
y-27253437,3437,3437,CompanyCodeName-27253437,7,false,37,countingClerkFaxNumber-27253437,ntingClerkPhoneNumber-27253437,rClerk-27253437,SupplierClerkURL-27253437,t-27253437,3437,3437,false,false,false,false,53437,257,53437,59883778016.242,ier-27253437,t-27253437,37,2023-04-25,37,e-27253437,e-27253437,437,3437,2003-05-01,SupplierAccountNote-27253437,437,false,p-27253437,false,437,3437,3437,r-16594024
y-27253438,3438,3438,CompanyCodeName-27253438,8,true,38,countingClerkFaxNumber-27253438,ntingClerkPhoneNumber-27253438,rClerk-27253438,SupplierClerkURL-27253438,t-27253438,3438,3438,true,true,true,true,53438,645,53438,74742100630.537,ier-27253438,t-27253438,38,2011-09-21,38,e-27253438,e-27253438,438,3438,2011-08-25,SupplierAccountNote-27253438,438,true,p-27253438,true,438,3438,3438,r-16594024
y-27253439,3439,3439,CompanyCodeName-27253439,9,false,39,countingClerkFaxNumber-27253439,ntingClerkPhoneNumber-27253439,rClerk-27253439,SupplierClerkURL-27253439,t-27253439,3439,3439,false,false,false,false,53439,694,53439,44436805102.457,ier-27253439,t-27253439,39,2015-03-10,39,e-27253439,e-27253439,439,3439,2011-12-13,SupplierAccountNote-27253439,439,false,p-27253439,false,439,3439,3439,r-16594024
y-27253440,3440,3440,CompanyCodeName-27253440,0,true,40,countingClerkFaxNumber-27253440,ntingClerkPhoneNumber-27253440,rClerk-27253440,SupplierClerkURL-27253440,t-27253440,3440,3440,true,true,true,true,53440,317,53440,53482832661.874,ier-27253440,t-27253440,40,2019-10-12,40,e-27253440,e-27253440,440,3440,2016-09-26,SupplierAccountNote-27253440,440,true,p-27253440,true,440,3440,3440,r-16594024
y-27253441,3441,3441,CompanyCodeName-27253441,1,false,41,countingClerkFaxNumber-27253441,ntingClerkPhoneNumber-27253441,rClerk-27253441,SupplierClerkURL-27253441,t-27253441,3441,3441,false,false,false,false,53441,891,53441,78433703726.555,ier-27253441,t-27253441,41,2003-01-10,41,e-27253441,e-27253441,441,3441,2018-04-29,SupplierAccountNote-27253441,441,false,p-27253441,false,441,3441,3441,r-16594024
y-27253442,3442,3442,CompanyCodeName-27253442,2,true,42,countingClerkFaxNumber-27253442,ntingClerkPhoneNumber-27253442,rClerk-27253442,SupplierClerkURL-27253442,t-27253442,3442,3442,true,true,true,true,53442,895,53442,51209013641.417,ier-27253442,t-27253442,42,2014-07-09,42,e-27253442,e-27253442,442,3442,2021-11-04,SupplierAccountNote-27253442,442,true,p-27253442,true,442,3442,3442,r-16594024
y-27253443,3443,3443,CompanyCodeName-27253443,3,false,43,countingClerkFaxNumber-27253443,ntingClerkPhoneNumber-27253443,rClerk-27253443,SupplierClerkURL-27253443,t-27253443,3443,3443,false,false,false,false,53443,682,53443,29962872108.21,ier-27253443,t-27253443,43,2008-11-02,43,e-27253443,e-27253443,443,3443,2022-02-08,SupplierAccountNote-27253443,443,false,p-27253443,false,443,3443,3443,r-16594024
y-27253444,3444,3444,CompanyCodeName-27253444,4,true,44,countingClerkFaxNumber-27253444,ntingClerkPhoneNumber-27253444,rClerk-27253444,SupplierClerkURL-27253444,t-27253444,3444,3444,true,true,true,true,53444,274,53444,39637904866.741,ier-27253444,t-27253444,44,2009-05-04,44,e-27253444,e-27253444,444,3444,2007-05-21,SupplierAccountNote-27253444,444,true,p-27253444,true,444,3444,3444,r-16594024
y-27253445,3445,3445,CompanyCodeName-27253445,5,false,45,countingClerkFaxNumber-27253445,ntingClerkPhoneNumber-27253445,rClerk-27253445,SupplierClerkURL-27253445,t-27253445,3445,3445,false,false,false,false,53445,584,53445,61161064228.875,ier-27253445,t-27253445,45,2016-06-26,45,e-27253445,e-27253445,445,3445,2001-04-23,SupplierAccountNote-27253445,445,false,p-27253445,false,445,3445,3445,r-16594024
y-27253446,3446,3446,CompanyCodeName-27253446,6,true,46,countingClerkFaxNumber-27253446,ntingClerkPhoneNumber-27253446,rClerk-27253446,SupplierClerkURL-27253446,t-27253446,3446,3446,true,true,true,true,53446,607,53446,42942814687.443,ier-27253446,t-27253446,46,2022-08-04,46,e-27253446,e-27253446,446,3446,2015-09-28,SupplierAccountNote-27253446,446,true,p-27253446,true,446,3446,3446,r-16594024
y-27253447,3447,3447,CompanyCodeName-27253447,7,false,47,countingClerkFaxNumber-27253447,ntingClerkPhoneNumber-27253447,rClerk-27253447,SupplierClerkURL-27253447,t-27253447,3447,3447,false,false,false,false,53447,648,53447,32614207542.697,ier-27253447,t-27253447,47,2011-11-13,47,e-27253447,e-27253447,447,3447,2003-04-01,SupplierAccountNote-27253447,447,false,p-27253447,false,447,3447,3447,r-16594024
y-27253448,3448,3448,CompanyCodeName-27253448,8,true,48,countingClerkFaxNumber-27253448,ntingClerkPhoneNumber-27253448,rClerk-27253448,SupplierClerkURL-27253448,t-27253448,3448,3448,true,true,true,true,53448,801,53448,36363496461.066,ier-27253448,t-27253448,48,2004-06-10,48,e-27253448,e-27253448,448,3448,2013-08-14,SupplierAccountNote-27253448,448,true,p-27253448,true,448,3448,3448,r-16594024
y-27253449,3449,3449,CompanyCodeName-27253449,9,false,49,countingClerkFaxNumber-27253449,ntingClerkPhoneNumber-27253449,rClerk-27253449,SupplierClerkURL-27253449,t-27253449,3449,3449,false,false,false,false,53449,605,53449,72956773209.806,ier-27253449,t-27253449,49,2019-11-29,49,e-27253449,e-27253449,449,3449,2008-09-03,SupplierAccountNote-27253449,449,false,p-27253449,false,449,3449,3449,r-16594024
y-27253450,3450,3450,CompanyCodeName-27253450,0,true,50,countingClerkFaxNumber-27253450,ntingClerkPhoneNumber-27253450,rClerk-27253450,SupplierClerkURL-27253450,t-27253450,3450,3450,true,true,true,true,53450,878,53450,91007884924.516,ier-27253450,t-27253450,50,2022-08-30,50,e-27253450,e-27253450,450,3450,2007-03-17,SupplierAccountNote-27253450,450,true,p-27253450,true,450,3450,3450,r-16594024
y-27253451,3451,3451,CompanyCodeName-27253451,1,false,51,countingClerkFaxNumber-27253451,ntingClerkPhoneNumber-27253451,rClerk-27253451,SupplierClerkURL-27253451,t-27253451,3451,3451,false,false,false,false,53451,76,53451,71317825529.36,ier-27253451,t-27253451,51,2018-09-03,51,e-27253451,e-27253451,451,3451,2005-03-05,SupplierAccountNote-27253451,451,false,p-27253451,false,451,3451,3451,r-16594024
y-27253452,3452,3452,CompanyCodeName-27253452,2,true,52,countingClerkFaxNumber-27253452,ntingClerkPhoneNumber-27253452,rClerk-27253452,SupplierClerkURL-27253452,t-27253452,3452,3452,true,true,true,true,53452,114,53452,66430992965.602,ier-27253452,t-27253452,52,2003-04-02,52,e-27253452,e-27253452,452,3452,2019-12-20,SupplierAccountNote-27253452,452,true,p-27253452,true,452,3452,3452,r-16594024
y-27253453,3453,3453,CompanyCodeName-27253453,3,false,53,countingClerkFaxNumber-27253453,ntingClerkPhoneNumber-27253453,rClerk-27253453,SupplierClerkURL-27253453,t-27253453,3453,3453,false,false,false,false,53453,79,53453,11455441305.716,ier-27253453,t-27253453,53,2003-01-15,53,e-27253453,e-27253453,453,3453,2023-10-15,SupplierAccountNote-27253453,453,false,p-27253453,false,453,3453,3453,r-16594024
