RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultURLAddress,SearchURLAddress,CommNumberIsNotUsed,URLFieldLength,WebsiteURL
URL-22231032,L-22231032,L-22231032,2019-03-28,L-22231032,032,true,SearchURLAddress-22231032,true,57,WebsiteURL-22231032
URL-22231033,L-22231033,L-22231033,2018-05-14,L-22231033,033,false,SearchURLAddress-22231033,false,99,WebsiteURL-22231033
URL-22231034,L-22231034,L-22231034,2022-03-02,L-22231034,034,true,SearchURLAddress-22231034,true,95,WebsiteURL-22231034
URL-22231035,L-22231035,L-22231035,2022-08-20,L-22231035,035,false,SearchURLAddress-22231035,false,100,WebsiteURL-22231035
URL-22231036,L-22231036,L-22231036,2021-12-18,L-22231036,036,true,SearchURLAddress-22231036,true,70,WebsiteURL-22231036
URL-22231037,L-22231037,L-22231037,2022-03-06,L-22231037,037,false,SearchURLAddress-22231037,false,61,WebsiteURL-22231037
URL-22231038,L-22231038,L-22231038,2006-05-26,L-22231038,038,true,SearchURLAddress-22231038,true,79,WebsiteURL-22231038
URL-22231039,L-22231039,L-22231039,2003-05-11,L-22231039,039,false,SearchURLAddress-22231039,false,93,WebsiteURL-22231039
URL-22231040,L-22231040,L-22231040,2018-01-07,L-22231040,040,true,SearchURLAddress-22231040,true,21,WebsiteURL-22231040
URL-22231041,L-22231041,L-22231041,2012-09-07,L-22231041,041,false,SearchURLAddress-22231041,false,90,WebsiteURL-22231041
URL-22231042,L-22231042,L-22231042,2001-01-21,L-22231042,042,true,SearchURLAddress-22231042,true,5,WebsiteURL-22231042
URL-22231043,L-22231043,L-22231043,2012-05-15,L-22231043,043,false,SearchURLAddress-22231043,false,31,WebsiteURL-22231043
URL-22231044,L-22231044,L-22231044,2015-07-16,L-22231044,044,true,SearchURLAddress-22231044,true,75,WebsiteURL-22231044
URL-22231045,L-22231045,L-22231045,2022-11-11,L-22231045,045,false,SearchURLAddress-22231045,false,28,WebsiteURL-22231045
URL-22231046,L-22231046,L-22231046,2009-07-30,L-22231046,046,true,SearchURLAddress-22231046,true,53,WebsiteURL-22231046
URL-22231047,L-22231047,L-22231047,2017-04-21,L-22231047,047,false,SearchURLAddress-22231047,false,58,WebsiteURL-22231047
URL-22231048,L-22231048,L-22231048,2017-10-31,L-22231048,048,true,SearchURLAddress-22231048,true,14,WebsiteURL-22231048
URL-22231049,L-22231049,L-22231049,2018-01-19,L-22231049,049,false,SearchURLAddress-22231049,false,70,WebsiteURL-22231049
URL-22231050,L-22231050,L-22231050,2018-11-01,L-22231050,050,true,SearchURLAddress-22231050,true,48,WebsiteURL-22231050
URL-22231051,L-22231051,L-22231051,2022-10-21,L-22231051,051,false,SearchURLAddress-22231051,false,94,WebsiteURL-22231051
URL-22231052,L-22231052,L-22231052,2008-11-21,L-22231052,052,true,SearchURLAddress-22231052,true,34,WebsiteURL-22231052
URL-22231053,L-22231053,L-22231053,2010-06-28,L-22231053,053,false,SearchURLAddress-22231053,false,40,WebsiteURL-22231053
URL-22231054,L-22231054,L-22231054,2022-05-16,L-22231054,054,true,SearchURLAddress-22231054,true,70,WebsiteURL-22231054
URL-22231055,L-22231055,L-22231055,2002-11-12,L-22231055,055,false,SearchURLAddress-22231055,false,63,WebsiteURL-22231055
URL-22231056,L-22231056,L-22231056,2007-04-28,L-22231056,056,true,SearchURLAddress-22231056,true,21,WebsiteURL-22231056
URL-22231057,L-22231057,L-22231057,2014-02-01,L-22231057,057,false,SearchURLAddress-22231057,false,10,WebsiteURL-22231057
URL-22231058,L-22231058,L-22231058,2007-05-19,L-22231058,058,true,SearchURLAddress-22231058,true,85,WebsiteURL-22231058
URL-22231059,L-22231059,L-22231059,2010-05-03,L-22231059,059,false,SearchURLAddress-22231059,false,95,WebsiteURL-22231059
URL-22231060,L-22231060,L-22231060,2010-09-02,L-22231060,060,true,SearchURLAddress-22231060,true,10,WebsiteURL-22231060
URL-22231061,L-22231061,L-22231061,2011-11-25,L-22231061,061,false,SearchURLAddress-22231061,false,96,WebsiteURL-22231061
URL-22231062,L-22231062,L-22231062,2008-10-17,L-22231062,062,true,SearchURLAddress-22231062,true,96,WebsiteURL-22231062
URL-22231063,L-22231063,L-22231063,2004-06-28,L-22231063,063,false,SearchURLAddress-22231063,false,26,WebsiteURL-22231063
URL-22231064,L-22231064,L-22231064,2012-09-12,L-22231064,064,true,SearchURLAddress-22231064,true,19,WebsiteURL-22231064
URL-22231065,L-22231065,L-22231065,2010-11-05,L-22231065,065,false,SearchURLAddress-22231065,false,40,WebsiteURL-22231065
URL-22231066,L-22231066,L-22231066,2014-12-19,L-22231066,066,true,SearchURLAddress-22231066,true,55,WebsiteURL-22231066
URL-22231067,L-22231067,L-22231067,2015-03-12,L-22231067,067,false,SearchURLAddress-22231067,false,29,WebsiteURL-22231067
URL-22231068,L-22231068,L-22231068,2006-05-11,L-22231068,068,true,SearchURLAddress-22231068,true,47,WebsiteURL-22231068
URL-22231069,L-22231069,L-22231069,2010-02-19,L-22231069,069,false,SearchURLAddress-22231069,false,17,WebsiteURL-22231069
URL-22231070,L-22231070,L-22231070,2017-05-17,L-22231070,070,true,SearchURLAddress-22231070,true,22,WebsiteURL-22231070
URL-22231071,L-22231071,L-22231071,2023-03-03,L-22231071,071,false,SearchURLAddress-22231071,false,82,WebsiteURL-22231071
URL-22231072,L-22231072,L-22231072,2013-11-22,L-22231072,072,true,SearchURLAddress-22231072,true,24,WebsiteURL-22231072
URL-22231073,L-22231073,L-22231073,2007-03-06,L-22231073,073,false,SearchURLAddress-22231073,false,31,WebsiteURL-22231073
URL-22231074,L-22231074,L-22231074,2016-10-27,L-22231074,074,true,SearchURLAddress-22231074,true,60,WebsiteURL-22231074
URL-22231075,L-22231075,L-22231075,2000-08-20,L-22231075,075,false,SearchURLAddress-22231075,false,26,WebsiteURL-22231075
URL-22231076,L-22231076,L-22231076,2013-05-06,L-22231076,076,true,SearchURLAddress-22231076,true,47,WebsiteURL-22231076
URL-22231077,L-22231077,L-22231077,2016-04-14,L-22231077,077,false,SearchURLAddress-22231077,false,100,WebsiteURL-22231077
URL-22231078,L-22231078,L-22231078,2023-04-11,L-22231078,078,true,SearchURLAddress-22231078,true,81,WebsiteURL-22231078
URL-22231079,L-22231079,L-22231079,2015-11-10,L-22231079,079,false,SearchURLAddress-22231079,false,68,WebsiteURL-22231079
URL-22231080,L-22231080,L-22231080,2007-06-17,L-22231080,080,true,SearchURLAddress-22231080,true,47,WebsiteURL-22231080
URL-22231081,L-22231081,L-22231081,2023-03-13,L-22231081,081,false,SearchURLAddress-22231081,false,57,WebsiteURL-22231081
URL-22231082,L-22231082,L-22231082,2001-05-28,L-22231082,082,true,SearchURLAddress-22231082,true,75,WebsiteURL-22231082
URL-22231083,L-22231083,L-22231083,2022-08-24,L-22231083,083,false,SearchURLAddress-22231083,false,100,WebsiteURL-22231083
URL-22231084,L-22231084,L-22231084,2004-02-05,L-22231084,084,true,SearchURLAddress-22231084,true,46,WebsiteURL-22231084
URL-22231085,L-22231085,L-22231085,2017-07-06,L-22231085,085,false,SearchURLAddress-22231085,false,41,WebsiteURL-22231085
URL-22231086,L-22231086,L-22231086,2003-10-30,L-22231086,086,true,SearchURLAddress-22231086,true,99,WebsiteURL-22231086
URL-22231087,L-22231087,L-22231087,2023-07-22,L-22231087,087,false,SearchURLAddress-22231087,false,9,WebsiteURL-22231087
URL-22231088,L-22231088,L-22231088,2023-12-16,L-22231088,088,true,SearchURLAddress-22231088,true,9,WebsiteURL-22231088
URL-22231089,L-22231089,L-22231089,2021-05-09,L-22231089,089,false,SearchURLAddress-22231089,false,93,WebsiteURL-22231089
URL-22231090,L-22231090,L-22231090,2018-01-20,L-22231090,090,true,SearchURLAddress-22231090,true,73,WebsiteURL-22231090
URL-22231091,L-22231091,L-22231091,2018-12-26,L-22231091,091,false,SearchURLAddress-22231091,false,25,WebsiteURL-22231091
URL-22231092,L-22231092,L-22231092,2006-01-30,L-22231092,092,true,SearchURLAddress-22231092,true,39,WebsiteURL-22231092
URL-22231093,L-22231093,L-22231093,2009-08-31,L-22231093,093,false,SearchURLAddress-22231093,false,5,WebsiteURL-22231093
URL-22231094,L-22231094,L-22231094,2003-02-08,L-22231094,094,true,SearchURLAddress-22231094,true,96,WebsiteURL-22231094
URL-22231095,L-22231095,L-22231095,2016-04-22,L-22231095,095,false,SearchURLAddress-22231095,false,64,WebsiteURL-22231095
URL-22231096,L-22231096,L-22231096,2001-10-06,L-22231096,096,true,SearchURLAddress-22231096,true,2,WebsiteURL-22231096
URL-22231097,L-22231097,L-22231097,2023-12-16,L-22231097,097,false,SearchURLAddress-22231097,false,59,WebsiteURL-22231097
URL-22231098,L-22231098,L-22231098,2019-01-02,L-22231098,098,true,SearchURLAddress-22231098,true,80,WebsiteURL-22231098
URL-22231099,L-22231099,L-22231099,2020-08-05,L-22231099,099,false,SearchURLAddress-22231099,false,85,WebsiteURL-22231099
URL-22231100,L-22231100,L-22231100,2020-10-31,L-22231100,100,true,SearchURLAddress-22231100,true,52,WebsiteURL-22231100
URL-22231101,L-22231101,L-22231101,2014-01-23,L-22231101,101,false,SearchURLAddress-22231101,false,31,WebsiteURL-22231101
URL-22231102,L-22231102,L-22231102,2015-11-20,L-22231102,102,true,SearchURLAddress-22231102,true,97,WebsiteURL-22231102
URL-22231103,L-22231103,L-22231103,2012-08-02,L-22231103,103,false,SearchURLAddress-22231103,false,64,WebsiteURL-22231103
URL-22231104,L-22231104,L-22231104,2017-02-03,L-22231104,104,true,SearchURLAddress-22231104,true,21,WebsiteURL-22231104
URL-22231105,L-22231105,L-22231105,2006-08-23,L-22231105,105,false,SearchURLAddress-22231105,false,72,WebsiteURL-22231105
URL-22231106,L-22231106,L-22231106,2012-12-20,L-22231106,106,true,SearchURLAddress-22231106,true,12,WebsiteURL-22231106
URL-22231107,L-22231107,L-22231107,2002-11-16,L-22231107,107,false,SearchURLAddress-22231107,false,90,WebsiteURL-22231107
URL-22231108,L-22231108,L-22231108,2010-09-11,L-22231108,108,true,SearchURLAddress-22231108,true,63,WebsiteURL-22231108
URL-22231109,L-22231109,L-22231109,2000-01-07,L-22231109,109,false,SearchURLAddress-22231109,false,74,WebsiteURL-22231109
