Customer,CompanyCode,DunningArea,DunningBlock,DunningLevel,DunningProcedure,DunningRecipient,LastDunnedOn,LegDunningProcedureOn,DunningClerk,AuthorizationGroup,CustomerAccountGroup
g-13359875,9875,75,5,5,9875,t-13359875,2009-02-13,2020-09-03,75,9875,9875
g-13359876,9876,76,6,6,9876,t-13359876,2001-03-09,2018-05-02,76,9876,9876
g-13359877,9877,77,7,7,9877,t-13359877,2004-09-27,2009-08-04,77,9877,9877
g-13359878,9878,78,8,8,9878,t-13359878,2005-09-30,2019-02-20,78,9878,9878
g-13359879,9879,79,9,9,9879,t-13359879,2012-10-30,2022-08-15,79,9879,9879
g-13359880,9880,80,0,0,9880,t-13359880,2001-07-28,2002-11-26,80,9880,9880
g-13359881,9881,81,1,1,9881,t-13359881,2005-12-25,2017-12-05,81,9881,9881
g-13359882,9882,82,2,2,9882,t-13359882,2004-12-28,2023-06-22,82,9882,9882
g-13359883,9883,83,3,3,9883,t-13359883,2014-05-14,2006-06-25,83,9883,9883
g-13359884,9884,84,4,4,9884,t-13359884,2014-08-31,2016-01-11,84,9884,9884
g-13359885,9885,85,5,5,9885,t-13359885,2001-08-27,2020-07-27,85,9885,9885
g-13359886,9886,86,6,6,9886,t-13359886,2004-08-07,2016-10-28,86,9886,9886
g-13359887,9887,87,7,7,9887,t-13359887,2001-12-15,2021-04-24,87,9887,9887
g-13359888,9888,88,8,8,9888,t-13359888,2005-09-21,2021-07-07,88,9888,9888
g-13359889,9889,89,9,9,9889,t-13359889,2012-11-24,2007-05-01,89,9889,9889
g-13359890,9890,90,0,0,9890,t-13359890,2007-06-10,2006-07-23,90,9890,9890
g-13359891,9891,91,1,1,9891,t-13359891,2017-09-04,2007-06-12,91,9891,9891
g-13359892,9892,92,2,2,9892,t-13359892,2006-11-22,2021-01-31,92,9892,9892
g-13359893,9893,93,3,3,9893,t-13359893,2008-11-02,2013-07-23,93,9893,9893
g-13359894,9894,94,4,4,9894,t-13359894,2002-05-22,2020-07-20,94,9894,9894
g-13359895,9895,95,5,5,9895,t-13359895,2022-02-03,2020-07-19,95,9895,9895
g-13359896,9896,96,6,6,9896,t-13359896,2021-07-01,2006-05-10,96,9896,9896
g-13359897,9897,97,7,7,9897,t-13359897,2018-05-30,2019-06-11,97,9897,9897
g-13359898,9898,98,8,8,9898,t-13359898,2011-01-08,2018-01-08,98,9898,9898
g-13359899,9899,99,9,9,9899,t-13359899,2001-10-25,2023-10-20,99,9899,9899
g-13359900,9900,00,0,0,9900,t-13359900,2011-12-27,2010-02-24,00,9900,9900
g-13359901,9901,01,1,1,9901,t-13359901,2001-01-27,2013-12-06,01,9901,9901
g-13359902,9902,02,2,2,9902,t-13359902,2004-02-10,2000-09-29,02,9902,9902
g-13359903,9903,03,3,3,9903,t-13359903,2006-05-14,2012-01-02,03,9903,9903
g-13359904,9904,04,4,4,9904,t-13359904,2002-03-19,2014-07-04,04,9904,9904
g-13359905,9905,05,5,5,9905,t-13359905,2003-06-17,2004-09-23,05,9905,9905
g-13359906,9906,06,6,6,9906,t-13359906,2020-03-27,2001-07-29,06,9906,9906
g-13359907,9907,07,7,7,9907,t-13359907,2004-02-21,2014-12-20,07,9907,9907
g-13359908,9908,08,8,8,9908,t-13359908,2002-12-16,2017-02-25,08,9908,9908
g-13359909,9909,09,9,9,9909,t-13359909,2000-03-05,2003-08-21,09,9909,9909
g-13359910,9910,10,0,0,9910,t-13359910,2017-05-13,2008-11-12,10,9910,9910
g-13359911,9911,11,1,1,9911,t-13359911,2021-12-13,2017-12-28,11,9911,9911
g-13359912,9912,12,2,2,9912,t-13359912,2015-02-08,2009-03-11,12,9912,9912
g-13359913,9913,13,3,3,9913,t-13359913,2017-06-21,2012-07-18,13,9913,9913
g-13359914,9914,14,4,4,9914,t-13359914,2004-10-19,2009-03-03,14,9914,9914
g-13359915,9915,15,5,5,9915,t-13359915,2004-05-26,2018-09-12,15,9915,9915
g-13359916,9916,16,6,6,9916,t-13359916,2020-06-26,2008-11-01,16,9916,9916
g-13359917,9917,17,7,7,9917,t-13359917,2020-03-16,2011-09-15,17,9917,9917
g-13359918,9918,18,8,8,9918,t-13359918,2020-03-03,2019-01-06,18,9918,9918
g-13359919,9919,19,9,9,9919,t-13359919,2001-02-24,2008-06-13,19,9919,9919
g-13359920,9920,20,0,0,9920,t-13359920,2006-03-31,2017-02-02,20,9920,9920
g-13359921,9921,21,1,1,9921,t-13359921,2017-03-09,2009-03-04,21,9921,9921
g-13359922,9922,22,2,2,9922,t-13359922,2020-05-12,2012-06-08,22,9922,9922
g-13359923,9923,23,3,3,9923,t-13359923,2020-04-20,2021-03-28,23,9923,9923
g-13359924,9924,24,4,4,9924,t-13359924,2001-11-19,2007-09-07,24,9924,9924
g-13359925,9925,25,5,5,9925,t-13359925,2009-04-06,2011-04-08,25,9925,9925
g-13359926,9926,26,6,6,9926,t-13359926,2020-10-19,2014-04-01,26,9926,9926
g-13359927,9927,27,7,7,9927,t-13359927,2013-03-31,2013-07-09,27,9927,9927
g-13359928,9928,28,8,8,9928,t-13359928,2003-04-29,2017-12-06,28,9928,9928
g-13359929,9929,29,9,9,9929,t-13359929,2002-04-03,2010-07-26,29,9929,9929
g-13359930,9930,30,0,0,9930,t-13359930,2006-10-20,2023-05-28,30,9930,9930
g-13359931,9931,31,1,1,9931,t-13359931,2011-08-23,2021-12-23,31,9931,9931
g-13359932,9932,32,2,2,9932,t-13359932,2019-05-11,2005-05-14,32,9932,9932
g-13359933,9933,33,3,3,9933,t-13359933,2011-03-06,2014-06-17,33,9933,9933
g-13359934,9934,34,4,4,9934,t-13359934,2006-07-08,2008-10-15,34,9934,9934
g-13359935,9935,35,5,5,9935,t-13359935,2010-05-27,2010-04-26,35,9935,9935
g-13359936,9936,36,6,6,9936,t-13359936,2013-09-04,2005-10-13,36,9936,9936
g-13359937,9937,37,7,7,9937,t-13359937,2000-10-25,2008-12-26,37,9937,9937
g-13359938,9938,38,8,8,9938,t-13359938,2022-07-16,2018-10-29,38,9938,9938
g-13359939,9939,39,9,9,9939,t-13359939,2018-12-06,2017-08-13,39,9939,9939
g-13359940,9940,40,0,0,9940,t-13359940,2001-01-06,2019-04-12,40,9940,9940
g-13359941,9941,41,1,1,9941,t-13359941,2021-07-30,2005-03-29,41,9941,9941
g-13359942,9942,42,2,2,9942,t-13359942,2004-02-03,2007-04-25,42,9942,9942
