Customer,SalesOrganization,DistributionChannel,Division,AddressID,IncotermsClassification,IncotermsLocation1,IncotermsLocation2,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,DeliveryIsBlocked,SalesOffice,SalesGroup,ShippingCondition,SupplyingPlant,IncotermsVersion
fo-2402528,2528,28,28,fo-2402528,528,IncotermsLocation1-2402528,IncotermsLocation2-2402528,24025284-732c-4c8f-9cea-c77a831b904a,2402528d-3ee5-4e5f-a3a2-848dd298c3e8,24025285-b22a-4cd8-b36f-1e582e10dfde,28,2528,528,28,2528,2528
fo-2402529,2529,29,29,fo-2402529,529,IncotermsLocation1-2402529,IncotermsLocation2-2402529,2402529f-270d-4fd3-8230-d79d32f7a90e,24025292-33f2-47fb-b15a-e745fd970a15,2402529b-7b9f-4a97-a5e2-f5a1173d0d90,29,2529,529,29,2529,2529
fo-2402530,2530,30,30,fo-2402530,530,IncotermsLocation1-2402530,IncotermsLocation2-2402530,24025300-f959-449c-aef5-af7ecb333f14,24025307-4546-4803-bceb-fc815223c0ec,2402530b-a215-4171-b72b-fc2c68847fbb,30,2530,530,30,2530,2530
fo-2402531,2531,31,31,fo-2402531,531,IncotermsLocation1-2402531,IncotermsLocation2-2402531,24025313-eda4-4562-b3dd-28fbfb6f9de4,24025314-e2db-4b2a-b538-087e520a0ec7,2402531a-d766-4b89-a3e6-8273f593ccd6,31,2531,531,31,2531,2531
fo-2402532,2532,32,32,fo-2402532,532,IncotermsLocation1-2402532,IncotermsLocation2-2402532,24025325-bd40-4f05-9d40-5fef25d5a518,2402532d-d066-46cb-afd5-a24a25d308af,24025322-7ce9-4b84-8837-9738b975d207,32,2532,532,32,2532,2532
fo-2402533,2533,33,33,fo-2402533,533,IncotermsLocation1-2402533,IncotermsLocation2-2402533,2402533e-0611-4302-bc3e-4ec8b0a0aa4a,24025335-a3e0-4002-9777-d6303e0e2c2e,2402533c-0816-4afe-b250-4c2669ebb193,33,2533,533,33,2533,2533
fo-2402534,2534,34,34,fo-2402534,534,IncotermsLocation1-2402534,IncotermsLocation2-2402534,24025345-0c7e-4101-b581-4ffd073361c1,24025346-5649-4898-8962-9a05ede30073,24025346-4a27-4279-b327-9544932c467a,34,2534,534,34,2534,2534
fo-2402535,2535,35,35,fo-2402535,535,IncotermsLocation1-2402535,IncotermsLocation2-2402535,24025353-5e49-4648-af00-30cfa0afb8a0,2402535d-2048-40ba-875c-f1dc9a9cfc94,24025355-9010-42c6-bcee-9ddb222d8c5d,35,2535,535,35,2535,2535
fo-2402536,2536,36,36,fo-2402536,536,IncotermsLocation1-2402536,IncotermsLocation2-2402536,24025364-763b-4312-82dc-cbd09ea58075,24025367-2164-4b6c-bcee-9879b73d96ad,24025364-4d0b-4caf-94ac-93ea7f0fcbec,36,2536,536,36,2536,2536
fo-2402537,2537,37,37,fo-2402537,537,IncotermsLocation1-2402537,IncotermsLocation2-2402537,24025373-de19-4db9-8621-521bf4026d07,2402537c-1dd4-48ad-a0b8-bd69695d28a4,2402537d-c42c-4fe4-a3ff-c68702a3e22a,37,2537,537,37,2537,2537
fo-2402538,2538,38,38,fo-2402538,538,IncotermsLocation1-2402538,IncotermsLocation2-2402538,24025388-2c9f-42d8-ba61-c666acb22d9a,24025382-3512-4c84-a978-55e0dc70566d,2402538a-4810-4394-9c76-9ff0617b2945,38,2538,538,38,2538,2538
fo-2402539,2539,39,39,fo-2402539,539,IncotermsLocation1-2402539,IncotermsLocation2-2402539,2402539d-075e-4881-bcd3-dc0e742ee790,24025397-abc1-4964-bbe3-d67daf724754,2402539e-a84a-45bc-b54c-5a4a60e19472,39,2539,539,39,2539,2539
fo-2402540,2540,40,40,fo-2402540,540,IncotermsLocation1-2402540,IncotermsLocation2-2402540,2402540d-c140-4dae-badd-4b8f89035df3,24025402-385e-4d54-b4f3-c045fed8fe3f,2402540a-7a14-49ed-a7b3-43ec3d2d3213,40,2540,540,40,2540,2540
fo-2402541,2541,41,41,fo-2402541,541,IncotermsLocation1-2402541,IncotermsLocation2-2402541,24025413-f8ef-4167-b146-b0f5d34bef78,24025418-f474-4fbd-bb7e-af5aac4df2db,2402541e-f164-43ba-a882-d48ab68e089d,41,2541,541,41,2541,2541
fo-2402542,2542,42,42,fo-2402542,542,IncotermsLocation1-2402542,IncotermsLocation2-2402542,24025423-2465-4434-a027-f00ec4c87a7d,24025429-18f1-404e-adf6-783d085cde46,2402542b-45e5-4118-a183-7ac27348e665,42,2542,542,42,2542,2542
fo-2402543,2543,43,43,fo-2402543,543,IncotermsLocation1-2402543,IncotermsLocation2-2402543,2402543d-0540-4d84-9f95-6bfc16689d0a,2402543c-4b30-4f91-a90e-7243a55d2156,2402543b-c987-474f-9902-ed63876b8af5,43,2543,543,43,2543,2543
fo-2402544,2544,44,44,fo-2402544,544,IncotermsLocation1-2402544,IncotermsLocation2-2402544,2402544e-502b-43bb-b468-f8fc178ec7b1,24025447-45cb-489f-b117-cdd558548cef,24025449-1859-4182-9e79-b2428a574656,44,2544,544,44,2544,2544
fo-2402545,2545,45,45,fo-2402545,545,IncotermsLocation1-2402545,IncotermsLocation2-2402545,24025450-f4f6-4e72-81a0-73ebb3b81f50,2402545f-4079-489b-bc0f-00066a135024,24025459-3c3a-4aab-bd17-6d7afec8a058,45,2545,545,45,2545,2545
fo-2402546,2546,46,46,fo-2402546,546,IncotermsLocation1-2402546,IncotermsLocation2-2402546,2402546e-ab24-405c-964e-a55536d455d0,2402546c-d66a-44b4-853c-ff12edb0e758,2402546e-1bf5-4d5b-90dd-cf705ae43755,46,2546,546,46,2546,2546
fo-2402547,2547,47,47,fo-2402547,547,IncotermsLocation1-2402547,IncotermsLocation2-2402547,2402547d-cbce-4b6e-8803-eff65502cb2d,2402547f-ef7a-45a8-ac6f-f6bf842e4474,24025470-f9c3-4164-be0a-f92a3086edef,47,2547,547,47,2547,2547
fo-2402548,2548,48,48,fo-2402548,548,IncotermsLocation1-2402548,IncotermsLocation2-2402548,24025489-2d86-4e02-8bca-e31d6472d776,2402548d-f6be-48f4-8749-c2469ad5d18d,24025484-49d4-4f6e-b50b-1aed9cbc45d9,48,2548,548,48,2548,2548
fo-2402549,2549,49,49,fo-2402549,549,IncotermsLocation1-2402549,IncotermsLocation2-2402549,2402549a-e0a6-4eae-abe5-7dcb1154ebc1,24025497-ce53-4e31-8aba-368cbf1f9a89,2402549d-dbce-4459-b7c2-e5ce6db42912,49,2549,549,49,2549,2549
fo-2402550,2550,50,50,fo-2402550,550,IncotermsLocation1-2402550,IncotermsLocation2-2402550,2402550f-8af2-4e5c-aa70-baa5f05c24db,24025506-aaab-4ffb-b4c8-8d17c4c4241d,2402550f-6ffc-4bfa-8a50-9bde9924ff9b,50,2550,550,50,2550,2550
fo-2402551,2551,51,51,fo-2402551,551,IncotermsLocation1-2402551,IncotermsLocation2-2402551,2402551b-b49c-4aad-99a5-2d047ab77d18,2402551d-6193-4cad-a0d5-a31a74dd2641,24025510-dd14-43c8-8ad2-bb4b355de257,51,2551,551,51,2551,2551
fo-2402552,2552,52,52,fo-2402552,552,IncotermsLocation1-2402552,IncotermsLocation2-2402552,24025526-06d4-4f5f-a20f-b654e542a315,2402552a-4ac9-45d2-8413-f739db15ef9b,2402552b-cdc1-45e8-9f6f-4eedb55918e2,52,2552,552,52,2552,2552
fo-2402553,2553,53,53,fo-2402553,553,IncotermsLocation1-2402553,IncotermsLocation2-2402553,24025536-0dd5-4b83-a601-1927a22e2d4e,2402553f-b897-40f1-aad3-24bd95113c5a,24025531-d244-4e27-89fb-c1fb9465055d,53,2553,553,53,2553,2553
fo-2402554,2554,54,54,fo-2402554,554,IncotermsLocation1-2402554,IncotermsLocation2-2402554,2402554c-bc5e-4d5b-83fd-5392445d939e,24025541-c5d3-4ebd-9e67-73061822d4f0,24025547-5da1-4041-8ed7-3188bbec3af5,54,2554,554,54,2554,2554
fo-2402555,2555,55,55,fo-2402555,555,IncotermsLocation1-2402555,IncotermsLocation2-2402555,2402555f-a391-4235-8b01-884dfb1ccd78,24025558-ee0e-4bb4-bda0-414a09a45db4,2402555a-1eef-4827-8768-0d58d0478c28,55,2555,555,55,2555,2555
fo-2402556,2556,56,56,fo-2402556,556,IncotermsLocation1-2402556,IncotermsLocation2-2402556,2402556c-66ac-4899-89f6-e91e67545afa,24025566-52b8-4192-a6b1-36999def4e00,2402556d-a6a3-449f-aef5-5fdc8b37de23,56,2556,556,56,2556,2556
fo-2402557,2557,57,57,fo-2402557,557,IncotermsLocation1-2402557,IncotermsLocation2-2402557,24025574-ef3d-43f1-8e2f-4e84eb19815d,24025577-1d5f-40bc-b1bc-3ca54ec0e3b3,2402557c-bf48-4188-8722-963be79b728e,57,2557,557,57,2557,2557
fo-2402558,2558,58,58,fo-2402558,558,IncotermsLocation1-2402558,IncotermsLocation2-2402558,2402558d-7abc-4302-a9f1-78060c3103bd,24025585-df59-441c-846f-ba3b46e4423a,24025584-a3df-4b1e-baec-dacf79d3df9b,58,2558,558,58,2558,2558
fo-2402559,2559,59,59,fo-2402559,559,IncotermsLocation1-2402559,IncotermsLocation2-2402559,2402559b-7f8a-4bb4-9f82-aa2b7ab1f60d,2402559b-c3c5-41d4-823f-faea644a4d33,2402559c-6f2a-4974-92d2-408f4cd77a3e,59,2559,559,59,2559,2559
fo-2402560,2560,60,60,fo-2402560,560,IncotermsLocation1-2402560,IncotermsLocation2-2402560,24025606-e532-452e-95cd-354defc501d6,24025608-2480-46fe-b27a-bf79cd5b08ff,24025603-de27-4c8b-b8fc-2c6e482aa199,60,2560,560,60,2560,2560
fo-2402561,2561,61,61,fo-2402561,561,IncotermsLocation1-2402561,IncotermsLocation2-2402561,24025617-946f-455f-bd1c-1d749ffaedcd,2402561c-bbb3-422a-bcb3-90c583333f29,2402561e-3a43-47ac-bde1-9d5241a14deb,61,2561,561,61,2561,2561
fo-2402562,2562,62,62,fo-2402562,562,IncotermsLocation1-2402562,IncotermsLocation2-2402562,2402562f-10bc-4c74-896e-550d5eda180b,2402562a-5f18-4002-bf39-62bf0ec2fba8,24025620-3577-43d1-b825-6f1545722dcb,62,2562,562,62,2562,2562
fo-2402563,2563,63,63,fo-2402563,563,IncotermsLocation1-2402563,IncotermsLocation2-2402563,2402563f-0f1c-46ba-8693-32c882bdec18,24025633-4035-4ff0-ab06-c5ae00d7e2b4,2402563b-ea51-4918-8d87-b3cc44bee07e,63,2563,563,63,2563,2563
fo-2402564,2564,64,64,fo-2402564,564,IncotermsLocation1-2402564,IncotermsLocation2-2402564,2402564f-5d5c-49db-bf24-afb0a8718483,24025644-893a-4ed5-b04d-1bddee14310c,24025648-dd58-46ad-a4ef-b85065595d73,64,2564,564,64,2564,2564
fo-2402565,2565,65,65,fo-2402565,565,IncotermsLocation1-2402565,IncotermsLocation2-2402565,24025654-8746-4e6b-bdd5-9bbdc52a4767,2402565b-41a1-447f-b789-0ec24e0a420e,2402565c-61b6-439c-a000-4159c415c7d6,65,2565,565,65,2565,2565
fo-2402566,2566,66,66,fo-2402566,566,IncotermsLocation1-2402566,IncotermsLocation2-2402566,24025663-39c4-4c4a-be64-777b72ee87ae,24025669-cb61-4c3a-bcfd-8168234d6c43,24025666-bbe8-435a-8e5b-84cc2a62391f,66,2566,566,66,2566,2566
fo-2402567,2567,67,67,fo-2402567,567,IncotermsLocation1-2402567,IncotermsLocation2-2402567,24025678-91cd-430b-9894-d6d96970123a,24025670-eea2-4877-9c53-888284b834e3,24025670-adf1-4626-a9af-e024197deb41,67,2567,567,67,2567,2567
fo-2402568,2568,68,68,fo-2402568,568,IncotermsLocation1-2402568,IncotermsLocation2-2402568,2402568f-4de2-4b94-916e-a316d5059312,24025681-38df-4fdf-9d00-60d9964fe4ac,24025683-164d-419f-8f4b-053796044251,68,2568,568,68,2568,2568
fo-2402569,2569,69,69,fo-2402569,569,IncotermsLocation1-2402569,IncotermsLocation2-2402569,2402569f-657b-4bd7-b471-63379cf3b240,2402569b-6ae1-45e5-9228-f02d7343f7e7,2402569c-ff21-4bd2-876c-fec40d071d92,69,2569,569,69,2569,2569
fo-2402570,2570,70,70,fo-2402570,570,IncotermsLocation1-2402570,IncotermsLocation2-2402570,24025704-a877-441f-9323-75e2466faba9,2402570b-9e87-4c70-a596-dd321966fc0a,24025707-55f9-4624-a43a-c651aebda3fa,70,2570,570,70,2570,2570
fo-2402571,2571,71,71,fo-2402571,571,IncotermsLocation1-2402571,IncotermsLocation2-2402571,2402571b-de3e-4235-a62e-905816df5e2d,2402571f-b121-453a-bd88-cc6c6502cf3e,2402571b-5f03-411a-baf3-a80b293f152c,71,2571,571,71,2571,2571
fo-2402572,2572,72,72,fo-2402572,572,IncotermsLocation1-2402572,IncotermsLocation2-2402572,2402572e-aa08-4606-8b1c-f4b2e7c45cba,24025721-feba-4f82-90f5-fd517b8bd03d,2402572b-bb9a-43dc-89b5-9d09fdc1122d,72,2572,572,72,2572,2572
fo-2402573,2573,73,73,fo-2402573,573,IncotermsLocation1-2402573,IncotermsLocation2-2402573,24025735-d7b2-43ab-a7cb-ed652784be6a,24025732-12ef-491a-b39b-64fd84af72de,2402573d-3c53-4fb2-9b67-db77ed4eb9ea,73,2573,573,73,2573,2573
fo-2402574,2574,74,74,fo-2402574,574,IncotermsLocation1-2402574,IncotermsLocation2-2402574,24025741-7ead-450c-ac2d-6a5590b86b64,2402574d-8327-4616-965a-e36cd1ab674d,24025744-7c35-4d04-a9c0-701339747826,74,2574,574,74,2574,2574
fo-2402575,2575,75,75,fo-2402575,575,IncotermsLocation1-2402575,IncotermsLocation2-2402575,24025754-8f4d-4241-b184-bedd445a92ba,2402575a-d055-4559-861c-a3c80c2c7ac8,2402575e-7a36-4f42-be84-e0c578c4f6a9,75,2575,575,75,2575,2575
fo-2402576,2576,76,76,fo-2402576,576,IncotermsLocation1-2402576,IncotermsLocation2-2402576,2402576b-71f4-471d-9169-d2c15d0e611c,2402576e-c507-4f92-81c9-40e2d6553304,2402576d-efde-4f93-9c29-c6a04cb67f36,76,2576,576,76,2576,2576
fo-2402577,2577,77,77,fo-2402577,577,IncotermsLocation1-2402577,IncotermsLocation2-2402577,24025779-e976-4806-9ef3-66b0ba297b5e,24025775-bb34-43a8-9c07-b99acb61bd15,24025779-163c-4549-881b-e50ac3483ebf,77,2577,577,77,2577,2577
fo-2402578,2578,78,78,fo-2402578,578,IncotermsLocation1-2402578,IncotermsLocation2-2402578,2402578e-2fc5-4220-aa4c-58b4b2e76df9,2402578c-9e50-4b5e-8581-811f8867584e,2402578b-dbc5-404d-a7cd-9c0fefc7df8a,78,2578,578,78,2578,2578
fo-2402579,2579,79,79,fo-2402579,579,IncotermsLocation1-2402579,IncotermsLocation2-2402579,2402579f-b49e-4dd6-b5d2-bbd0e54764f0,24025798-3946-48f7-8118-b99064eb66f9,2402579e-5056-4f67-9ed5-f67f01bb2e9b,79,2579,579,79,2579,2579
fo-2402580,2580,80,80,fo-2402580,580,IncotermsLocation1-2402580,IncotermsLocation2-2402580,2402580f-ad26-4a54-9e36-c1178b92e8e2,2402580a-211a-406b-9152-19fda61794b9,24025804-f8cb-4ccb-b575-10236e818b22,80,2580,580,80,2580,2580
fo-2402581,2581,81,81,fo-2402581,581,IncotermsLocation1-2402581,IncotermsLocation2-2402581,2402581b-0bbc-4feb-a87b-e17301986fc5,24025815-850c-40e1-8180-78eb540a2207,24025810-1942-4af7-bab3-d2aa4940a04e,81,2581,581,81,2581,2581
fo-2402582,2582,82,82,fo-2402582,582,IncotermsLocation1-2402582,IncotermsLocation2-2402582,24025823-658e-46bf-a071-88d8bf632fdd,24025827-ed32-43bd-ba6f-8f29547f7048,24025820-9ee2-4ba9-a273-4cd0c2dafe02,82,2582,582,82,2582,2582
fo-2402583,2583,83,83,fo-2402583,583,IncotermsLocation1-2402583,IncotermsLocation2-2402583,24025838-8f08-4ba4-9d8f-09fb508443ce,2402583b-966e-4e51-ae40-ea25573001e8,24025833-79d4-49be-bd33-3080f899e028,83,2583,583,83,2583,2583
fo-2402584,2584,84,84,fo-2402584,584,IncotermsLocation1-2402584,IncotermsLocation2-2402584,2402584b-bc24-46e9-bbe0-f38eb9828f53,24025849-e402-4843-bb41-10050fd56e32,24025846-f718-4b29-ac2f-a4f4e118f774,84,2584,584,84,2584,2584
fo-2402585,2585,85,85,fo-2402585,585,IncotermsLocation1-2402585,IncotermsLocation2-2402585,2402585a-f5b4-4c40-8c76-a3995bc1adf7,24025854-d332-4618-bf71-4c7ce46b1f4f,24025858-1058-4de6-bc46-842e34b67819,85,2585,585,85,2585,2585
fo-2402586,2586,86,86,fo-2402586,586,IncotermsLocation1-2402586,IncotermsLocation2-2402586,2402586a-5eb5-4c06-b654-e995c7fbca5d,2402586f-0c6b-466a-af04-a752ec18ceef,24025864-8203-40eb-81dd-336d25fa690d,86,2586,586,86,2586,2586
fo-2402587,2587,87,87,fo-2402587,587,IncotermsLocation1-2402587,IncotermsLocation2-2402587,24025874-1cc6-4c79-bfb1-3e99f64ba564,24025876-c35c-410e-9ef5-faddd7fd27ae,24025876-686a-4af3-a1e6-487b14b47f13,87,2587,587,87,2587,2587
fo-2402588,2588,88,88,fo-2402588,588,IncotermsLocation1-2402588,IncotermsLocation2-2402588,2402588f-0b85-4040-ac19-6bf89a00091c,24025887-74aa-4e0c-b495-15da19f262b9,24025886-5149-4f8e-8167-0ccf577b975c,88,2588,588,88,2588,2588
fo-2402589,2589,89,89,fo-2402589,589,IncotermsLocation1-2402589,IncotermsLocation2-2402589,2402589c-cb18-4b6b-b801-63f8a343f645,24025898-1acd-4bf0-8a77-5a6ceeaa686e,2402589f-7c75-4c3c-86ac-e1ae73a6ac0c,89,2589,589,89,2589,2589
fo-2402590,2590,90,90,fo-2402590,590,IncotermsLocation1-2402590,IncotermsLocation2-2402590,24025906-d791-4139-8a84-f7050613bd2a,2402590e-aa77-4dc7-b9f9-6a34d77307dc,24025907-820a-4056-82fd-50242fcbaada,90,2590,590,90,2590,2590
fo-2402591,2591,91,91,fo-2402591,591,IncotermsLocation1-2402591,IncotermsLocation2-2402591,24025919-894f-4f93-ab90-b63bd6938dee,24025915-6408-4377-8f68-d621820b7d2e,24025910-9778-49ab-bca3-d419aa59a3ed,91,2591,591,91,2591,2591
fo-2402592,2592,92,92,fo-2402592,592,IncotermsLocation1-2402592,IncotermsLocation2-2402592,2402592b-443d-47cd-af72-ad032c240d11,2402592b-6e1b-41bf-b004-9ac81b7f8a10,24025924-c575-4f94-a706-0588e88ea706,92,2592,592,92,2592,2592
fo-2402593,2593,93,93,fo-2402593,593,IncotermsLocation1-2402593,IncotermsLocation2-2402593,2402593b-db0d-4f12-b2bb-0d229661937c,24025939-4f06-45b5-8499-d6c0de5494bf,24025938-2d4d-44ae-846c-c261966e27e6,93,2593,593,93,2593,2593
fo-2402594,2594,94,94,fo-2402594,594,IncotermsLocation1-2402594,IncotermsLocation2-2402594,2402594b-3368-4388-94f9-37576b200dd6,2402594d-1426-480d-986c-93142880b4aa,24025944-01dc-47dd-adba-13e8639c43d9,94,2594,594,94,2594,2594
fo-2402595,2595,95,95,fo-2402595,595,IncotermsLocation1-2402595,IncotermsLocation2-2402595,24025950-f412-4b81-a14c-588c312ef092,24025951-dc2a-49a2-a91f-70f9d7dcf376,24025955-ffcd-47d0-87ae-8ec6466971e7,95,2595,595,95,2595,2595
fo-2402596,2596,96,96,fo-2402596,596,IncotermsLocation1-2402596,IncotermsLocation2-2402596,24025962-e364-4669-82c7-3975e7c8aa4d,24025961-a507-41ef-9e15-3e2f2fffd00d,24025969-a065-427b-983b-54168f783485,96,2596,596,96,2596,2596
fo-2402597,2597,97,97,fo-2402597,597,IncotermsLocation1-2402597,IncotermsLocation2-2402597,24025979-b461-49ef-a698-1821120511ab,24025977-7450-455b-a9e5-4ee5f1983e0e,24025973-afd0-42e0-9b7c-f6388b38eaa8,97,2597,597,97,2597,2597
fo-2402598,2598,98,98,fo-2402598,598,IncotermsLocation1-2402598,IncotermsLocation2-2402598,2402598e-4485-41eb-8933-088fcc8a3b5c,2402598d-4061-4e82-9133-1cc7e7cae19a,24025984-230a-42ca-80de-279922b3ae8d,98,2598,598,98,2598,2598
fo-2402599,2599,99,99,fo-2402599,599,IncotermsLocation1-2402599,IncotermsLocation2-2402599,24025994-a8b3-44a3-beb3-cbfe3088038e,24025993-3e09-44a3-bf38-de9b0edb64b4,24025998-8394-4b3f-8d19-e6292ad8fd7f,99,2599,599,99,2599,2599
