Customer,CompanyCode,APARToleranceGroup,AccountByCustomer,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkInternetAddress,AccountingClerkPhoneNumber,AlternativePayerAccount,AuthorizationGroup,CollectiveInvoiceVariant,CustomerAccountNote,CustomerHeadOffice,CustomerSupplierClearingIsUsed,HouseBank,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,LayoutSortingRule,PaymentBlockingReason,PaymentMethodsList,PaymentReason,PaymentTerms,PaytAdviceIsSentbyEDI,PhysicalInventoryBlockInd,ReconciliationAccount,RecordPaymentHistoryIndicator,UserAtCustomer,DeletionIndicator,CashPlanningGroup,KnownOrNegotiatedLeave,ValueAdjustmentKey,CustomerAccountGroup
y-25353812,3812,3812,mer-25353812,12,countingClerkFaxNumber-25353812,AccountingClerkInternetAddress-25353812,ntingClerkPhoneNumber-25353812,t-25353812,3812,2,CustomerAccountNote-25353812,e-25353812,true,53812,12,2017-07-18,12,true,true,812,2,t-25353812,3812,3812,true,true,t-25353812,true,stomer-25353812,true,p-25353812,3812,12,3812
y-25353813,3813,3813,mer-25353813,13,countingClerkFaxNumber-25353813,AccountingClerkInternetAddress-25353813,ntingClerkPhoneNumber-25353813,t-25353813,3813,3,CustomerAccountNote-25353813,e-25353813,false,53813,13,2021-09-22,13,false,false,813,3,t-25353813,3813,3813,false,false,t-25353813,false,stomer-25353813,false,p-25353813,3813,13,3813
y-25353814,3814,3814,mer-25353814,14,countingClerkFaxNumber-25353814,AccountingClerkInternetAddress-25353814,ntingClerkPhoneNumber-25353814,t-25353814,3814,4,CustomerAccountNote-25353814,e-25353814,true,53814,14,2007-04-20,14,true,true,814,4,t-25353814,3814,3814,true,true,t-25353814,true,stomer-25353814,true,p-25353814,3814,14,3814
y-25353815,3815,3815,mer-25353815,15,countingClerkFaxNumber-25353815,AccountingClerkInternetAddress-25353815,ntingClerkPhoneNumber-25353815,t-25353815,3815,5,CustomerAccountNote-25353815,e-25353815,false,53815,15,2008-12-11,15,false,false,815,5,t-25353815,3815,3815,false,false,t-25353815,false,stomer-25353815,false,p-25353815,3815,15,3815
y-25353816,3816,3816,mer-25353816,16,countingClerkFaxNumber-25353816,AccountingClerkInternetAddress-25353816,ntingClerkPhoneNumber-25353816,t-25353816,3816,6,CustomerAccountNote-25353816,e-25353816,true,53816,16,2022-06-19,16,true,true,816,6,t-25353816,3816,3816,true,true,t-25353816,true,stomer-25353816,true,p-25353816,3816,16,3816
y-25353817,3817,3817,mer-25353817,17,countingClerkFaxNumber-25353817,AccountingClerkInternetAddress-25353817,ntingClerkPhoneNumber-25353817,t-25353817,3817,7,CustomerAccountNote-25353817,e-25353817,false,53817,17,2021-02-03,17,false,false,817,7,t-25353817,3817,3817,false,false,t-25353817,false,stomer-25353817,false,p-25353817,3817,17,3817
y-25353818,3818,3818,mer-25353818,18,countingClerkFaxNumber-25353818,AccountingClerkInternetAddress-25353818,ntingClerkPhoneNumber-25353818,t-25353818,3818,8,CustomerAccountNote-25353818,e-25353818,true,53818,18,2022-04-02,18,true,true,818,8,t-25353818,3818,3818,true,true,t-25353818,true,stomer-25353818,true,p-25353818,3818,18,3818
y-25353819,3819,3819,mer-25353819,19,countingClerkFaxNumber-25353819,AccountingClerkInternetAddress-25353819,ntingClerkPhoneNumber-25353819,t-25353819,3819,9,CustomerAccountNote-25353819,e-25353819,false,53819,19,2013-10-27,19,false,false,819,9,t-25353819,3819,3819,false,false,t-25353819,false,stomer-25353819,false,p-25353819,3819,19,3819
y-25353820,3820,3820,mer-25353820,20,countingClerkFaxNumber-25353820,AccountingClerkInternetAddress-25353820,ntingClerkPhoneNumber-25353820,t-25353820,3820,0,CustomerAccountNote-25353820,e-25353820,true,53820,20,2009-10-20,20,true,true,820,0,t-25353820,3820,3820,true,true,t-25353820,true,stomer-25353820,true,p-25353820,3820,20,3820
y-25353821,3821,3821,mer-25353821,21,countingClerkFaxNumber-25353821,AccountingClerkInternetAddress-25353821,ntingClerkPhoneNumber-25353821,t-25353821,3821,1,CustomerAccountNote-25353821,e-25353821,false,53821,21,2011-05-15,21,false,false,821,1,t-25353821,3821,3821,false,false,t-25353821,false,stomer-25353821,false,p-25353821,3821,21,3821
y-25353822,3822,3822,mer-25353822,22,countingClerkFaxNumber-25353822,AccountingClerkInternetAddress-25353822,ntingClerkPhoneNumber-25353822,t-25353822,3822,2,CustomerAccountNote-25353822,e-25353822,true,53822,22,2003-12-29,22,true,true,822,2,t-25353822,3822,3822,true,true,t-25353822,true,stomer-25353822,true,p-25353822,3822,22,3822
y-25353823,3823,3823,mer-25353823,23,countingClerkFaxNumber-25353823,AccountingClerkInternetAddress-25353823,ntingClerkPhoneNumber-25353823,t-25353823,3823,3,CustomerAccountNote-25353823,e-25353823,false,53823,23,2023-09-04,23,false,false,823,3,t-25353823,3823,3823,false,false,t-25353823,false,stomer-25353823,false,p-25353823,3823,23,3823
y-25353824,3824,3824,mer-25353824,24,countingClerkFaxNumber-25353824,AccountingClerkInternetAddress-25353824,ntingClerkPhoneNumber-25353824,t-25353824,3824,4,CustomerAccountNote-25353824,e-25353824,true,53824,24,2008-04-06,24,true,true,824,4,t-25353824,3824,3824,true,true,t-25353824,true,stomer-25353824,true,p-25353824,3824,24,3824
y-25353825,3825,3825,mer-25353825,25,countingClerkFaxNumber-25353825,AccountingClerkInternetAddress-25353825,ntingClerkPhoneNumber-25353825,t-25353825,3825,5,CustomerAccountNote-25353825,e-25353825,false,53825,25,2010-12-24,25,false,false,825,5,t-25353825,3825,3825,false,false,t-25353825,false,stomer-25353825,false,p-25353825,3825,25,3825
y-25353826,3826,3826,mer-25353826,26,countingClerkFaxNumber-25353826,AccountingClerkInternetAddress-25353826,ntingClerkPhoneNumber-25353826,t-25353826,3826,6,CustomerAccountNote-25353826,e-25353826,true,53826,26,2002-01-31,26,true,true,826,6,t-25353826,3826,3826,true,true,t-25353826,true,stomer-25353826,true,p-25353826,3826,26,3826
y-25353827,3827,3827,mer-25353827,27,countingClerkFaxNumber-25353827,AccountingClerkInternetAddress-25353827,ntingClerkPhoneNumber-25353827,t-25353827,3827,7,CustomerAccountNote-25353827,e-25353827,false,53827,27,2003-05-25,27,false,false,827,7,t-25353827,3827,3827,false,false,t-25353827,false,stomer-25353827,false,p-25353827,3827,27,3827
y-25353828,3828,3828,mer-25353828,28,countingClerkFaxNumber-25353828,AccountingClerkInternetAddress-25353828,ntingClerkPhoneNumber-25353828,t-25353828,3828,8,CustomerAccountNote-25353828,e-25353828,true,53828,28,2023-10-23,28,true,true,828,8,t-25353828,3828,3828,true,true,t-25353828,true,stomer-25353828,true,p-25353828,3828,28,3828
y-25353829,3829,3829,mer-25353829,29,countingClerkFaxNumber-25353829,AccountingClerkInternetAddress-25353829,ntingClerkPhoneNumber-25353829,t-25353829,3829,9,CustomerAccountNote-25353829,e-25353829,false,53829,29,2023-01-03,29,false,false,829,9,t-25353829,3829,3829,false,false,t-25353829,false,stomer-25353829,false,p-25353829,3829,29,3829
y-25353830,3830,3830,mer-25353830,30,countingClerkFaxNumber-25353830,AccountingClerkInternetAddress-25353830,ntingClerkPhoneNumber-25353830,t-25353830,3830,0,CustomerAccountNote-25353830,e-25353830,true,53830,30,2021-09-14,30,true,true,830,0,t-25353830,3830,3830,true,true,t-25353830,true,stomer-25353830,true,p-25353830,3830,30,3830
y-25353831,3831,3831,mer-25353831,31,countingClerkFaxNumber-25353831,AccountingClerkInternetAddress-25353831,ntingClerkPhoneNumber-25353831,t-25353831,3831,1,CustomerAccountNote-25353831,e-25353831,false,53831,31,2020-02-27,31,false,false,831,1,t-25353831,3831,3831,false,false,t-25353831,false,stomer-25353831,false,p-25353831,3831,31,3831
y-25353832,3832,3832,mer-25353832,32,countingClerkFaxNumber-25353832,AccountingClerkInternetAddress-25353832,ntingClerkPhoneNumber-25353832,t-25353832,3832,2,CustomerAccountNote-25353832,e-25353832,true,53832,32,2000-12-28,32,true,true,832,2,t-25353832,3832,3832,true,true,t-25353832,true,stomer-25353832,true,p-25353832,3832,32,3832
y-25353833,3833,3833,mer-25353833,33,countingClerkFaxNumber-25353833,AccountingClerkInternetAddress-25353833,ntingClerkPhoneNumber-25353833,t-25353833,3833,3,CustomerAccountNote-25353833,e-25353833,false,53833,33,2016-08-03,33,false,false,833,3,t-25353833,3833,3833,false,false,t-25353833,false,stomer-25353833,false,p-25353833,3833,33,3833
y-25353834,3834,3834,mer-25353834,34,countingClerkFaxNumber-25353834,AccountingClerkInternetAddress-25353834,ntingClerkPhoneNumber-25353834,t-25353834,3834,4,CustomerAccountNote-25353834,e-25353834,true,53834,34,2011-04-30,34,true,true,834,4,t-25353834,3834,3834,true,true,t-25353834,true,stomer-25353834,true,p-25353834,3834,34,3834
y-25353835,3835,3835,mer-25353835,35,countingClerkFaxNumber-25353835,AccountingClerkInternetAddress-25353835,ntingClerkPhoneNumber-25353835,t-25353835,3835,5,CustomerAccountNote-25353835,e-25353835,false,53835,35,2012-11-06,35,false,false,835,5,t-25353835,3835,3835,false,false,t-25353835,false,stomer-25353835,false,p-25353835,3835,35,3835
y-25353836,3836,3836,mer-25353836,36,countingClerkFaxNumber-25353836,AccountingClerkInternetAddress-25353836,ntingClerkPhoneNumber-25353836,t-25353836,3836,6,CustomerAccountNote-25353836,e-25353836,true,53836,36,2019-11-26,36,true,true,836,6,t-25353836,3836,3836,true,true,t-25353836,true,stomer-25353836,true,p-25353836,3836,36,3836
y-25353837,3837,3837,mer-25353837,37,countingClerkFaxNumber-25353837,AccountingClerkInternetAddress-25353837,ntingClerkPhoneNumber-25353837,t-25353837,3837,7,CustomerAccountNote-25353837,e-25353837,false,53837,37,2022-06-21,37,false,false,837,7,t-25353837,3837,3837,false,false,t-25353837,false,stomer-25353837,false,p-25353837,3837,37,3837
y-25353838,3838,3838,mer-25353838,38,countingClerkFaxNumber-25353838,AccountingClerkInternetAddress-25353838,ntingClerkPhoneNumber-25353838,t-25353838,3838,8,CustomerAccountNote-25353838,e-25353838,true,53838,38,2014-12-15,38,true,true,838,8,t-25353838,3838,3838,true,true,t-25353838,true,stomer-25353838,true,p-25353838,3838,38,3838
y-25353839,3839,3839,mer-25353839,39,countingClerkFaxNumber-25353839,AccountingClerkInternetAddress-25353839,ntingClerkPhoneNumber-25353839,t-25353839,3839,9,CustomerAccountNote-25353839,e-25353839,false,53839,39,2022-11-23,39,false,false,839,9,t-25353839,3839,3839,false,false,t-25353839,false,stomer-25353839,false,p-25353839,3839,39,3839
y-25353840,3840,3840,mer-25353840,40,countingClerkFaxNumber-25353840,AccountingClerkInternetAddress-25353840,ntingClerkPhoneNumber-25353840,t-25353840,3840,0,CustomerAccountNote-25353840,e-25353840,true,53840,40,2014-07-22,40,true,true,840,0,t-25353840,3840,3840,true,true,t-25353840,true,stomer-25353840,true,p-25353840,3840,40,3840
y-25353841,3841,3841,mer-25353841,41,countingClerkFaxNumber-25353841,AccountingClerkInternetAddress-25353841,ntingClerkPhoneNumber-25353841,t-25353841,3841,1,CustomerAccountNote-25353841,e-25353841,false,53841,41,2020-10-02,41,false,false,841,1,t-25353841,3841,3841,false,false,t-25353841,false,stomer-25353841,false,p-25353841,3841,41,3841
y-25353842,3842,3842,mer-25353842,42,countingClerkFaxNumber-25353842,AccountingClerkInternetAddress-25353842,ntingClerkPhoneNumber-25353842,t-25353842,3842,2,CustomerAccountNote-25353842,e-25353842,true,53842,42,2017-04-10,42,true,true,842,2,t-25353842,3842,3842,true,true,t-25353842,true,stomer-25353842,true,p-25353842,3842,42,3842
y-25353843,3843,3843,mer-25353843,43,countingClerkFaxNumber-25353843,AccountingClerkInternetAddress-25353843,ntingClerkPhoneNumber-25353843,t-25353843,3843,3,CustomerAccountNote-25353843,e-25353843,false,53843,43,2012-02-02,43,false,false,843,3,t-25353843,3843,3843,false,false,t-25353843,false,stomer-25353843,false,p-25353843,3843,43,3843
y-25353844,3844,3844,mer-25353844,44,countingClerkFaxNumber-25353844,AccountingClerkInternetAddress-25353844,ntingClerkPhoneNumber-25353844,t-25353844,3844,4,CustomerAccountNote-25353844,e-25353844,true,53844,44,2007-01-07,44,true,true,844,4,t-25353844,3844,3844,true,true,t-25353844,true,stomer-25353844,true,p-25353844,3844,44,3844
y-25353845,3845,3845,mer-25353845,45,countingClerkFaxNumber-25353845,AccountingClerkInternetAddress-25353845,ntingClerkPhoneNumber-25353845,t-25353845,3845,5,CustomerAccountNote-25353845,e-25353845,false,53845,45,2001-11-11,45,false,false,845,5,t-25353845,3845,3845,false,false,t-25353845,false,stomer-25353845,false,p-25353845,3845,45,3845
y-25353846,3846,3846,mer-25353846,46,countingClerkFaxNumber-25353846,AccountingClerkInternetAddress-25353846,ntingClerkPhoneNumber-25353846,t-25353846,3846,6,CustomerAccountNote-25353846,e-25353846,true,53846,46,2015-09-05,46,true,true,846,6,t-25353846,3846,3846,true,true,t-25353846,true,stomer-25353846,true,p-25353846,3846,46,3846
y-25353847,3847,3847,mer-25353847,47,countingClerkFaxNumber-25353847,AccountingClerkInternetAddress-25353847,ntingClerkPhoneNumber-25353847,t-25353847,3847,7,CustomerAccountNote-25353847,e-25353847,false,53847,47,2001-09-29,47,false,false,847,7,t-25353847,3847,3847,false,false,t-25353847,false,stomer-25353847,false,p-25353847,3847,47,3847
y-25353848,3848,3848,mer-25353848,48,countingClerkFaxNumber-25353848,AccountingClerkInternetAddress-25353848,ntingClerkPhoneNumber-25353848,t-25353848,3848,8,CustomerAccountNote-25353848,e-25353848,true,53848,48,2020-03-26,48,true,true,848,8,t-25353848,3848,3848,true,true,t-25353848,true,stomer-25353848,true,p-25353848,3848,48,3848
y-25353849,3849,3849,mer-25353849,49,countingClerkFaxNumber-25353849,AccountingClerkInternetAddress-25353849,ntingClerkPhoneNumber-25353849,t-25353849,3849,9,CustomerAccountNote-25353849,e-25353849,false,53849,49,2015-08-19,49,false,false,849,9,t-25353849,3849,3849,false,false,t-25353849,false,stomer-25353849,false,p-25353849,3849,49,3849
y-25353850,3850,3850,mer-25353850,50,countingClerkFaxNumber-25353850,AccountingClerkInternetAddress-25353850,ntingClerkPhoneNumber-25353850,t-25353850,3850,0,CustomerAccountNote-25353850,e-25353850,true,53850,50,2023-07-09,50,true,true,850,0,t-25353850,3850,3850,true,true,t-25353850,true,stomer-25353850,true,p-25353850,3850,50,3850
y-25353851,3851,3851,mer-25353851,51,countingClerkFaxNumber-25353851,AccountingClerkInternetAddress-25353851,ntingClerkPhoneNumber-25353851,t-25353851,3851,1,CustomerAccountNote-25353851,e-25353851,false,53851,51,2014-11-26,51,false,false,851,1,t-25353851,3851,3851,false,false,t-25353851,false,stomer-25353851,false,p-25353851,3851,51,3851
y-25353852,3852,3852,mer-25353852,52,countingClerkFaxNumber-25353852,AccountingClerkInternetAddress-25353852,ntingClerkPhoneNumber-25353852,t-25353852,3852,2,CustomerAccountNote-25353852,e-25353852,true,53852,52,2007-11-05,52,true,true,852,2,t-25353852,3852,3852,true,true,t-25353852,true,stomer-25353852,true,p-25353852,3852,52,3852
y-25353853,3853,3853,mer-25353853,53,countingClerkFaxNumber-25353853,AccountingClerkInternetAddress-25353853,ntingClerkPhoneNumber-25353853,t-25353853,3853,3,CustomerAccountNote-25353853,e-25353853,false,53853,53,2019-10-16,53,false,false,853,3,t-25353853,3853,3853,false,false,t-25353853,false,stomer-25353853,false,p-25353853,3853,53,3853
y-25353854,3854,3854,mer-25353854,54,countingClerkFaxNumber-25353854,AccountingClerkInternetAddress-25353854,ntingClerkPhoneNumber-25353854,t-25353854,3854,4,CustomerAccountNote-25353854,e-25353854,true,53854,54,2006-11-12,54,true,true,854,4,t-25353854,3854,3854,true,true,t-25353854,true,stomer-25353854,true,p-25353854,3854,54,3854
y-25353855,3855,3855,mer-25353855,55,countingClerkFaxNumber-25353855,AccountingClerkInternetAddress-25353855,ntingClerkPhoneNumber-25353855,t-25353855,3855,5,CustomerAccountNote-25353855,e-25353855,false,53855,55,2009-11-05,55,false,false,855,5,t-25353855,3855,3855,false,false,t-25353855,false,stomer-25353855,false,p-25353855,3855,55,3855
y-25353856,3856,3856,mer-25353856,56,countingClerkFaxNumber-25353856,AccountingClerkInternetAddress-25353856,ntingClerkPhoneNumber-25353856,t-25353856,3856,6,CustomerAccountNote-25353856,e-25353856,true,53856,56,2012-07-16,56,true,true,856,6,t-25353856,3856,3856,true,true,t-25353856,true,stomer-25353856,true,p-25353856,3856,56,3856
y-25353857,3857,3857,mer-25353857,57,countingClerkFaxNumber-25353857,AccountingClerkInternetAddress-25353857,ntingClerkPhoneNumber-25353857,t-25353857,3857,7,CustomerAccountNote-25353857,e-25353857,false,53857,57,2007-08-12,57,false,false,857,7,t-25353857,3857,3857,false,false,t-25353857,false,stomer-25353857,false,p-25353857,3857,57,3857
y-25353858,3858,3858,mer-25353858,58,countingClerkFaxNumber-25353858,AccountingClerkInternetAddress-25353858,ntingClerkPhoneNumber-25353858,t-25353858,3858,8,CustomerAccountNote-25353858,e-25353858,true,53858,58,2011-03-18,58,true,true,858,8,t-25353858,3858,3858,true,true,t-25353858,true,stomer-25353858,true,p-25353858,3858,58,3858
y-25353859,3859,3859,mer-25353859,59,countingClerkFaxNumber-25353859,AccountingClerkInternetAddress-25353859,ntingClerkPhoneNumber-25353859,t-25353859,3859,9,CustomerAccountNote-25353859,e-25353859,false,53859,59,2009-08-16,59,false,false,859,9,t-25353859,3859,3859,false,false,t-25353859,false,stomer-25353859,false,p-25353859,3859,59,3859
y-25353860,3860,3860,mer-25353860,60,countingClerkFaxNumber-25353860,AccountingClerkInternetAddress-25353860,ntingClerkPhoneNumber-25353860,t-25353860,3860,0,CustomerAccountNote-25353860,e-25353860,true,53860,60,2005-11-07,60,true,true,860,0,t-25353860,3860,3860,true,true,t-25353860,true,stomer-25353860,true,p-25353860,3860,60,3860
y-25353861,3861,3861,mer-25353861,61,countingClerkFaxNumber-25353861,AccountingClerkInternetAddress-25353861,ntingClerkPhoneNumber-25353861,t-25353861,3861,1,CustomerAccountNote-25353861,e-25353861,false,53861,61,2017-08-10,61,false,false,861,1,t-25353861,3861,3861,false,false,t-25353861,false,stomer-25353861,false,p-25353861,3861,61,3861
y-25353862,3862,3862,mer-25353862,62,countingClerkFaxNumber-25353862,AccountingClerkInternetAddress-25353862,ntingClerkPhoneNumber-25353862,t-25353862,3862,2,CustomerAccountNote-25353862,e-25353862,true,53862,62,2017-10-20,62,true,true,862,2,t-25353862,3862,3862,true,true,t-25353862,true,stomer-25353862,true,p-25353862,3862,62,3862
