BusinessPartner,ValidityEndDate,AddressUsage,AddressID,ValidityStartDate,StandardUsage,AuthorizationGroup
ge-1916074,2000-03-28T00:00:00.000Z,ge-1916074,ge-1916074,2002-04-15T00:00:00.000Z,true,6074
ge-1916075,2010-10-29T00:00:00.000Z,ge-1916075,ge-1916075,2006-11-23T00:00:00.000Z,false,6075
ge-1916076,2011-10-07T00:00:00.000Z,ge-1916076,ge-1916076,2007-11-23T00:00:00.000Z,true,6076
ge-1916077,2005-04-07T00:00:00.000Z,ge-1916077,ge-1916077,2015-10-18T00:00:00.000Z,false,6077
ge-1916078,2003-01-07T00:00:00.000Z,ge-1916078,ge-1916078,2016-08-07T00:00:00.000Z,true,6078
ge-1916079,2007-03-03T00:00:00.000Z,ge-1916079,ge-1916079,2021-01-02T00:00:00.000Z,false,6079
ge-1916080,2000-10-30T00:00:00.000Z,ge-1916080,ge-1916080,2003-04-11T00:00:00.000Z,true,6080
ge-1916081,2022-02-23T00:00:00.000Z,ge-1916081,ge-1916081,2018-06-29T00:00:00.000Z,false,6081
ge-1916082,2017-09-16T00:00:00.000Z,ge-1916082,ge-1916082,2007-12-26T00:00:00.000Z,true,6082
ge-1916083,2017-04-13T00:00:00.000Z,ge-1916083,ge-1916083,2003-09-27T00:00:00.000Z,false,6083
ge-1916084,2000-11-29T00:00:00.000Z,ge-1916084,ge-1916084,2013-08-23T00:00:00.000Z,true,6084
ge-1916085,2010-03-24T00:00:00.000Z,ge-1916085,ge-1916085,2015-07-03T00:00:00.000Z,false,6085
ge-1916086,2002-02-23T00:00:00.000Z,ge-1916086,ge-1916086,2002-08-10T00:00:00.000Z,true,6086
ge-1916087,2016-08-16T00:00:00.000Z,ge-1916087,ge-1916087,2022-03-28T00:00:00.000Z,false,6087
ge-1916088,2001-05-26T00:00:00.000Z,ge-1916088,ge-1916088,2019-07-16T00:00:00.000Z,true,6088
ge-1916089,2012-08-06T00:00:00.000Z,ge-1916089,ge-1916089,2017-11-09T00:00:00.000Z,false,6089
ge-1916090,2014-07-28T00:00:00.000Z,ge-1916090,ge-1916090,2012-11-19T00:00:00.000Z,true,6090
ge-1916091,2006-06-09T00:00:00.000Z,ge-1916091,ge-1916091,2023-04-28T00:00:00.000Z,false,6091
ge-1916092,2004-09-14T00:00:00.000Z,ge-1916092,ge-1916092,2021-06-19T00:00:00.000Z,true,6092
ge-1916093,2005-04-02T00:00:00.000Z,ge-1916093,ge-1916093,2021-04-24T00:00:00.000Z,false,6093
ge-1916094,2000-11-26T00:00:00.000Z,ge-1916094,ge-1916094,2013-04-16T00:00:00.000Z,true,6094
ge-1916095,2007-11-06T00:00:00.000Z,ge-1916095,ge-1916095,2017-05-04T00:00:00.000Z,false,6095
ge-1916096,2009-10-14T00:00:00.000Z,ge-1916096,ge-1916096,2018-12-01T00:00:00.000Z,true,6096
ge-1916097,2000-11-19T00:00:00.000Z,ge-1916097,ge-1916097,2020-07-07T00:00:00.000Z,false,6097
ge-1916098,2013-10-26T00:00:00.000Z,ge-1916098,ge-1916098,2003-12-04T00:00:00.000Z,true,6098
ge-1916099,2023-04-04T00:00:00.000Z,ge-1916099,ge-1916099,2013-01-11T00:00:00.000Z,false,6099
ge-1916100,2020-03-26T00:00:00.000Z,ge-1916100,ge-1916100,2005-08-23T00:00:00.000Z,true,6100
ge-1916101,2011-01-21T00:00:00.000Z,ge-1916101,ge-1916101,2023-06-22T00:00:00.000Z,false,6101
ge-1916102,2003-06-24T00:00:00.000Z,ge-1916102,ge-1916102,2006-12-23T00:00:00.000Z,true,6102
ge-1916103,2009-01-24T00:00:00.000Z,ge-1916103,ge-1916103,2009-12-08T00:00:00.000Z,false,6103
ge-1916104,2005-04-23T00:00:00.000Z,ge-1916104,ge-1916104,2022-02-13T00:00:00.000Z,true,6104
ge-1916105,2003-07-31T00:00:00.000Z,ge-1916105,ge-1916105,2004-04-29T00:00:00.000Z,false,6105
ge-1916106,2014-05-06T00:00:00.000Z,ge-1916106,ge-1916106,2010-01-15T00:00:00.000Z,true,6106
ge-1916107,2015-09-28T00:00:00.000Z,ge-1916107,ge-1916107,2007-01-08T00:00:00.000Z,false,6107
ge-1916108,2017-10-15T00:00:00.000Z,ge-1916108,ge-1916108,2015-09-07T00:00:00.000Z,true,6108
ge-1916109,2001-11-19T00:00:00.000Z,ge-1916109,ge-1916109,2001-03-17T00:00:00.000Z,false,6109
ge-1916110,2003-08-10T00:00:00.000Z,ge-1916110,ge-1916110,2005-06-13T00:00:00.000Z,true,6110
ge-1916111,2018-09-21T00:00:00.000Z,ge-1916111,ge-1916111,2022-01-24T00:00:00.000Z,false,6111
ge-1916112,2006-06-02T00:00:00.000Z,ge-1916112,ge-1916112,2022-01-31T00:00:00.000Z,true,6112
ge-1916113,2016-03-27T00:00:00.000Z,ge-1916113,ge-1916113,2005-07-14T00:00:00.000Z,false,6113
ge-1916114,2006-05-26T00:00:00.000Z,ge-1916114,ge-1916114,2009-11-08T00:00:00.000Z,true,6114
ge-1916115,2022-08-04T00:00:00.000Z,ge-1916115,ge-1916115,2000-01-18T00:00:00.000Z,false,6115
ge-1916116,2018-02-12T00:00:00.000Z,ge-1916116,ge-1916116,2022-08-27T00:00:00.000Z,true,6116
ge-1916117,2023-07-30T00:00:00.000Z,ge-1916117,ge-1916117,2015-11-01T00:00:00.000Z,false,6117
ge-1916118,2006-01-07T00:00:00.000Z,ge-1916118,ge-1916118,2003-08-28T00:00:00.000Z,true,6118
ge-1916119,2008-12-31T00:00:00.000Z,ge-1916119,ge-1916119,2000-10-06T00:00:00.000Z,false,6119
ge-1916120,2010-06-13T00:00:00.000Z,ge-1916120,ge-1916120,2011-09-28T00:00:00.000Z,true,6120
ge-1916121,2015-01-05T00:00:00.000Z,ge-1916121,ge-1916121,2008-03-21T00:00:00.000Z,false,6121
ge-1916122,2020-12-16T00:00:00.000Z,ge-1916122,ge-1916122,2010-11-11T00:00:00.000Z,true,6122
ge-1916123,2002-12-01T00:00:00.000Z,ge-1916123,ge-1916123,2011-02-23T00:00:00.000Z,false,6123
ge-1916124,2020-04-24T00:00:00.000Z,ge-1916124,ge-1916124,2001-12-11T00:00:00.000Z,true,6124
ge-1916125,2012-03-26T00:00:00.000Z,ge-1916125,ge-1916125,2018-01-15T00:00:00.000Z,false,6125
ge-1916126,2022-06-01T00:00:00.000Z,ge-1916126,ge-1916126,2011-06-14T00:00:00.000Z,true,6126
ge-1916127,2011-02-27T00:00:00.000Z,ge-1916127,ge-1916127,2017-07-21T00:00:00.000Z,false,6127
ge-1916128,2022-03-15T00:00:00.000Z,ge-1916128,ge-1916128,2005-03-23T00:00:00.000Z,true,6128
ge-1916129,2000-12-21T00:00:00.000Z,ge-1916129,ge-1916129,2020-05-15T00:00:00.000Z,false,6129
ge-1916130,2016-07-11T00:00:00.000Z,ge-1916130,ge-1916130,2010-02-21T00:00:00.000Z,true,6130
ge-1916131,2002-04-14T00:00:00.000Z,ge-1916131,ge-1916131,2020-08-20T00:00:00.000Z,false,6131
ge-1916132,2001-10-20T00:00:00.000Z,ge-1916132,ge-1916132,2004-01-21T00:00:00.000Z,true,6132
ge-1916133,2015-08-29T00:00:00.000Z,ge-1916133,ge-1916133,2011-11-23T00:00:00.000Z,false,6133
ge-1916134,2006-04-12T00:00:00.000Z,ge-1916134,ge-1916134,2009-01-24T00:00:00.000Z,true,6134
ge-1916135,2007-09-27T00:00:00.000Z,ge-1916135,ge-1916135,2022-12-27T00:00:00.000Z,false,6135
ge-1916136,2021-01-27T00:00:00.000Z,ge-1916136,ge-1916136,2009-02-20T00:00:00.000Z,true,6136
ge-1916137,2012-10-06T00:00:00.000Z,ge-1916137,ge-1916137,2004-08-07T00:00:00.000Z,false,6137
ge-1916138,2003-01-20T00:00:00.000Z,ge-1916138,ge-1916138,2007-06-26T00:00:00.000Z,true,6138
ge-1916139,2020-06-08T00:00:00.000Z,ge-1916139,ge-1916139,2014-03-26T00:00:00.000Z,false,6139
ge-1916140,2014-10-02T00:00:00.000Z,ge-1916140,ge-1916140,2001-11-30T00:00:00.000Z,true,6140
ge-1916141,2000-05-30T00:00:00.000Z,ge-1916141,ge-1916141,2003-04-20T00:00:00.000Z,false,6141
ge-1916142,2022-10-26T00:00:00.000Z,ge-1916142,ge-1916142,2020-08-14T00:00:00.000Z,true,6142
ge-1916143,2019-07-02T00:00:00.000Z,ge-1916143,ge-1916143,2010-02-12T00:00:00.000Z,false,6143
ge-1916144,2020-01-09T00:00:00.000Z,ge-1916144,ge-1916144,2023-06-26T00:00:00.000Z,true,6144
ge-1916145,2001-07-23T00:00:00.000Z,ge-1916145,ge-1916145,2017-09-04T00:00:00.000Z,false,6145
ge-1916146,2023-06-30T00:00:00.000Z,ge-1916146,ge-1916146,2001-08-17T00:00:00.000Z,true,6146
ge-1916147,2007-03-18T00:00:00.000Z,ge-1916147,ge-1916147,2020-07-04T00:00:00.000Z,false,6147
ge-1916148,2016-11-23T00:00:00.000Z,ge-1916148,ge-1916148,2000-09-15T00:00:00.000Z,true,6148
ge-1916149,2007-05-09T00:00:00.000Z,ge-1916149,ge-1916149,2019-12-07T00:00:00.000Z,false,6149
ge-1916150,2020-08-26T00:00:00.000Z,ge-1916150,ge-1916150,2003-11-05T00:00:00.000Z,true,6150
ge-1916151,2005-04-29T00:00:00.000Z,ge-1916151,ge-1916151,2018-08-24T00:00:00.000Z,false,6151
