AddressID,Person,OrdinalNumber,ValidityStartDate,IsDefaultURLAddress,SearchURLAddress,AddressCommunicationRemarkText,URLFieldLength,WebsiteURL
RL-8405427,RL-8405427,427,2007-09-26,false,SearchURLAddress-8405427,AddressCommunicationRemarkText-8405427,87,WebsiteURL-8405427
RL-8405428,RL-8405428,428,2003-06-18,true,SearchURLAddress-8405428,AddressCommunicationRemarkText-8405428,38,WebsiteURL-8405428
RL-8405429,RL-8405429,429,2007-03-10,false,SearchURLAddress-8405429,AddressCommunicationRemarkText-8405429,58,WebsiteURL-8405429
RL-8405430,RL-8405430,430,2021-01-15,true,SearchURLAddress-8405430,AddressCommunicationRemarkText-8405430,24,WebsiteURL-8405430
RL-8405431,RL-8405431,431,2023-05-13,false,SearchURLAddress-8405431,AddressCommunicationRemarkText-8405431,33,WebsiteURL-8405431
RL-8405432,RL-8405432,432,2001-01-01,true,SearchURLAddress-8405432,AddressCommunicationRemarkText-8405432,41,WebsiteURL-8405432
RL-8405433,RL-8405433,433,2012-12-10,false,SearchURLAddress-8405433,AddressCommunicationRemarkText-8405433,2,WebsiteURL-8405433
RL-8405434,RL-8405434,434,2020-07-19,true,SearchURLAddress-8405434,AddressCommunicationRemarkText-8405434,66,WebsiteURL-8405434
RL-8405435,RL-8405435,435,2008-07-19,false,SearchURLAddress-8405435,AddressCommunicationRemarkText-8405435,39,WebsiteURL-8405435
RL-8405436,RL-8405436,436,2016-02-16,true,SearchURLAddress-8405436,AddressCommunicationRemarkText-8405436,23,WebsiteURL-8405436
RL-8405437,RL-8405437,437,2022-10-25,false,SearchURLAddress-8405437,AddressCommunicationRemarkText-8405437,32,WebsiteURL-8405437
RL-8405438,RL-8405438,438,2023-03-07,true,SearchURLAddress-8405438,AddressCommunicationRemarkText-8405438,31,WebsiteURL-8405438
RL-8405439,RL-8405439,439,2001-07-02,false,SearchURLAddress-8405439,AddressCommunicationRemarkText-8405439,30,WebsiteURL-8405439
RL-8405440,RL-8405440,440,2004-11-19,true,SearchURLAddress-8405440,AddressCommunicationRemarkText-8405440,99,WebsiteURL-8405440
RL-8405441,RL-8405441,441,2012-08-03,false,SearchURLAddress-8405441,AddressCommunicationRemarkText-8405441,32,WebsiteURL-8405441
RL-8405442,RL-8405442,442,2005-03-29,true,SearchURLAddress-8405442,AddressCommunicationRemarkText-8405442,93,WebsiteURL-8405442
RL-8405443,RL-8405443,443,2009-06-18,false,SearchURLAddress-8405443,AddressCommunicationRemarkText-8405443,83,WebsiteURL-8405443
RL-8405444,RL-8405444,444,2021-07-16,true,SearchURLAddress-8405444,AddressCommunicationRemarkText-8405444,24,WebsiteURL-8405444
RL-8405445,RL-8405445,445,2015-04-22,false,SearchURLAddress-8405445,AddressCommunicationRemarkText-8405445,48,WebsiteURL-8405445
RL-8405446,RL-8405446,446,2017-05-08,true,SearchURLAddress-8405446,AddressCommunicationRemarkText-8405446,37,WebsiteURL-8405446
RL-8405447,RL-8405447,447,2020-04-29,false,SearchURLAddress-8405447,AddressCommunicationRemarkText-8405447,41,WebsiteURL-8405447
RL-8405448,RL-8405448,448,2013-05-04,true,SearchURLAddress-8405448,AddressCommunicationRemarkText-8405448,18,WebsiteURL-8405448
RL-8405449,RL-8405449,449,2011-07-04,false,SearchURLAddress-8405449,AddressCommunicationRemarkText-8405449,21,WebsiteURL-8405449
RL-8405450,RL-8405450,450,2007-12-13,true,SearchURLAddress-8405450,AddressCommunicationRemarkText-8405450,39,WebsiteURL-8405450
RL-8405451,RL-8405451,451,2018-01-31,false,SearchURLAddress-8405451,AddressCommunicationRemarkText-8405451,32,WebsiteURL-8405451
RL-8405452,RL-8405452,452,2006-05-25,true,SearchURLAddress-8405452,AddressCommunicationRemarkText-8405452,10,WebsiteURL-8405452
RL-8405453,RL-8405453,453,2023-08-30,false,SearchURLAddress-8405453,AddressCommunicationRemarkText-8405453,38,WebsiteURL-8405453
RL-8405454,RL-8405454,454,2010-10-06,true,SearchURLAddress-8405454,AddressCommunicationRemarkText-8405454,11,WebsiteURL-8405454
RL-8405455,RL-8405455,455,2004-12-29,false,SearchURLAddress-8405455,AddressCommunicationRemarkText-8405455,21,WebsiteURL-8405455
RL-8405456,RL-8405456,456,2014-10-20,true,SearchURLAddress-8405456,AddressCommunicationRemarkText-8405456,22,WebsiteURL-8405456
RL-8405457,RL-8405457,457,2014-01-13,false,SearchURLAddress-8405457,AddressCommunicationRemarkText-8405457,46,WebsiteURL-8405457
RL-8405458,RL-8405458,458,2009-08-22,true,SearchURLAddress-8405458,AddressCommunicationRemarkText-8405458,71,WebsiteURL-8405458
RL-8405459,RL-8405459,459,2020-03-15,false,SearchURLAddress-8405459,AddressCommunicationRemarkText-8405459,10,WebsiteURL-8405459
RL-8405460,RL-8405460,460,2022-08-04,true,SearchURLAddress-8405460,AddressCommunicationRemarkText-8405460,58,WebsiteURL-8405460
RL-8405461,RL-8405461,461,2011-08-28,false,SearchURLAddress-8405461,AddressCommunicationRemarkText-8405461,19,WebsiteURL-8405461
RL-8405462,RL-8405462,462,2011-01-21,true,SearchURLAddress-8405462,AddressCommunicationRemarkText-8405462,38,WebsiteURL-8405462
RL-8405463,RL-8405463,463,2014-03-30,false,SearchURLAddress-8405463,AddressCommunicationRemarkText-8405463,87,WebsiteURL-8405463
RL-8405464,RL-8405464,464,2007-12-29,true,SearchURLAddress-8405464,AddressCommunicationRemarkText-8405464,60,WebsiteURL-8405464
RL-8405465,RL-8405465,465,2012-04-18,false,SearchURLAddress-8405465,AddressCommunicationRemarkText-8405465,79,WebsiteURL-8405465
RL-8405466,RL-8405466,466,2007-09-29,true,SearchURLAddress-8405466,AddressCommunicationRemarkText-8405466,40,WebsiteURL-8405466
RL-8405467,RL-8405467,467,2013-10-22,false,SearchURLAddress-8405467,AddressCommunicationRemarkText-8405467,92,WebsiteURL-8405467
RL-8405468,RL-8405468,468,2002-04-07,true,SearchURLAddress-8405468,AddressCommunicationRemarkText-8405468,81,WebsiteURL-8405468
RL-8405469,RL-8405469,469,2002-03-24,false,SearchURLAddress-8405469,AddressCommunicationRemarkText-8405469,91,WebsiteURL-8405469
RL-8405470,RL-8405470,470,2016-10-11,true,SearchURLAddress-8405470,AddressCommunicationRemarkText-8405470,34,WebsiteURL-8405470
RL-8405471,RL-8405471,471,2017-04-15,false,SearchURLAddress-8405471,AddressCommunicationRemarkText-8405471,28,WebsiteURL-8405471
RL-8405472,RL-8405472,472,2006-01-23,true,SearchURLAddress-8405472,AddressCommunicationRemarkText-8405472,51,WebsiteURL-8405472
RL-8405473,RL-8405473,473,2014-04-02,false,SearchURLAddress-8405473,AddressCommunicationRemarkText-8405473,90,WebsiteURL-8405473
RL-8405474,RL-8405474,474,2007-01-14,true,SearchURLAddress-8405474,AddressCommunicationRemarkText-8405474,62,WebsiteURL-8405474
RL-8405475,RL-8405475,475,2002-09-03,false,SearchURLAddress-8405475,AddressCommunicationRemarkText-8405475,85,WebsiteURL-8405475
RL-8405476,RL-8405476,476,2018-05-21,true,SearchURLAddress-8405476,AddressCommunicationRemarkText-8405476,44,WebsiteURL-8405476
RL-8405477,RL-8405477,477,2010-12-24,false,SearchURLAddress-8405477,AddressCommunicationRemarkText-8405477,79,WebsiteURL-8405477
RL-8405478,RL-8405478,478,2023-10-20,true,SearchURLAddress-8405478,AddressCommunicationRemarkText-8405478,20,WebsiteURL-8405478
RL-8405479,RL-8405479,479,2020-11-09,false,SearchURLAddress-8405479,AddressCommunicationRemarkText-8405479,99,WebsiteURL-8405479
