ID,invoiceNumber,vendor_ID,invoiceDate,dueDate,amount,currency,status,submittedBy,submittedAt,approvedBy,approvedAt,approvalComments,rejectedBy,rejectedAt,rejectionReason,paidBy,paidAt,createdAt,createdBy,modifiedAt,modifiedBy
62095441-71f8-4ac5-8bd0-62f6603291c5,invoiceNumber-620954,6648354f-1b9d-462e-a4de-c8c1b7308553,2019-05-31,2007-03-09,5876316876372.2,954,DRAFT,submittedBy-620954,2005-03-06T00:00:00.000Z,approvedBy-620954,2012-10-19T00:00:00.000Z,approvalComments-620954,rejectedBy-620954,2001-05-21T00:00:00.000Z,rejectionReason-620954,paidBy-620954,2023-10-12T00:00:00.000Z,2008-05-12T00:00:00.000Z,createdBy.db4q@example.net,2000-03-17T00:00:00.000Z,modifiedBy.db4q@example.com
620955ce-3a44-4743-8c35-80ac3868ba74,invoiceNumber-620955,6648354f-1b9d-462e-a4de-c8c1b7308553,2021-09-12,2019-04-08,6696866699992.58,955,SUBMITTED,submittedBy-620955,2012-09-03T00:00:00.000Z,approvedBy-620955,2023-02-18T00:00:00.000Z,approvalComments-620955,rejectedBy-620955,2015-06-11T00:00:00.000Z,rejectionReason-620955,paidBy-620955,2014-11-18T00:00:00.000Z,2020-09-12T00:00:00.000Z,createdBy.db4r@example.com,2008-11-23T00:00:00.000Z,modifiedBy.db4r@example.org
62095668-dbb0-41a2-9021-66f7aca6d9e9,invoiceNumber-620956,6648354f-1b9d-462e-a4de-c8c1b7308553,2007-12-11,2021-06-30,5819798932337.84,956,PAID,submittedBy-620956,2006-01-03T00:00:00.000Z,approvedBy-620956,2009-12-20T00:00:00.000Z,approvalComments-620956,rejectedBy-620956,2013-08-12T00:00:00.000Z,rejectionReason-620956,paidBy-620956,2009-01-24T00:00:00.000Z,2004-05-01T00:00:00.000Z,createdBy.db4s@example.net,2017-06-04T00:00:00.000Z,modifiedBy.db4s@example.com
620957c4-b700-4876-b2b8-54000efef564,invoiceNumber-620957,6648354f-1b9d-462e-a4de-c8c1b7308553,2008-03-13,2012-02-23,3089359335529.33,957,DRAFT,submittedBy-620957,2023-04-16T00:00:00.000Z,approvedBy-620957,2008-03-29T00:00:00.000Z,approvalComments-620957,rejectedBy-620957,2009-11-03T00:00:00.000Z,rejectionReason-620957,paidBy-620957,2023-07-24T00:00:00.000Z,2010-07-21T00:00:00.000Z,createdBy.db4t@example.com,2007-06-18T00:00:00.000Z,modifiedBy.db4t@example.net
6209583a-9d63-4eb7-848d-ec5cbbf82518,invoiceNumber-620958,6648354f-1b9d-462e-a4de-c8c1b7308553,2014-10-14,2012-01-09,8953401373860.86,958,REJECTED,submittedBy-620958,2011-04-10T00:00:00.000Z,approvedBy-620958,2021-10-22T00:00:00.000Z,approvalComments-620958,rejectedBy-620958,2007-04-29T00:00:00.000Z,rejectionReason-620958,paidBy-620958,2007-08-11T00:00:00.000Z,2016-04-23T00:00:00.000Z,createdBy.db4u@example.org,2004-06-19T00:00:00.000Z,modifiedBy.db4u@example.com
62095914-2419-49f0-b68b-cab582f77902,invoiceNumber-620959,6648354f-1b9d-462e-a4de-c8c1b7308553,2001-05-16,2002-06-04,8338401272524.35,959,SUBMITTED,submittedBy-620959,2009-04-05T00:00:00.000Z,approvedBy-620959,2008-03-06T00:00:00.000Z,approvalComments-620959,rejectedBy-620959,2007-08-20T00:00:00.000Z,rejectionReason-620959,paidBy-620959,2010-07-10T00:00:00.000Z,2010-01-01T00:00:00.000Z,createdBy.db4v@example.com,2002-08-03T00:00:00.000Z,modifiedBy.db4v@example.org
6209602f-2e70-4928-9900-ee93256eeb38,invoiceNumber-620960,6648354f-1b9d-462e-a4de-c8c1b7308553,2013-10-17,2019-11-27,5379642575749.36,960,DRAFT,submittedBy-620960,2008-07-23T00:00:00.000Z,approvedBy-620960,2006-11-28T00:00:00.000Z,approvalComments-620960,rejectedBy-620960,2007-09-07T00:00:00.000Z,rejectionReason-620960,paidBy-620960,2000-03-30T00:00:00.000Z,2008-08-30T00:00:00.000Z,createdBy.db4w@example.net,2002-11-27T00:00:00.000Z,modifiedBy.db4w@example.net
62096174-2945-4844-8333-38c1fec60201,invoiceNumber-620961,6648354f-1b9d-462e-a4de-c8c1b7308553,2000-01-13,2007-03-19,7637716797041.69,961,APPROVED,submittedBy-620961,2007-09-19T00:00:00.000Z,approvedBy-620961,2012-11-19T00:00:00.000Z,approvalComments-620961,rejectedBy-620961,2021-04-30T00:00:00.000Z,rejectionReason-620961,paidBy-620961,2011-12-20T00:00:00.000Z,2009-02-01T00:00:00.000Z,createdBy.db4x@example.org,2018-02-22T00:00:00.000Z,modifiedBy.db4x@example.net
620962c8-4b4e-4fbc-8627-3012bd117199,invoiceNumber-620962,6648354f-1b9d-462e-a4de-c8c1b7308553,2004-10-08,2006-04-14,4709205864177.59,962,PAID,submittedBy-620962,2006-05-10T00:00:00.000Z,approvedBy-620962,2023-04-30T00:00:00.000Z,approvalComments-620962,rejectedBy-620962,2017-10-26T00:00:00.000Z,rejectionReason-620962,paidBy-620962,2019-11-23T00:00:00.000Z,2011-08-27T00:00:00.000Z,createdBy.db4y@example.org,2023-09-16T00:00:00.000Z,modifiedBy.db4y@example.org
620963de-d7b1-4637-8da5-e390d1b88f0c,invoiceNumber-620963,6648354f-1b9d-462e-a4de-c8c1b7308553,2005-04-08,2012-06-08,4815648951968.79,963,APPROVED,submittedBy-620963,2023-09-21T00:00:00.000Z,approvedBy-620963,2022-01-04T00:00:00.000Z,approvalComments-620963,rejectedBy-620963,2003-10-30T00:00:00.000Z,rejectionReason-620963,paidBy-620963,2015-01-04T00:00:00.000Z,2022-08-23T00:00:00.000Z,createdBy.db4z@example.org,2009-02-05T00:00:00.000Z,modifiedBy.db4z@example.net
62096469-a435-4f44-a7d0-2740438ab5e6,invoiceNumber-620964,6648354f-1b9d-462e-a4de-c8c1b7308553,2011-03-31,2019-06-02,316652049568.89,964,APPROVED,submittedBy-620964,2022-04-25T00:00:00.000Z,approvedBy-620964,2021-06-23T00:00:00.000Z,approvalComments-620964,rejectedBy-620964,2000-11-05T00:00:00.000Z,rejectionReason-620964,paidBy-620964,2014-02-19T00:00:00.000Z,2019-11-13T00:00:00.000Z,createdBy.db50@example.com,2017-02-23T00:00:00.000Z,modifiedBy.db50@example.org
620965e7-0b08-4b31-99b5-f085b68229e3,invoiceNumber-620965,6648354f-1b9d-462e-a4de-c8c1b7308553,2002-07-03,2014-08-10,9953873686365.07,965,PAID,submittedBy-620965,2013-12-27T00:00:00.000Z,approvedBy-620965,2011-06-27T00:00:00.000Z,approvalComments-620965,rejectedBy-620965,2016-05-23T00:00:00.000Z,rejectionReason-620965,paidBy-620965,2023-12-23T00:00:00.000Z,2002-06-30T00:00:00.000Z,createdBy.db51@example.com,2020-09-13T00:00:00.000Z,modifiedBy.db51@example.org
62096668-bbf1-451a-87cc-663ed6d1cbb9,invoiceNumber-620966,6648354f-1b9d-462e-a4de-c8c1b7308553,2014-06-09,2013-03-20,1607608196636.16,966,APPROVED,submittedBy-620966,2002-06-13T00:00:00.000Z,approvedBy-620966,2008-10-12T00:00:00.000Z,approvalComments-620966,rejectedBy-620966,2005-01-08T00:00:00.000Z,rejectionReason-620966,paidBy-620966,2014-05-24T00:00:00.000Z,2016-12-18T00:00:00.000Z,createdBy.db52@example.net,2002-06-09T00:00:00.000Z,modifiedBy.db52@example.com
6209674e-65ea-4f42-8b4a-d8fc496cd77e,invoiceNumber-620967,6648354f-1b9d-462e-a4de-c8c1b7308553,2010-05-15,2007-09-25,154309417309.2,967,SUBMITTED,submittedBy-620967,2012-01-08T00:00:00.000Z,approvedBy-620967,2019-10-14T00:00:00.000Z,approvalComments-620967,rejectedBy-620967,2005-04-29T00:00:00.000Z,rejectionReason-620967,paidBy-620967,2017-11-27T00:00:00.000Z,2003-04-27T00:00:00.000Z,createdBy.db53@example.net,2009-06-28T00:00:00.000Z,modifiedBy.db53@example.org
620968ad-cc17-416c-a38c-bd75f773a0d7,invoiceNumber-620968,6648354f-1b9d-462e-a4de-c8c1b7308553,2000-08-28,2016-08-04,3008771329120.67,968,PAID,submittedBy-620968,2021-02-26T00:00:00.000Z,approvedBy-620968,2001-02-15T00:00:00.000Z,approvalComments-620968,rejectedBy-620968,2010-04-10T00:00:00.000Z,rejectionReason-620968,paidBy-620968,2007-08-14T00:00:00.000Z,2000-02-14T00:00:00.000Z,createdBy.db54@example.org,2008-01-04T00:00:00.000Z,modifiedBy.db54@example.com
620969f8-c0dd-4d54-9dde-a95feec22fa9,invoiceNumber-620969,6648354f-1b9d-462e-a4de-c8c1b7308553,2017-08-06,2001-08-20,5545003249666.21,969,SUBMITTED,submittedBy-620969,2020-02-13T00:00:00.000Z,approvedBy-620969,2015-06-06T00:00:00.000Z,approvalComments-620969,rejectedBy-620969,2009-03-15T00:00:00.000Z,rejectionReason-620969,paidBy-620969,2010-09-09T00:00:00.000Z,2000-10-28T00:00:00.000Z,createdBy.db55@example.org,2001-01-17T00:00:00.000Z,modifiedBy.db55@example.com
6209708d-07c3-43fa-8963-0926cf06a66a,invoiceNumber-620970,6648354f-1b9d-462e-a4de-c8c1b7308553,2001-02-09,2007-12-18,519627152581.97,970,APPROVED,submittedBy-620970,2016-05-09T00:00:00.000Z,approvedBy-620970,2020-08-30T00:00:00.000Z,approvalComments-620970,rejectedBy-620970,2020-06-05T00:00:00.000Z,rejectionReason-620970,paidBy-620970,2019-08-28T00:00:00.000Z,2016-08-27T00:00:00.000Z,createdBy.db56@example.com,2007-09-06T00:00:00.000Z,modifiedBy.db56@example.net
620971c4-0b37-4547-a385-1421c048c59d,invoiceNumber-620971,6648354f-1b9d-462e-a4de-c8c1b7308553,2015-02-11,2016-03-19,1109786159002.97,971,PAID,submittedBy-620971,2012-04-10T00:00:00.000Z,approvedBy-620971,2011-02-17T00:00:00.000Z,approvalComments-620971,rejectedBy-620971,2010-08-13T00:00:00.000Z,rejectionReason-620971,paidBy-620971,2004-09-07T00:00:00.000Z,2002-08-06T00:00:00.000Z,createdBy.db57@example.com,2007-03-29T00:00:00.000Z,modifiedBy.db57@example.net
62097213-3c8f-4fce-90a3-7253827fe8b3,invoiceNumber-620972,6648354f-1b9d-462e-a4de-c8c1b7308553,2014-02-27,2016-08-28,9945491775883.1,972,APPROVED,submittedBy-620972,2023-06-15T00:00:00.000Z,approvedBy-620972,2013-06-24T00:00:00.000Z,approvalComments-620972,rejectedBy-620972,2014-05-29T00:00:00.000Z,rejectionReason-620972,paidBy-620972,2001-10-11T00:00:00.000Z,2004-12-31T00:00:00.000Z,createdBy.db58@example.com,2016-09-16T00:00:00.000Z,modifiedBy.db58@example.net
620973a0-c62c-4702-aa0a-2f193a96e232,invoiceNumber-620973,6648354f-1b9d-462e-a4de-c8c1b7308553,2017-05-13,2019-12-22,6746789011382.62,973,PAID,submittedBy-620973,2019-09-05T00:00:00.000Z,approvedBy-620973,2005-03-12T00:00:00.000Z,approvalComments-620973,rejectedBy-620973,2014-12-05T00:00:00.000Z,rejectionReason-620973,paidBy-620973,2004-11-27T00:00:00.000Z,2002-08-28T00:00:00.000Z,createdBy.db59@example.org,2005-05-26T00:00:00.000Z,modifiedBy.db59@example.com
620974d7-7585-47d6-9bfc-9d1412a11738,invoiceNumber-620974,6648354f-1b9d-462e-a4de-c8c1b7308553,2001-04-16,2009-02-11,3269395748406.43,974,APPROVED,submittedBy-620974,2020-01-09T00:00:00.000Z,approvedBy-620974,2017-08-04T00:00:00.000Z,approvalComments-620974,rejectedBy-620974,2011-01-14T00:00:00.000Z,rejectionReason-620974,paidBy-620974,2008-12-07T00:00:00.000Z,2023-05-01T00:00:00.000Z,createdBy.db5a@example.net,2000-11-29T00:00:00.000Z,modifiedBy.db5a@example.com
620975a0-dc91-43dd-bbfc-8f0f5a8822a9,invoiceNumber-620975,6648354f-1b9d-462e-a4de-c8c1b7308553,2002-09-21,2001-08-28,5164538029401.25,975,PAID,submittedBy-620975,2002-12-19T00:00:00.000Z,approvedBy-620975,2009-10-26T00:00:00.000Z,approvalComments-620975,rejectedBy-620975,2008-10-20T00:00:00.000Z,rejectionReason-620975,paidBy-620975,2001-01-09T00:00:00.000Z,2017-09-23T00:00:00.000Z,createdBy.db5b@example.com,2020-01-17T00:00:00.000Z,modifiedBy.db5b@example.com
62097648-6710-4345-a35c-9e95f1dbedb4,invoiceNumber-620976,6648354f-1b9d-462e-a4de-c8c1b7308553,2021-11-23,2008-01-28,4040540324498.95,976,SUBMITTED,submittedBy-620976,2017-09-03T00:00:00.000Z,approvedBy-620976,2008-10-03T00:00:00.000Z,approvalComments-620976,rejectedBy-620976,2002-01-14T00:00:00.000Z,rejectionReason-620976,paidBy-620976,2015-09-24T00:00:00.000Z,2019-05-29T00:00:00.000Z,createdBy.db5c@example.com,2018-02-24T00:00:00.000Z,modifiedBy.db5c@example.org
6209779e-6183-43c2-b7d2-71c84261aca5,invoiceNumber-620977,6648354f-1b9d-462e-a4de-c8c1b7308553,2022-03-30,2019-01-25,16332357447.76,977,APPROVED,submittedBy-620977,2008-12-21T00:00:00.000Z,approvedBy-620977,2002-08-01T00:00:00.000Z,approvalComments-620977,rejectedBy-620977,2009-02-26T00:00:00.000Z,rejectionReason-620977,paidBy-620977,2013-05-25T00:00:00.000Z,2023-12-03T00:00:00.000Z,createdBy.db5d@example.org,2007-05-21T00:00:00.000Z,modifiedBy.db5d@example.org
6209788b-0334-4846-bb6f-058884cf6688,invoiceNumber-620978,6648354f-1b9d-462e-a4de-c8c1b7308553,2007-08-28,2002-02-22,8153439692604.01,978,PAID,submittedBy-620978,2003-04-14T00:00:00.000Z,approvedBy-620978,2019-06-08T00:00:00.000Z,approvalComments-620978,rejectedBy-620978,2016-05-20T00:00:00.000Z,rejectionReason-620978,paidBy-620978,2019-02-24T00:00:00.000Z,2020-12-13T00:00:00.000Z,createdBy.db5e@example.org,2003-07-16T00:00:00.000Z,modifiedBy.db5e@example.com
6209799d-5c58-4bc9-9b1f-cacb4d00a159,invoiceNumber-620979,6648354f-1b9d-462e-a4de-c8c1b7308553,2019-11-16,2004-02-24,1324419274025.97,979,DRAFT,submittedBy-620979,2017-08-20T00:00:00.000Z,approvedBy-620979,2021-04-05T00:00:00.000Z,approvalComments-620979,rejectedBy-620979,2003-09-19T00:00:00.000Z,rejectionReason-620979,paidBy-620979,2015-02-15T00:00:00.000Z,2002-10-22T00:00:00.000Z,createdBy.db5f@example.org,2018-11-09T00:00:00.000Z,modifiedBy.db5f@example.org
620980f7-a544-4fff-970c-1e1e065ec04c,invoiceNumber-620980,6648354f-1b9d-462e-a4de-c8c1b7308553,2003-07-21,2014-12-01,6455005121544.12,980,PAID,submittedBy-620980,2009-03-21T00:00:00.000Z,approvedBy-620980,2008-04-02T00:00:00.000Z,approvalComments-620980,rejectedBy-620980,2008-06-09T00:00:00.000Z,rejectionReason-620980,paidBy-620980,2015-04-17T00:00:00.000Z,2020-10-30T00:00:00.000Z,createdBy.db5g@example.org,2014-10-13T00:00:00.000Z,modifiedBy.db5g@example.net
6209814e-adc7-4b2b-97fd-9ed0eb00f33e,invoiceNumber-620981,6648354f-1b9d-462e-a4de-c8c1b7308553,2013-10-12,2020-08-20,8994377190125.31,981,REJECTED,submittedBy-620981,2012-08-21T00:00:00.000Z,approvedBy-620981,2005-10-24T00:00:00.000Z,approvalComments-620981,rejectedBy-620981,2007-07-25T00:00:00.000Z,rejectionReason-620981,paidBy-620981,2013-06-27T00:00:00.000Z,2016-08-29T00:00:00.000Z,createdBy.db5h@example.com,2019-10-16T00:00:00.000Z,modifiedBy.db5h@example.org
62098238-faba-4f78-a086-95c76ffe48c7,invoiceNumber-620982,6648354f-1b9d-462e-a4de-c8c1b7308553,2008-07-28,2007-05-01,6114542957716.68,982,SUBMITTED,submittedBy-620982,2017-06-12T00:00:00.000Z,approvedBy-620982,2012-08-30T00:00:00.000Z,approvalComments-620982,rejectedBy-620982,2019-08-12T00:00:00.000Z,rejectionReason-620982,paidBy-620982,2004-12-11T00:00:00.000Z,2017-01-01T00:00:00.000Z,createdBy.db5i@example.net,2023-08-12T00:00:00.000Z,modifiedBy.db5i@example.org
62098396-f8d3-49dd-82cf-76a0c4725cd5,invoiceNumber-620983,6648354f-1b9d-462e-a4de-c8c1b7308553,2000-07-30,2002-06-08,3931023806589.51,983,APPROVED,submittedBy-620983,2014-11-11T00:00:00.000Z,approvedBy-620983,2001-07-08T00:00:00.000Z,approvalComments-620983,rejectedBy-620983,2008-12-27T00:00:00.000Z,rejectionReason-620983,paidBy-620983,2022-04-29T00:00:00.000Z,2017-07-11T00:00:00.000Z,createdBy.db5j@example.net,2006-01-06T00:00:00.000Z,modifiedBy.db5j@example.net
62098487-66f9-4af6-b60a-406c3dbda23c,invoiceNumber-620984,6648354f-1b9d-462e-a4de-c8c1b7308553,2016-10-12,2005-08-24,2319612059225.4,984,PAID,submittedBy-620984,2002-12-07T00:00:00.000Z,approvedBy-620984,2019-11-24T00:00:00.000Z,approvalComments-620984,rejectedBy-620984,2008-01-31T00:00:00.000Z,rejectionReason-620984,paidBy-620984,2002-10-01T00:00:00.000Z,2010-11-29T00:00:00.000Z,createdBy.db5k@example.com,2016-09-05T00:00:00.000Z,modifiedBy.db5k@example.net
62098553-c78e-42de-be1a-874f5a3f8e46,invoiceNumber-620985,6648354f-1b9d-462e-a4de-c8c1b7308553,2008-11-03,2002-02-05,6377535548376.17,985,DRAFT,submittedBy-620985,2000-11-14T00:00:00.000Z,approvedBy-620985,2016-01-16T00:00:00.000Z,approvalComments-620985,rejectedBy-620985,2012-08-14T00:00:00.000Z,rejectionReason-620985,paidBy-620985,2018-11-13T00:00:00.000Z,2000-02-04T00:00:00.000Z,createdBy.db5l@example.net,2009-01-06T00:00:00.000Z,modifiedBy.db5l@example.net
62098662-09db-4c23-9942-9a86d83767bc,invoiceNumber-620986,6648354f-1b9d-462e-a4de-c8c1b7308553,2004-08-24,2005-04-28,3678408055093.67,986,APPROVED,submittedBy-620986,2013-10-06T00:00:00.000Z,approvedBy-620986,2008-11-24T00:00:00.000Z,approvalComments-620986,rejectedBy-620986,2004-08-25T00:00:00.000Z,rejectionReason-620986,paidBy-620986,2010-03-09T00:00:00.000Z,2006-12-28T00:00:00.000Z,createdBy.db5m@example.com,2015-05-01T00:00:00.000Z,modifiedBy.db5m@example.org
620987bf-251b-4714-8f81-3d3c9ce656d6,invoiceNumber-620987,6648354f-1b9d-462e-a4de-c8c1b7308553,2007-01-09,2016-04-14,6556981255915,987,APPROVED,submittedBy-620987,2012-09-11T00:00:00.000Z,approvedBy-620987,2010-01-16T00:00:00.000Z,approvalComments-620987,rejectedBy-620987,2017-10-16T00:00:00.000Z,rejectionReason-620987,paidBy-620987,2005-03-05T00:00:00.000Z,2007-01-09T00:00:00.000Z,createdBy.db5n@example.org,2001-06-21T00:00:00.000Z,modifiedBy.db5n@example.net
62098870-7d1e-404b-9827-871107233c4d,invoiceNumber-620988,6648354f-1b9d-462e-a4de-c8c1b7308553,2000-03-19,2022-06-10,6870602360832.46,988,PAID,submittedBy-620988,2020-03-19T00:00:00.000Z,approvedBy-620988,2000-11-10T00:00:00.000Z,approvalComments-620988,rejectedBy-620988,2012-01-08T00:00:00.000Z,rejectionReason-620988,paidBy-620988,2023-07-28T00:00:00.000Z,2013-08-23T00:00:00.000Z,createdBy.db5o@example.org,2009-06-09T00:00:00.000Z,modifiedBy.db5o@example.org
62098982-bcc0-4dbb-93d2-f6f05c34bec2,invoiceNumber-620989,6648354f-1b9d-462e-a4de-c8c1b7308553,2010-02-18,2016-05-16,6105731786669.36,989,DRAFT,submittedBy-620989,2013-03-15T00:00:00.000Z,approvedBy-620989,2016-01-14T00:00:00.000Z,approvalComments-620989,rejectedBy-620989,2022-12-21T00:00:00.000Z,rejectionReason-620989,paidBy-620989,2001-11-22T00:00:00.000Z,2018-12-26T00:00:00.000Z,createdBy.db5p@example.net,2003-11-08T00:00:00.000Z,modifiedBy.db5p@example.net
62099081-9ca8-4542-b3db-68120e5c2f23,invoiceNumber-620990,6648354f-1b9d-462e-a4de-c8c1b7308553,2015-11-30,2021-10-17,7045435090830.38,990,APPROVED,submittedBy-620990,2014-04-14T00:00:00.000Z,approvedBy-620990,2009-02-24T00:00:00.000Z,approvalComments-620990,rejectedBy-620990,2008-01-24T00:00:00.000Z,rejectionReason-620990,paidBy-620990,2007-03-21T00:00:00.000Z,2014-03-26T00:00:00.000Z,createdBy.db5q@example.com,2021-10-16T00:00:00.000Z,modifiedBy.db5q@example.com
620991fd-f56a-442f-b7e9-c291c7632964,invoiceNumber-620991,6648354f-1b9d-462e-a4de-c8c1b7308553,2019-07-08,2002-08-07,872261874624.5,991,DRAFT,submittedBy-620991,2023-05-28T00:00:00.000Z,approvedBy-620991,2012-05-03T00:00:00.000Z,approvalComments-620991,rejectedBy-620991,2014-10-20T00:00:00.000Z,rejectionReason-620991,paidBy-620991,2007-01-09T00:00:00.000Z,2020-01-03T00:00:00.000Z,createdBy.db5r@example.com,2022-12-24T00:00:00.000Z,modifiedBy.db5r@example.org
62099282-24bd-4206-a307-570733ef6261,invoiceNumber-620992,6648354f-1b9d-462e-a4de-c8c1b7308553,2002-12-22,2009-03-15,1801790381617.57,992,DRAFT,submittedBy-620992,2012-05-18T00:00:00.000Z,approvedBy-620992,2011-01-10T00:00:00.000Z,approvalComments-620992,rejectedBy-620992,2019-05-31T00:00:00.000Z,rejectionReason-620992,paidBy-620992,2016-05-01T00:00:00.000Z,2002-09-20T00:00:00.000Z,createdBy.db5s@example.net,2014-02-27T00:00:00.000Z,modifiedBy.db5s@example.com
