RelationshipNumber,BusinessPartner1,BusinessPartner2,ValidityEndDate,ValidityStartDate,IsStandardRelationship,RelationshipCategory,BPRelationshipType,CreatedByUser,CreationDate,CreationTime,LastChangedByUser,LastChangeDate,LastChangeTime
ship-9515588,ip-9515588,ip-9515588,2018-03-03,2016-07-17,true,515588,5588,User-9515588,2017-11-09,22:59:53,User-9515588,2015-05-20,22:59:53
ship-9515589,ip-9515589,ip-9515589,2010-03-28,2000-04-01,false,515589,5589,User-9515589,2001-08-07,22:59:53,User-9515589,2011-04-08,22:59:53
ship-9515590,ip-9515590,ip-9515590,2013-07-26,2006-06-18,true,515590,5590,User-9515590,2017-07-30,22:59:53,User-9515590,2023-09-27,22:59:53
ship-9515591,ip-9515591,ip-9515591,2021-02-19,2021-11-18,false,515591,5591,User-9515591,2011-03-25,22:59:53,User-9515591,2001-05-20,22:59:53
ship-9515592,ip-9515592,ip-9515592,2023-07-01,2010-09-21,true,515592,5592,User-9515592,2000-05-20,22:59:53,User-9515592,2019-11-22,22:59:53
ship-9515593,ip-9515593,ip-9515593,2018-01-30,2006-04-03,false,515593,5593,User-9515593,2003-07-26,22:59:53,User-9515593,2022-09-08,22:59:53
ship-9515594,ip-9515594,ip-9515594,2015-03-31,2000-09-23,true,515594,5594,User-9515594,2023-09-03,22:59:53,User-9515594,2018-11-26,22:59:53
ship-9515595,ip-9515595,ip-9515595,2019-12-15,2016-02-28,false,515595,5595,User-9515595,2007-03-27,22:59:53,User-9515595,2019-06-14,22:59:53
ship-9515596,ip-9515596,ip-9515596,2020-05-11,2018-05-16,true,515596,5596,User-9515596,2023-12-03,22:59:53,User-9515596,2017-06-09,22:59:53
ship-9515597,ip-9515597,ip-9515597,2002-02-21,2020-08-25,false,515597,5597,User-9515597,2010-04-26,22:59:53,User-9515597,2008-07-01,22:59:53
ship-9515598,ip-9515598,ip-9515598,2007-06-02,2004-03-22,true,515598,5598,User-9515598,2011-03-15,22:59:53,User-9515598,2010-08-02,22:59:53
ship-9515599,ip-9515599,ip-9515599,2014-04-05,2015-09-17,false,515599,5599,User-9515599,2012-03-31,22:59:53,User-9515599,2020-07-19,22:59:53
ship-9515600,ip-9515600,ip-9515600,2002-10-04,2017-07-26,true,515600,5600,User-9515600,2002-01-03,22:59:53,User-9515600,2018-11-18,22:59:53
ship-9515601,ip-9515601,ip-9515601,2013-06-26,2000-08-24,false,515601,5601,User-9515601,2002-04-22,22:59:53,User-9515601,2021-08-21,22:59:53
ship-9515602,ip-9515602,ip-9515602,2005-12-22,2004-04-27,true,515602,5602,User-9515602,2001-10-10,22:59:53,User-9515602,2016-08-28,22:59:53
ship-9515603,ip-9515603,ip-9515603,2010-12-18,2020-07-15,false,515603,5603,User-9515603,2021-05-10,22:59:53,User-9515603,2008-01-29,22:59:53
ship-9515604,ip-9515604,ip-9515604,2019-11-09,2007-11-16,true,515604,5604,User-9515604,2019-04-25,22:59:53,User-9515604,2016-06-24,22:59:53
ship-9515605,ip-9515605,ip-9515605,2006-06-06,2012-08-18,false,515605,5605,User-9515605,2012-06-26,22:59:53,User-9515605,2018-06-09,22:59:53
ship-9515606,ip-9515606,ip-9515606,2003-02-19,2018-08-18,true,515606,5606,User-9515606,2019-11-28,22:59:53,User-9515606,2017-02-07,22:59:53
ship-9515607,ip-9515607,ip-9515607,2010-08-22,2020-10-03,false,515607,5607,User-9515607,2005-04-02,22:59:53,User-9515607,2001-01-14,22:59:53
ship-9515608,ip-9515608,ip-9515608,2015-01-28,2019-07-04,true,515608,5608,User-9515608,2016-04-14,22:59:53,User-9515608,2017-01-11,22:59:53
ship-9515609,ip-9515609,ip-9515609,2001-11-03,2020-03-31,false,515609,5609,User-9515609,2017-02-13,22:59:53,User-9515609,2007-11-02,22:59:53
ship-9515610,ip-9515610,ip-9515610,2016-09-08,2004-04-26,true,515610,5610,User-9515610,2017-04-21,22:59:53,User-9515610,2009-04-15,22:59:53
ship-9515611,ip-9515611,ip-9515611,2016-01-29,2014-04-12,false,515611,5611,User-9515611,2013-06-13,22:59:53,User-9515611,2013-08-18,22:59:53
ship-9515612,ip-9515612,ip-9515612,2017-06-16,2005-07-29,true,515612,5612,User-9515612,2021-03-08,22:59:53,User-9515612,2008-01-26,22:59:53
ship-9515613,ip-9515613,ip-9515613,2021-07-25,2005-06-30,false,515613,5613,User-9515613,2014-12-29,22:59:53,User-9515613,2006-06-10,22:59:53
ship-9515614,ip-9515614,ip-9515614,2011-08-30,2023-07-02,true,515614,5614,User-9515614,2023-06-20,22:59:53,User-9515614,2011-12-01,22:59:53
ship-9515615,ip-9515615,ip-9515615,2000-08-03,2002-06-08,false,515615,5615,User-9515615,2019-04-11,22:59:53,User-9515615,2009-10-30,22:59:53
ship-9515616,ip-9515616,ip-9515616,2003-11-19,2008-08-25,true,515616,5616,User-9515616,2006-01-19,22:59:53,User-9515616,2007-10-21,22:59:53
ship-9515617,ip-9515617,ip-9515617,2012-02-04,2010-05-09,false,515617,5617,User-9515617,2011-02-01,22:59:53,User-9515617,2017-01-29,22:59:53
ship-9515618,ip-9515618,ip-9515618,2004-12-15,2021-07-27,true,515618,5618,User-9515618,2000-06-10,22:59:53,User-9515618,2007-08-08,22:59:53
ship-9515619,ip-9515619,ip-9515619,2008-07-15,2001-02-12,false,515619,5619,User-9515619,2019-01-22,22:59:53,User-9515619,2011-09-29,22:59:53
ship-9515620,ip-9515620,ip-9515620,2009-02-17,2007-10-17,true,515620,5620,User-9515620,2018-12-07,22:59:53,User-9515620,2006-12-01,22:59:53
ship-9515621,ip-9515621,ip-9515621,2016-03-10,2016-09-28,false,515621,5621,User-9515621,2023-06-08,22:59:53,User-9515621,2005-06-18,22:59:53
ship-9515622,ip-9515622,ip-9515622,2012-04-15,2013-08-16,true,515622,5622,User-9515622,2020-08-21,22:59:53,User-9515622,2022-05-22,22:59:53
ship-9515623,ip-9515623,ip-9515623,2003-06-30,2005-07-10,false,515623,5623,User-9515623,2009-11-01,22:59:53,User-9515623,2018-08-12,22:59:53
ship-9515624,ip-9515624,ip-9515624,2007-11-25,2000-07-03,true,515624,5624,User-9515624,2006-07-30,22:59:53,User-9515624,2001-08-20,22:59:53
ship-9515625,ip-9515625,ip-9515625,2018-12-09,2008-04-29,false,515625,5625,User-9515625,2001-03-19,22:59:53,User-9515625,2021-10-01,22:59:53
ship-9515626,ip-9515626,ip-9515626,2019-05-19,2007-02-22,true,515626,5626,User-9515626,2002-01-02,22:59:53,User-9515626,2002-03-30,22:59:53
ship-9515627,ip-9515627,ip-9515627,2012-04-09,2017-05-11,false,515627,5627,User-9515627,2005-11-13,22:59:53,User-9515627,2012-08-05,22:59:53
ship-9515628,ip-9515628,ip-9515628,2009-12-30,2000-03-14,true,515628,5628,User-9515628,2005-04-24,22:59:53,User-9515628,2023-12-07,22:59:53
ship-9515629,ip-9515629,ip-9515629,2023-03-26,2000-03-08,false,515629,5629,User-9515629,2005-01-02,22:59:53,User-9515629,2008-05-27,22:59:53
ship-9515630,ip-9515630,ip-9515630,2009-09-01,2000-01-25,true,515630,5630,User-9515630,2008-12-31,22:59:53,User-9515630,2021-04-09,22:59:53
ship-9515631,ip-9515631,ip-9515631,2008-02-02,2021-02-03,false,515631,5631,User-9515631,2021-02-28,22:59:53,User-9515631,2023-12-05,22:59:53
ship-9515632,ip-9515632,ip-9515632,2021-11-29,2016-08-05,true,515632,5632,User-9515632,2018-02-01,22:59:53,User-9515632,2020-07-23,22:59:53
ship-9515633,ip-9515633,ip-9515633,2009-08-02,2021-07-13,false,515633,5633,User-9515633,2023-11-26,22:59:53,User-9515633,2014-06-26,22:59:53
ship-9515634,ip-9515634,ip-9515634,2001-07-27,2000-02-12,true,515634,5634,User-9515634,2015-12-08,22:59:53,User-9515634,2013-03-18,22:59:53
ship-9515635,ip-9515635,ip-9515635,2013-01-30,2004-01-07,false,515635,5635,User-9515635,2022-03-23,22:59:53,User-9515635,2012-06-06,22:59:53
ship-9515636,ip-9515636,ip-9515636,2000-06-05,2009-05-06,true,515636,5636,User-9515636,2020-08-29,22:59:53,User-9515636,2008-08-21,22:59:53
ship-9515637,ip-9515637,ip-9515637,2004-05-23,2016-04-07,false,515637,5637,User-9515637,2002-07-15,22:59:53,User-9515637,2012-04-13,22:59:53
ship-9515638,ip-9515638,ip-9515638,2009-06-05,2020-12-16,true,515638,5638,User-9515638,2002-01-19,22:59:53,User-9515638,2010-01-28,22:59:53
ship-9515639,ip-9515639,ip-9515639,2004-10-11,2018-07-14,false,515639,5639,User-9515639,2000-10-07,22:59:53,User-9515639,2001-10-19,22:59:53
ship-9515640,ip-9515640,ip-9515640,2008-04-22,2007-03-05,true,515640,5640,User-9515640,2013-03-31,22:59:53,User-9515640,2006-06-11,22:59:53
ship-9515641,ip-9515641,ip-9515641,2017-01-22,2006-10-23,false,515641,5641,User-9515641,2018-08-26,22:59:53,User-9515641,2000-04-21,22:59:53
ship-9515642,ip-9515642,ip-9515642,2023-09-06,2001-12-04,true,515642,5642,User-9515642,2005-08-31,22:59:53,User-9515642,2009-01-19,22:59:53
ship-9515643,ip-9515643,ip-9515643,2008-05-17,2022-02-06,false,515643,5643,User-9515643,2014-12-19,22:59:53,User-9515643,2009-01-27,22:59:53
ship-9515644,ip-9515644,ip-9515644,2010-01-13,2020-04-11,true,515644,5644,User-9515644,2022-02-21,22:59:53,User-9515644,2018-07-01,22:59:53
ship-9515645,ip-9515645,ip-9515645,2004-04-08,2019-11-15,false,515645,5645,User-9515645,2010-06-29,22:59:53,User-9515645,2005-08-07,22:59:53
ship-9515646,ip-9515646,ip-9515646,2005-08-27,2023-06-27,true,515646,5646,User-9515646,2007-03-10,22:59:53,User-9515646,2022-02-02,22:59:53
ship-9515647,ip-9515647,ip-9515647,2001-05-12,2006-07-22,false,515647,5647,User-9515647,2021-04-03,22:59:53,User-9515647,2000-08-18,22:59:53
ship-9515648,ip-9515648,ip-9515648,2015-07-16,2023-06-14,true,515648,5648,User-9515648,2001-10-10,22:59:53,User-9515648,2018-03-03,22:59:53
ship-9515649,ip-9515649,ip-9515649,2005-05-24,2022-03-22,false,515649,5649,User-9515649,2004-03-06,22:59:53,User-9515649,2001-10-17,22:59:53
ship-9515650,ip-9515650,ip-9515650,2008-09-11,2002-08-14,true,515650,5650,User-9515650,2014-12-24,22:59:53,User-9515650,2005-08-26,22:59:53
ship-9515651,ip-9515651,ip-9515651,2004-06-14,2012-08-09,false,515651,5651,User-9515651,2006-03-16,22:59:53,User-9515651,2012-11-08,22:59:53
ship-9515652,ip-9515652,ip-9515652,2002-07-31,2013-02-05,true,515652,5652,User-9515652,2002-01-20,22:59:53,User-9515652,2016-04-14,22:59:53
ship-9515653,ip-9515653,ip-9515653,2004-11-28,2004-04-15,false,515653,5653,User-9515653,2005-03-11,22:59:53,User-9515653,2021-03-14,22:59:53
ship-9515654,ip-9515654,ip-9515654,2023-06-11,2001-10-14,true,515654,5654,User-9515654,2017-09-20,22:59:53,User-9515654,2016-01-01,22:59:53
ship-9515655,ip-9515655,ip-9515655,2000-10-28,2023-12-06,false,515655,5655,User-9515655,2002-04-25,22:59:53,User-9515655,2020-04-16,22:59:53
ship-9515656,ip-9515656,ip-9515656,2021-10-06,2021-07-24,true,515656,5656,User-9515656,2010-11-28,22:59:53,User-9515656,2005-04-13,22:59:53
ship-9515657,ip-9515657,ip-9515657,2011-05-07,2014-03-21,false,515657,5657,User-9515657,2008-02-14,22:59:53,User-9515657,2015-03-04,22:59:53
ship-9515658,ip-9515658,ip-9515658,2012-02-23,2013-05-10,true,515658,5658,User-9515658,2017-05-01,22:59:53,User-9515658,2022-07-20,22:59:53
ship-9515659,ip-9515659,ip-9515659,2004-07-19,2020-02-14,false,515659,5659,User-9515659,2000-10-18,22:59:53,User-9515659,2006-04-25,22:59:53
