BusinessPartner,BPEmploymentStartDate,BPEmploymentEndDate,BPEmploymentStatus,BusPartEmplrIndstryCode,BusinessPartnerEmployerName,BusinessPartnerOccupationGroup
nt-2800249,2014-04-23,2015-07-29,49,de-2800249,BusinessPartnerEmployerName-2800249,0249
nt-2800250,2011-06-27,2017-02-23,50,de-2800250,BusinessPartnerEmployerName-2800250,0250
nt-2800251,2002-05-05,2009-10-15,51,de-2800251,BusinessPartnerEmployerName-2800251,0251
nt-2800252,2021-10-14,2022-05-13,52,de-2800252,BusinessPartnerEmployerName-2800252,0252
nt-2800253,2004-01-30,2004-11-04,53,de-2800253,BusinessPartnerEmployerName-2800253,0253
nt-2800254,2010-11-29,2010-03-08,54,de-2800254,BusinessPartnerEmployerName-2800254,0254
nt-2800255,2002-02-20,2019-01-12,55,de-2800255,BusinessPartnerEmployerName-2800255,0255
nt-2800256,2017-10-08,2016-02-11,56,de-2800256,BusinessPartnerEmployerName-2800256,0256
nt-2800257,2013-01-14,2018-08-07,57,de-2800257,BusinessPartnerEmployerName-2800257,0257
nt-2800258,2016-02-09,2012-07-02,58,de-2800258,BusinessPartnerEmployerName-2800258,0258
nt-2800259,2000-03-14,2013-11-17,59,de-2800259,BusinessPartnerEmployerName-2800259,0259
nt-2800260,2003-11-16,2004-08-26,60,de-2800260,BusinessPartnerEmployerName-2800260,0260
